,https://roic.ai/company/CUK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2447468000,3009306000,3497470000,3778542000,4535751000,4368269000,6718000000,9727000000,11087000000,11839000000,13032999014,14646000000,13157000000,14469000000,15793000000,15382000000,15456000000,15884000000,15714000000,16389000000,17510000000,18881000000,20825000000,5594000000,1908000000
2,COGS,1322669000,1619377000,1862636000,2058342000,2468730000,2311919000,3818000000,5457000000,6217000000,6791000000,7627999410,9039000000,8104000000,9092000000,10299000000,10320000000,10624000000,10403000000,9447000000,9383000000,10501000000,11090000000,12908000000,6278000000,4063000000
3,Gross Profit,1124799000,1389929000,1634834000,1720200000,2067021000,2056350000,2900000000,4270000000,4870000000,5048000000,5404999604,5607000000,5053000000,5377000000,5494000000,5062000000,4832000000,5481000000,6267000000,7006000000,7009000000,7791000000,7917000000,-684000000,-2155000000
4,Gross Profit Ratio,0.4596,0.4619,0.4674,0.4553,0.4557,0.4707,0.4317,0.4390,0.4393,0.4264,0.4147,0.3828,0.3841,0.3716,0.3479,0.3291,0.3126,0.3451,0.3988,0.4275,0.4003,0.4126,0.3802,-0.1223,-1.1295
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,296533000,369469000,447235000,487403000,618664000,611948000,932000000,1285000000,1329000000,1447000000,- -,1629000000,1590000000,1614000000,1717000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1335000000,1447000000,508000627,- -,1590000000,- -,1717000000,1720000000,1879000000,2054000000,2067000000,2197000000,2265000000,2450000000,2480000000,1878000000,1885000000
8,"Selling, General and Administrative Exp.",296533000,369469000,447235000,487403000,618664000,611948000,932000000,1285000000,2664000000,2894000000,508000627,1629000000,3180000000,1614000000,3434000000,1720000000,1879000000,2054000000,2067000000,2197000000,2265000000,2450000000,2480000000,1878000000,1885000000
9,Other Expenses,167287000,200668000,243658000,287667000,372224000,382343000,585000000,812000000,-433000000,-459000000,2171998245,1249000000,-281000000,1416000000,-195000000,1527000000,1588000000,1635000000,1626000000,1738000000,1846000000,2017000000,2160000000,2241000000,2233000000
10,Operating Expenses,463820000,570137000,690893000,775070000,990888000,994291000,1517000000,2097000000,2231000000,2435000000,2679998872,2878000000,2899000000,3030000000,3239000000,3247000000,3467000000,3689000000,3693000000,3935000000,4111000000,4467000000,4640000000,4119000000,4118000000
11,COGS and Expenses,1786489000,2189514000,2553529000,2833412000,3459618000,3306210000,5335000000,7554000000,8448000000,9226000000,10307998281,11917000000,11003000000,12122000000,13538000000,13567000000,14091000000,14092000000,13140000000,13318000000,14612000000,15557000000,17548000000,10397000000,8181000000
12,Interest Income ,8675000,10257000,41932000,16506000,34255000,32140000,- -,17000000,29000000,25000000,67000075,35000000,14000000,12000000,11000000,10000000,11000000,8000000,8000000,6000000,9000000,14000000,23000000,18000000,12000000
13,Interest Expense (Gain),55898000,57772000,46956000,41372000,120692000,110740000,130200000,289000000,330000000,312000000,366999457,414000000,380000000,378000000,365000000,336000000,319000000,288000000,217000000,223000000,198000000,194000000,206000000,895000000,1601000000
14,Depreciation and Amortization,167287000,200668000,243658000,287667000,372224000,382343000,585000000,812000000,902000000,988000000,1101000428,1249000000,1309000000,1416000000,1522000000,1527000000,1588000000,1635000000,1626000000,1738000000,1846000000,2017000000,2160000000,2241000000,2233000000
15,EBITDA,895468000,1098140000,1320632000,1295591000,1406859000,1452462000,1938200000,3002000000,3562000000,3618000000,3891999914,4040000000,3495000000,3773000000,3799000000,3165000000,2979000000,3168000000,3642000000,4789000000,4710000000,5417000000,5427000000,-7117000000,-5688000000
16,EBITDA ratio,0.3659,0.3649,0.3776,0.3429,0.3102,0.3325,0.2885,0.3086,0.3213,0.3056,0.2986,0.2758,0.2656,0.2608,0.2405,0.2058,0.1927,0.1994,0.2318,0.2922,0.2690,0.2869,0.2606,-1.2723,-2.9811
17,Operating Income,714070000,896524000,1019699000,982958000,891731000,1042059000,1383000000,2173000000,2639000000,2613000000,2725000733,2729000000,2154000000,2347000000,2255000000,1642000000,1352000000,1792000000,2574000000,3071000000,2809000000,3325000000,3276000000,-8865000000,-7089000000
18,Operating Income ratio,0.2918,0.2979,0.2916,0.2601,0.1966,0.2386,0.2059,0.2234,0.2380,0.2207,0.2091,0.1863,0.1637,0.1622,0.1428,0.1067,0.0875,0.1128,0.1638,0.1874,0.1604,0.1761,0.1573,-1.5847,-3.7154
