,https://roic.ai/company/EQNR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13902024676,17463440070,25992000000,25720000000,35109000000,37506000000,50740000000,58247000000,68197000000,96247000000,94270000000,80317000147,89900321489,112072945986,126397953847,101847862905,81615854028,52932503947,45688000000,60971000000,78555000000,62911000000,45753000000,88744000000
2,COGS,7420881132,10386101301,13753000000,14041000000,21614000000,22507000000,31484000000,35392000000,38423000000,50025000000,49415000000,48217154591,43788293728,53545938882,75871012115,62466908488,54163982230,39247182166,33055000000,36856000000,47765000000,42736000000,36221000000,46879000000
3,Gross Profit,6481143544,7077338769,12239000000,11679000000,13495000000,14999000000,19256000000,22855000000,29774000000,46222000000,44855000000,32099845555,46112027760,58527007104,50526941732,39380954417,27451871798,13685321781,12633000000,24115000000,30790000000,20175000000,9532000000,41865000000
4,Gross Profit Ratio,0.4662,0.4053,0.4709,0.4541,0.3844,0.3999,0.3795,0.3924,0.4366,0.4802,0.4758,0.3997,0.5129,0.5222,0.3997,0.3867,0.3364,0.2585,0.2765,0.3955,0.3920,0.3207,0.2083,0.4718
5,Research and Development Exp.,433502866,275688629,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3697000000,4004000000,4863000000,5195000000,5575000000,5647000000,7535000000,13714000000,10104000000,1781033486,1884876422,2212840102,1988121422,1512754825,981865086,853199612,762000000,738000000,758000000,809000000,706000000,780000000
9,Other Expenses,3394897217,3309261516,1775000000,2010000000,2426000000,2448000000,2892000000,3124000000,3491000000,7249000000,6179000000,9328121899,21077412441,21044095966,12376503629,12891301989,12212787649,11558010748,12093000000,10208000000,10648000000,10687000000,12714000000,8134000000
10,Operating Expenses,3828400083,3584950145,5472000000,6014000000,7289000000,7643000000,8467000000,8771000000,11026000000,20963000000,16283000000,11109155385,22962288864,23256936068,14364625051,14404056814,13194652736,12411210360,12855000000,10946000000,11406000000,11496000000,13420000000,8914000000
11,COGS and Expenses,11249281215,13971051446,19225000000,20055000000,28903000000,30150000000,39951000000,44163000000,49449000000,70988000000,65698000000,59326309977,66750582592,76802874950,90235637166,76870965302,67358634965,51658392526,45910000000,47802000000,59171000000,54232000000,49641000000,55793000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,639867471,540067019,413315909,197021042,263087796,349705373,284399871,390000000,316000000,204000000,425000000,237000000,112000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2148594897,297844835,627429299,447775095,230201821,511107853,443663798,623000000,490000000,578000000,993000000,979000000,769000000
