,https://roic.ai/company/EDRY,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,7878953,19158019,24522871,27241462,22288961,64441826
2,COGS,8219679,14202487,16481062,20016526,20720060,20465732
3,Gross Profit,-340726,4955532,8041809,7224936,1568901,43976094
4,Gross Profit Ratio,-0.0432,0.2587,0.3279,0.2652,0.0704,0.6824
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1578963,2326876,4047842,4217202,4310044,4989174
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1578963,2326876,4047842,4217202,4310044,4989174
9,Other Expenses,- -,- -,- -,- -,- -,97094
10,Operating Expenses,1578963,2326876,4047842,4217202,4310044,5086268
11,COGS and Expenses,9798642,16529363,20528904,24233728,25030104,25552000
12,Interest Income ,53,- -,14083,22216,4094,10484
13,Interest Expense (Gain),1161169,1817574,2913141,3513105,2331998,2339023
14,Depreciation and Amortization,3828634,4786272,5422155,6458251,6556256,7656638
15,EBITDA,-5151550,7453547,9455031,9987853,3010393,41149482
16,EBITDA ratio,-0.6538,0.3891,0.3856,0.3666,0.1351,0.6386
17,Operating Income,-8969868,2628656,3993967,3007734,-2741143,38889826
18,Operating Income ratio,-1.1385,0.1372,0.1629,0.1104,-0.1230,0.6035
19,Total Other Income Expenses (Gains),-1171485,-1778955,-2874232,-2991237,-3136718,-7736005
20,Income Before Tax,-10141353,849701,1119735,16497,-5877861,31153821
21,Income Before Tax Ratio,-1.2871,0.0444,0.0457,0.0006,-0.2637,0.4834
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-10141353,849701,1119735,16497,-5877861,31153821
24,Net Income ratio,-1.2871,0.0444,0.0457,0.0006,-0.2637,0.4834
25,EPS,-4.50,0.38,0.25,-0.85,-3.28,11.63
26,EPS Diluted,-4.50,0.38,0.25,-0.85,-3.28,11.54
27,Weighted Average Shares Outstanding,2254825,2254825,2232821,2251439,2275062,2528507
28,Weighted Average Shares Outstanding Diluted,2254825,2254825,2232821,2251439,2275062,2548950
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1731388/000091957419003068/d8225562_20-f.htm,https://www.sec.gov/Archives/edgar/data/1731388/000091957420002943/d8483984_20-f.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,591108,1257058,4375972,5396406,938282,26847426
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,591108,1257058,4375972,5396406,938282,26847426
34,Net Receivables,1415224,4944108,8545606,2302793,1988264,2017838
35,Inventory,268120,452191,566947,508711,1385280,770342
36,Other Current Assets,545459,967019,976744,1369747,1744069,774337
37,Total Current Assets,2819911,7620376,14465269,9577657,6055895,30409943
38,PP&E,64439364,81979636,110637462,105461265,99305990,128492819
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,19430520,7852664,2605030,2650000,2150000,2430113
45,Total Non-Current Assets,83869884,89832300,113242492,108111265,101455990,130922932
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,86689795,97452676,127707761,117688922,107511885,161332875
48,Accounts Payable,309338,346968,690653,1046561,1074518,855825
49,Short-Term Debt,1269805,7967267,6930655,6806294,13793754,13949720
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,80546,289738,196231,445824,246125,1514543
52,Other Current Liabilities,464901,1037027,1166209,2870359,4145400,1386459
53,Total Current Liabilities,2124590,9641000,8983748,11169038,19259797,17706547
54,Long-Term Debt,28243478,30364035,56428100,49688840,37318084,64702947
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,25224830,24585518,- -,304174,393899,- -
58,Total Non-Current Liabilities,53468308,54949553,56428100,49993014,37711983,64702947
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,55592898,64590553,65411848,61162052,56971780,82409494
62,Preferred Stock,- -,- -,18757358,14721665,15940713,- -
63,Common Stock,41603370,42518895,22799,23046,23482,29192
64,Retained Earnings,-10506473,-9656772,-9102266,-11020415,-18472150,10930482
65,Other Comprehensive Income/Loss,-16273461,-21059733,-26481888,-32940139,-39496395,- -
66,Other Total Stockholders Equity,16273461,21059733,79099910,85742713,92544455,67963707
67,Total Stockholders Equity,31096897,32862123,62295913,56526870,50540105,78923381
68,Total Liabilities And Stockholders Equity,86689795,97452676,127707761,117688922,107511885,161332875
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,86689795,97452676,127707761,117688922,107511885,161332875
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1731388/000091957419003068/d8225562_20-f.htm,https://www.sec.gov/Archives/edgar/data/1731388/000091957420002943/d8483984_20-f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-10141353,849701,1119735,16497,-5877861,31153821
74,Depreciation and Amortization,3828634,4786272,5422155,6458251,6556256,7656638
