,https://roic.ai/company/WRAP,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,23150,696790,3944057
2,COGS,- -,- -,- -,18611,420016,2601323
3,Gross Profit,- -,- -,- -,4539,276774,1342734
4,Gross Profit Ratio,- -,- -,- -,0.1961,0.3972,0.3404
5,Research and Development Exp.,- -,- -,311335,734776,2236985,2788887
6,General and Administrative Exp.,- -,- -,- -,- -,- -,11630644
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,11630644
9,Other Expenses,- -,- -,522210,2607397,6653465,- -
10,Operating Expenses,- -,- -,833545,3342173,8890450,14419531
11,COGS and Expenses,- -,- -,833545,3360784,9310466,17020854
12,Interest Income ,- -,- -,- -,2912,291494,83272
13,Interest Expense (Gain),- -,- -,- -,1304,- -,- -
14,Depreciation and Amortization,- -,- -,6661,21875,46945,163262
15,EBITDA,- -,- -,-826884,-3313256,-8278543,-12416947
16,EBITDA ratio,- -,- -,-Infinity,-143.1212,-11.8810,-3.1483
17,Operating Income,- -,- -,-833545,-3337634,-8613676,-13076797
18,Operating Income ratio,- -,- -,-Infinity,-144.1743,-12.3619,-3.3156
19,Total Other Income Expenses (Gains),- -,- -,- -,1199,288188,496588
20,Income Before Tax,- -,- -,-833545,-3336435,-8325488,-12580209
21,Income Before Tax Ratio,- -,- -,-Infinity,-144.1225,-11.9483,-3.1897
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-833545,-3336435,-8325488,-12580209
24,Net Income ratio,- -,- -,-Infinity,-144.1225,-11.9483,-3.1897
25,EPS,- -,- -,-0.04,-0.14,-0.29,-0.37
26,EPS Diluted,- -,- -,-0.04,-0.14,-0.29,-0.37
27,Weighted Average Shares Outstanding,- -,- -,22803533,23578291,28652625,33846338
28,Weighted Average Shares Outstanding Diluted,- -,- -,22803533,23578291,28652625,33846338
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1702924/000165495419002417/0001654954-19-002417-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000165495420002439/0001654954-20-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000165495421002358/0001654954-21-002358-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,255072,3083976,12358896,16983864,16646811
32,Short-Term Investments,- -,- -,- -,- -,- -,24994360
33,Cash and Short-Term Investments,- -,255072,3083976,12358896,16983864,41641171
34,Net Receivables,- -,- -,- -,4396,195347,1870934
35,Inventory,- -,- -,131192,158267,2244541,2655390
36,Other Current Assets,- -,28299,11446,114863,250947,759445
37,Total Current Assets,- -,283371,3226614,12636422,19674699,46926940
38,PP&E,- -,8226,36668,30373,503807,496375
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,230283,1396484
41,Intangible Assets,- -,- -,- -,118715,230283,1396484
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1512,1512,1512,12681,12681
45,Total Non-Current Assets,- -,9738,38180,150600,746771,1905540
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,293109,3264794,12787022,20421470,48832480
48,Accounts Payable,- -,12065,36165,232915,406967,1232349
49,Short-Term Debt,- -,- -,- -,- -,128131,94011
50,Tax Payable,- -,- -,- -,- -,29327,43260
51,Deferred Revenue,- -,- -,- -,- -,346408,18110
52,Other Current Liabilities,- -,72900,156314,164453,194294,996075
53,Total Current Liabilities,- -,84965,192479,397368,1075800,2340545
54,Long-Term Debt,- -,- -,- -,- -,- -,56006
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,150018,22500
58,Total Non-Current Liabilities,- -,- -,- -,- -,150018,78506
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,278149,150017
61,Total Liabilities,- -,84965,192479,397368,1225818,2419051
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1745,2280,2736,2983,3756
64,Retained Earnings,- -,-234356,-1067901,-4404336,-12729824,-25310033
65,Other Comprehensive Income/Loss,- -,- -,- -,-28493,-72732,14849
66,Other Total Stockholders Equity,- -,440755,4137936,16819747,31995225,71704857
67,Total Stockholders Equity,- -,208144,3072315,12389654,19195652,46413429
68,Total Liabilities And Stockholders Equity,- -,293109,3264794,12787022,20421470,48832480
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,293109,3264794,12787022,20421470,48832480
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1702924/000165495419002417/0001654954-19-002417-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000165495420002439/0001654954-20-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000165495421002358/0001654954-21-002358-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,- -,-833545,-3336435,-8325488,-12580209
74,Depreciation and Amortization,- -,- -,6661,21875,46945,163262
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,512988,1536096,2236743
77,Change in Working Capital,- -,- -,-6825,6359845,25987496,-6230395
78,Accounts Receivable,- -,- -,- -,-4396,-190951,-1685727
79,Inventory,- -,- -,-131192,-27075,-1892768,-342741
80,Accounts Payable,- -,- -,24100,196750,174052,825382
81,Other Working Capital,- -,- -,12239054,18598899,44586395,38356000
82,Other Non-Cash Items,- -,- -,- -,-6250409,-27730686,4223675
83,Cash Provided by Operating Activities,- -,- -,-833709,-2692136,-8485637,-12186924
84,CAPEX,- -,- -,-35103,-134295,-371016,-921374
85,Acquisitions Net,- -,- -,- -,- -,- -,-210000
86,Purchases of Investments,- -,- -,- -,- -,-11169,-34979511
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,10000000
88,Other Investing Activites,- -,- -,-35103,-134295,-371016,-921374
89,Cash Used for Investing Activites,- -,- -,-35103,-134295,-382185,-26110885
90,Debt Repayment,- -,- -,- -,-39435,- -,- -
91,Common Stock Issued,- -,- -,3767800,13683222,12499994,12400002
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-70084,-1542436,992796,25560754
95,Cash Used/Provided by Financing Activities,- -,- -,3697716,12101351,13492790,37960756
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,2828904,9274920,4624968,-337053
98,Cash at the End of Period,- -,- -,3083976,12358896,16983864,16646811
99,Cash at the Beginning of Period,- -,- -,255072,3083976,12358896,16983864
100,Free Cash Flow,- -,- -,-868812,-2826431,-8856653,-13108298
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1702924/000165495419002417/0001654954-19-002417-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000165495420002439/0001654954-20-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000165495421002358/0001654954-21-002358-index.htm
102,false,,,,,,
