,https://roic.ai/company/AMRK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,6988876000,7782340000,7247717000,5979354000,6070234000,6784039000,6989624000,7606248000,4783157000,5461094000,7613015000
2,COGS,6959092000,7755900000,7217370000,5951913000,6045736000,6749518000,6958290000,7576805000,4751199000,5394121000,7402817000
3,Gross Profit,29784000,26440000,30347000,27441000,24498000,34521000,31334000,29443000,31958000,66973000,210198000
4,Gross Profit Ratio,0.0043,0.0034,0.0042,0.0046,0.0040,0.0051,0.0045,0.0039,0.0067,0.0123,0.0276
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,13455000,15563000,14120000,15570000,17131000,22233000,23343000,33398000,32502000,36756000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13455000,15563000,14120000,15570000,17131000,22233000,23343000,33398000,32502000,36756000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58809000
10,Operating Expenses,13455000,15563000,14120000,15570000,17131000,22233000,23343000,33398000,32502000,36756000,58809000
11,COGS and Expenses,6972547000,7771463000,7231490000,5967483000,6062867000,6771751000,6981633000,7610203000,4783701000,5430877000,7461626000
12,Interest Income ,8926000,12225000,7793000,5592000,6073000,8795000,12553000,16105000,19270000,21237000,18474000
13,Interest Expense (Gain),3324000,4248000,3484000,3926000,4311000,6319000,10117000,13891000,17146000,18859000,19865000
14,Depreciation and Amortization,681000,727000,826000,934000,895000,1216000,1521000,2626000,2807000,2900000,10788000
15,EBITDA,25749000,23891000,24876000,18391000,14354000,23099000,22445000,13128000,23193000,58655000,222167000
16,EBITDA ratio,0.0037,0.0031,0.0034,0.0031,0.0024,0.0034,0.0032,0.0017,0.0048,0.0107,0.0292
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),5415000,8039000,4339000,1660000,1781000,3276000,2794000,544000,3821000,7661000,41412000
20,Income Before Tax,21744000,18916000,20566000,13531000,9148000,15564000,10785000,-3411000,3277000,37878000,192801000
21,Income Before Tax Ratio,0.0031,0.0024,0.0028,0.0023,0.0015,0.0023,0.0015,-0.0004,0.0007,0.0069,0.0253
22,Income Tax expense (Gain),9084000,8342000,8052000,5272000,2097000,6293000,3721000,8000,1015000,6387000,31877000
23,Net Income,12660000,10574000,12514000,8259000,7051000,9271000,7086000,-3397000,2225000,30509000,159637000
24,Net Income ratio,0.0018,0.0014,0.0017,0.0014,0.0012,0.0014,0.0010,-0.0004,0.0005,0.0056,0.0210
25,EPS,1.71,1.43,1.69,1.10,1.01,1.33,1.01,-0.48,0.32,4.34,19.13
26,EPS Diluted,1.71,1.43,1.69,1.09,1.00,1.30,1.00,-0.48,0.31,4.31,17.79
27,Weighted Average Shares Outstanding,7402664,7402664,7402664,7530300,6962800,6981900,7029400,7031400,7031400,7031500,8343300
28,Weighted Average Shares Outstanding Diluted,7402664,7402664,7402664,7590400,7062600,7120300,7121500,7031400,7085300,7080500,8972300
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1591588/000159158814000110/0001591588-14-000110-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000072/0001591588-15-000072-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000181/a-mark10xkw2016junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000062/0001591588-17-000062-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000044/0001591588-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158819000024/0001591588-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000156459020043316/0001564590-20-043316-index.htm,https://www.sec.gov/Archives/edgar/data/1591588/000156459021047760/0001564590-21-047760-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11273000,21565000,13193000,20927000,17142000,13059000,6291000,8320000,52325000,101405000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,11273000,21565000,13193000,20927000,17142000,13059000,6291000,8320000,52325000,101405000
34,Net Receivables,- -,124010000,94509000,83779000,87632000,120827000,130533000,147833000,153666000,112852000,201968000
35,Inventory,- -,143464000,162378000,175554000,191501000,245057000,284659000,280116000,292861000,321281000,256991000
36,Other Current Assets,- -,20784000,21918000,22797000,12566000,35235000,18770000,272743000,214003000,227561000,403863000
37,Total Current Assets,- -,299531000,300370000,295323000,312626000,418261000,447021000,706983000,668850000,714019000,964227000
38,PP&E,- -,1174000,1213000,1678000,2850000,3482000,6607000,8018000,6731000,9898000,14311000
39,Goodwill,- -,4884000,4884000,4884000,4884000,4620000,8881000,8881000,8881000,8881000,100943000
40,Intangible Assets,- -,3526000,3141000,2753000,2369000,1987000,4065000,6861000,5852000,4974000,93633000
41,Intangible Assets,- -,8410000,8025000,7637000,7253000,6607000,12946000,15742000,14733000,13855000,194576000
42,Investments,- -,- -,- -,500000,2500000,7873000,7967000,8388000,11885000,16763000,18467000
43,Tax Assets,- -,- -,- -,- -,23000,424000,3959000,3870000,3163000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,650000,500000,- -,- -,- -,3500000,- -
45,Total Non-Current Assets,- -,9584000,9238000,9815000,13276000,18886000,31479000,36018000,36512000,44016000,227354000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,309115000,309608000,305138000,325902000,437147000,478500000,743001000,705362000,758035000,1191581000
48,Accounts Payable,- -,7451000,1531000,366000,128000,603000,277000,175000,1246000,2316000,1561000
