,https://roic.ai/company/GLBS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,98597000,52812000,28860000,35560000,32200000,29430000,26378000,12715000,9018000,14423000,17354000,15623000,11753000
2,COGS,19211000,13879000,8040000,11250000,12660000,10850000,12481000,11041000,8260000,8805000,8392000,9096000,14804000
3,Gross Profit,79386000,38933000,20820000,24310000,19540000,18580000,13897000,1674000,758000,5618000,8962000,6527000,-3051000
4,Gross Profit Ratio,0.8052,0.7372,0.7214,0.6836,0.6068,0.6313,0.5268,0.1317,0.0841,0.3895,0.5164,0.4178,-0.2596
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4108000,5030000,3690000,3590000,5640000,4600000,3958000,3940000,4194000,4000000,4645000,3878000,3716000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4108000,5030000,3690000,3590000,5640000,4600000,3958000,3940000,4194000,4000000,4645000,3878000,3716000
9,Other Expenses,18979000,12716000,7802000,11403000,-2128000,-2204000,-1479000,-1554000,-1669000,-2305000,-2723000,-1913000,41000
10,Operating Expenses,23087000,17746000,11492000,14993000,3512000,2396000,2479000,2386000,2525000,1695000,1922000,1965000,3757000
11,COGS and Expenses,42298000,31625000,19530000,26240000,112450000,20960000,21144000,42423000,16246000,18438000,18802000,49272000,18561000
12,Interest Income ,946000,1032000,247000,52000,47000,41000,12000,8000,5000,3000,- -,47000,16000
13,Interest Expense (Gain),7707000,2926000,-3330000,2821000,3358000,3571000,2137000,2783000,2676000,2221000,2056000,4703000,4058000
14,Depreciation and Amortization,18979000,12716000,7367000,10498000,13841000,7317000,6944000,7188000,6019000,5716000,5767000,6425000,3733000
15,EBITDA,69504000,5563000,10037000,20249000,-65601000,16568000,12293000,-22425000,-1130000,1462000,4255000,-25223000,-9581000
16,EBITDA ratio,0.7049,0.1053,0.3478,0.5694,-2.0373,0.5630,0.4660,-1.7637,-0.1253,0.1014,0.2452,-1.6145,-0.8152
17,Operating Income,56299000,21187000,9329000,9316000,-80250000,8477000,5234000,-29708000,-7228000,-4015000,-1448000,-33649000,-11423000
18,Operating Income ratio,0.5710,0.4012,0.3233,0.2620,-2.4922,0.2880,0.1984,-2.3365,-0.8015,-0.2784,-0.0834,-2.1538,-0.9719
