,https://roic.ai/company/EA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,72400000,101800000,162100000,298400000,418300000,493300000,531900000,624800000,908900000,1221900000,1420011000,1322273000,1724675000,2482244000,2957141000,3129000000,2951000000,3091000000,3665000000,4212000000,3654000000,3589000000,4143000000,3797000000,3575000000,4515000000,4396000000,4845000000,5150000000,4950000000,5537000000,5629000000
2,COGS,37600000,57100000,85200000,156600000,216700000,252600000,257700000,290600000,453900000,590900000,671072000,582574000,807611000,1072802000,1102950000,1197000000,1181000000,1212000000,1805000000,2127000000,1866000000,1499000000,1598000000,1388000000,1347000000,1429000000,1354000000,1298000000,1277000000,1322000000,1369000000,1494000000
3,Gross Profit,34800000,44700000,76900000,141800000,201600000,240700000,274200000,334200000,455000000,631000000,748939000,739699000,917064000,1409442000,1854191000,1932000000,1770000000,1879000000,1860000000,2085000000,1788000000,2090000000,2545000000,2409000000,2228000000,3086000000,3042000000,3547000000,3873000000,3628000000,4168000000,4135000000
4,Gross Profit Ratio,0.4807,0.4391,0.4744,0.4752,0.4820,0.4879,0.5155,0.5349,0.5006,0.5164,0.5274,0.5594,0.5317,0.5678,0.6270,0.6174,0.5998,0.6079,0.5075,0.4950,0.4893,0.5823,0.6143,0.6344,0.6232,0.6835,0.6920,0.7321,0.7520,0.7329,0.7528,0.7346
5,Research and Development Exp.,- -,- -,- -,- -,62600000,73900000,99600000,118100000,146200000,202100000,260759000,388928000,387736000,400990000,510858000,633000000,758000000,1041000000,1145000000,1359000000,1229000000,1153000000,1212000000,1153000000,1125000000,1094000000,1109000000,1205000000,1320000000,1433000000,1559000000,1778000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,91300000,105100000,127300000,186100000,239000000,281130000,289377000,348168000,463312000,555293000,612000000,646000000,- -,927000000,332000000,320000000,301000000,375000000,354000000,410000000,386000000,406000000,439000000,469000000,460000000,506000000,592000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000000,730000000,747000000,853000000,788000000,680000000,647000000,622000000,673000000,641000000,702000000,631000000,689000000
8,"Selling, General and Administrative Exp.",24600000,30500000,52400000,96600000,70600000,91300000,105100000,127300000,186100000,239000000,281130000,289377000,348168000,463312000,555293000,612000000,646000000,754000000,927000000,1023000000,1050000000,1048000000,1228000000,1142000000,1090000000,1033000000,1028000000,1112000000,1110000000,1162000000,1137000000,1281000000
9,Other Expenses,1200000,1500000,1700000,4000000,7900000,10800000,15900000,21500000,26900000,40500000,46725000,22042000,25418000,73811000,2735000,3000000,7000000,27000000,34000000,58000000,53000000,57000000,43000000,30000000,16000000,14000000,7000000,6000000,9000000,23000000,22000000,30000000
10,Operating Expenses,25800000,32000000,54100000,100600000,141100000,176000000,220600000,266900000,359200000,481600000,588614000,700347000,761322000,938113000,1068886000,1248000000,1411000000,1822000000,2106000000,2440000000,2332000000,2258000000,2483000000,2325000000,2231000000,2141000000,2144000000,2323000000,2439000000,2618000000,2718000000,3089000000
11,COGS and Expenses,63400000,89100000,139300000,257200000,357800000,428600000,478300000,557500000,813100000,1072500000,1259686000,1282921000,1568933000,2010915000,2171836000,2445000000,2592000000,3034000000,3911000000,4567000000,4198000000,3757000000,4081000000,3713000000,3578000000,3570000000,3498000000,3621000000,3716000000,3940000000,4087000000,4583000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,10000000,- -,9000000,6000000,5000000,10000000,15000000,25000000,50000000,88000000,100000000,24000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,29000000,30000000,31000000,28000000,45000000,42000000,43000000,42000000,43000000
14,Depreciation and Amortization,1200000,1500000,1700000,4000000,7900000,10800000,15900000,21500000,26900000,40500000,46725000,69668000,110901000,91639000,77513000,75000000,95000000,147000000,164000000,58000000,53000000,180000000,216000000,264000000,227000000,220000000,197000000,172000000,136000000,145000000,150000000,181000000
15,EBITDA,10800000,15300000,26000000,48300000,72100000,91500000,75200000,101700000,135300000,158800000,216118000,54423000,258379000,551785000,874073000,800000000,478000000,289000000,-343000000,-797000000,-653000000,-99000000,254000000,432000000,264000000,1176000000,1102000000,1427000000,1627000000,1267000000,1700000000,1241000000
16,EBITDA ratio,0.1492,0.1503,0.1604,0.1619,0.1724,0.1855,0.1414,0.1628,0.1489,0.1300,0.1522,0.0412,0.1498,0.2223,0.2956,0.2557,0.1620,0.0935,-0.0936,-0.1892,-0.1787,-0.0276,0.0613,0.1138,0.0738,0.2605,0.2507,0.2945,0.3159,0.2560,0.3070,0.2205
17,Operating Income,9000000,12700000,22800000,41200000,60500000,64700000,53600000,67300000,95800000,149400000,160325000,-30316000,135439000,456227000,775597000,669000000,325000000,39000000,-487000000,-827000000,-686000000,-312000000,35000000,121000000,33000000,948000000,898000000,1224000000,1434000000,996000000,1445000000,1046000000
