,https://roic.ai/company/IMUN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,16197,3460,- -,113500,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,47670,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,65830,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.5800,- -,- -,- -
5,Research and Development Exp.,4960000,22020000,7539540,977203,444170,399440,144100,336110,126259,152667000
6,General and Administrative Exp.,48560000,71100000,24936930,- -,13829630,5514100,4004820,2499860,760132,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",48558177,71104088,24936928,8974557,9098903,4923490,4004818,2499864,760132,585502000
9,Other Expenses,1570401,2857387,2879307,594785,1552,829,1732,2074,639,- -
10,Operating Expenses,55088578,95981475,35355775,10546545,9544625,5323759,4150650,2838048,887030,738169000
11,COGS and Expenses,175190000,104620000,49549210,10546545,16375900,5047910,4882990,2838050,887030,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),27003,1437392,388221,270989,3446564,1216985,1183196,894173,479931,-210919000
14,Depreciation and Amortization,1570232,2853436,2879311,594785,1557,826,1734,2074,639,- -
15,EBITDA,-173620000,-101770000,-49546720,-15448022,-16073279,-5047080,-6990300,-2835980,-724820,-738169000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-953.7582,-4645.4564,-Infinity,-61.5885,-Infinity,-Infinity,-Infinity
17,Operating Income,-153088578,-95981475,-45264252,-15802889,-14271888,-5914364,-4084823,-2838048,-887030,-738169
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-975.6677,-4124.8231,-Infinity,-35.9896,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-22131422,-10078525,-4673958,-1146562,-5547112,-2020066,-4540787,-558612,2475647,3586772169
20,Income Before Tax,-175220000,-106060000,-49938210,-16949451,-19819000,-7934430,-8625610,-3396660,- -,3586034000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-1046.4562,-5728.0347,-Infinity,-75.9966,-Infinity,- -,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-174990000,-106060000,-48253220,-16313796,-19521400,-7316210,-8175230,-3396660,- -,3586034000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-1007.2110,-5642.0231,-Infinity,-72.0285,-Infinity,- -,Infinity
25,EPS,-6840.00,-1850.00,-490.00,-110.00,-90.00,-20.00,-20.00,-7.59,3.44,7413.54
26,EPS Diluted,-6840.00,-1850.00,-490.00,-110.00,-90.00,-20.00,-20.00,-7.59,0.11,276.04
27,Weighted Average Shares Outstanding,25583,57234,98508,153247,216687,320721,429662,447530,461190,447530
28,Weighted Average Shares Outstanding Diluted,25583,57234,98508,153247,216687,320721,429662,447530,15947473,447530
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559356/000135448814001571/0001354488-14-001571-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1559356/000149315217003099/0001493152-17-003099-index.html,https://www.sec.gov/Archives/edgar/data/1559356/000149315218004485/0001493152-18-004485-index.html,https://www.sec.gov/Archives/edgar/data/1559356/000149315219005481/0001493152-19-005481-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315220008717/0001493152-20-008717-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315221008834/0001493152-21-008834-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315222007249/0001493152-22-007249-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,310000,410000,191990,23149,74390,14720,5860,4930,9971,494
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,310000,410000,191990,23149,74390,14720,5860,4930,9971,494
34,Net Receivables,- -,- -,- -,16197,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,178100,82800,- -,- -,- -
36,Other Current Assets,- -,210000,30000,- -,- -,- -,- -,- -,- -,2645
37,Total Current Assets,310000,620000,221990,39346,74390,192820,88660,4930,9971,3139
38,PP&E,- -,10000,4240,1682,1850,2530,2770,690,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,18690000,18550000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,18690000,18550000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,30000,10000,5828760,200,200,200,200,200,200,- -
45,Total Non-Current Assets,18720000,18570000,5833000,1882,2050,2730,2970,890,200,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19030000,19190000,6054990,41228,76440,195550,91630,5820,10171,3139
