,https://roic.ai/company/SSTK,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,61099000,82973000,120271000,169616000,235515000,327971000,425149000,494317000,557111000,623250000,650523000,666686000,773415000
2,COGS,21826000,32353000,45504000,64676000,90627000,130022000,174526000,203129000,233102000,267671000,278176000,259573000,277659000
3,Gross Profit,39273000,50620000,74767000,104940000,144888000,197949000,250623000,291188000,324009000,355579000,372347000,407113000,495756000
4,Gross Profit Ratio,0.6428,0.6101,0.6217,0.6187,0.6152,0.6036,0.5895,0.5891,0.5816,0.5705,0.5724,0.6107,0.6410
5,Research and Development Exp.,2361000,4591000,9777000,16330000,21764000,38301000,41322000,47789000,52486000,58897000,57216000,46038000,52014000
6,General and Administrative Exp.,6217000,8414000,10171000,21651000,23063000,38880000,61647000,70987000,98710000,97782000,113246000,116568000,130758000
7,Selling and Marketing Exp.,10949000,17820000,31929000,45107000,56738000,82125000,106636000,126626000,146464000,166448000,181730000,159241000,204878000
8,"Selling, General and Administrative Exp.",17166000,26234000,42100000,66758000,79801000,121005000,168283000,197613000,245174000,264230000,294976000,275809000,335636000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,19527000,30825000,51877000,83088000,101565000,159306000,209605000,245402000,297660000,323127000,352192000,321847000,387650000
11,COGS and Expenses,41353000,63178000,97381000,147764000,192192000,289328000,384131000,448531000,530762000,590798000,630368000,581420000,665309000
12,Interest Income ,5000,- -,10000,- -,- -,- -,27000,149000,891000,2736000,4221000,1190000,137000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,404000,874000,1520000,2640000,3870000,7917000,14841000,19946000,35490000,45652000,49915000,41359000,48771000
15,EBITDA,20155000,20688000,24420000,24445000,47245000,46094000,49113000,64443000,65571000,111765000,74831000,130882000,153507000
16,EBITDA ratio,0.3299,0.2493,0.2030,0.1441,0.2006,0.1405,0.1155,0.1304,0.1177,0.1793,0.1150,0.1963,0.1985
17,Operating Income,19746000,19795000,22890000,21852000,43323000,38643000,41018000,45786000,26349000,32452000,20155000,85266000,108106000
18,Operating Income ratio,0.3232,0.2386,0.1903,0.1288,0.1840,0.1178,0.0965,0.0926,0.0473,0.0521,0.0310,0.1279,0.1398
19,Total Other Income Expenses (Gains),5000,19000,10000,-47000,52000,-466000,-6746000,-1289000,3732000,33661000,4761000,4257000,-3370000
20,Income Before Tax,19751000,19814000,22900000,21805000,43375000,38177000,34272000,44497000,30081000,66113000,24916000,89523000,104736000
21,Income Before Tax Ratio,0.3233,0.2388,0.1904,0.1286,0.1842,0.1164,0.0806,0.0900,0.0540,0.1061,0.0383,0.1343,0.1354
22,Income Tax expense (Gain),909000,876000,1036000,-25738000,16896000,16088000,14720000,11869000,13354000,11426000,4808000,17757000,12853000
23,Net Income,18842000,18938000,21864000,47543000,26479000,22089000,19552000,32628000,16727000,54687000,20108000,71766000,91883000
24,Net Income ratio,0.3084,0.2282,0.1818,0.2803,0.1124,0.0674,0.0460,0.0660,0.0300,0.0877,0.0309,0.1076,0.1188
25,EPS,0.62,0.43,0.44,1.79,0.78,0.63,0.54,0.93,0.48,1.57,0.57,2.00,2.52
26,EPS Diluted,0.62,0.43,0.44,1.79,0.77,0.61,0.54,0.91,0.47,1.54,0.57,1.97,2.46
27,Weighted Average Shares Outstanding,30197979,20849242,30197979,23785299,33878494,35234768,35880000,35114000,34627000,34935000,35285000,35844000,36509000
28,Weighted Average Shares Outstanding Diluted,30197979,20849242,30197979,23833223,34426009,35913161,36319000,35861000,35291000,35420000,35581000,36369000,37324000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549346/000104746913002091/0001047469-13-002091-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000104746914001577/0001047469-14-001577-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000104746915001422/0001047469-15-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934616000024/0001549346-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934617000007/0001549346-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934618000006/0001549346-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934619000008/0001549346-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934620000007/0001549346-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934621000012/0001549346-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934622000007/0001549346-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6544000,14097000,102096000,155355000,233453000,241304000,224190000,253428000,230852000,303261000,428574000,314017000
32,Short-Term Investments,- -,- -,- -,- -,54429000,54844000,47078000,54972000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6544000,14097000,102096000,209784000,288297000,288382000,279162000,253428000,230852000,303261000,428574000,314017000
34,Net Receivables,- -,1197000,1779000,3111000,8164000,17702000,28464000,38107000,49932000,41028000,47016000,43846000,47707000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1307000,2198000,20768000,25240000,17531000,18829000,22569000,37109000,34841000,26703000,16650000,26491000
37,Total Current Assets,- -,9048000,18074000,125975000,243188000,323530000,335675000,339838000,340469000,306721000,376980000,489070000,388215000
38,PP&E,- -,1703000,3844000,5255000,20256000,26744000,32094000,56101000,85698000,76188000,104287000,90458000,82644000
39,Goodwill,- -,1423000,1423000,1423000,1423000,10186000,50934000,49271000,98654000,88576000,88974000,89413000,219816000
40,Intangible Assets,- -,1248000,1029000,1040000,853000,4934000,29781000,30157000,34197000,29540000,26669000,25765000,123822000
41,Intangible Assets,- -,2671000,2452000,2463000,2276000,15120000,80715000,79428000,132851000,118116000,115643000,115178000,343638000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,13000,58000,13239000,10720000,16484000,18691000,23013000,9761000,12375000,14387000,13566000,10512000
44,Other Non-Current Assets,- -,428000,427000,182000,2048000,1899000,1946000,3398000,8997000,18088000,19215000,21372000,26701000
45,Total Non-Current Assets,- -,4815000,6781000,21139000,35300000,60247000,133446000,161940000,237307000,224767000,253532000,240574000,463495000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,13863000,24855000,147114000,278488000,383777000,469121000,501778000,577776000,531488000,630512000,729644000,851710000
48,Accounts Payable,- -,468000,1838000,2606000,4164000,5334000,6816000,7305000,7160000,7212000,6104000,2442000,10092000
49,Short-Term Debt,- -,- -,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17164000,21488000
51,Deferred Revenue,- -,19631000,28451000,37934000,52100000,75789000,98239000,122235000,157803000,139604000,141922000,149843000,180979000
52,Other Current Liabilities,- -,10858000,16221000,22751000,35664000,39204000,55729000,73957000,80779000,76487000,97868000,104644000,142713000
53,Total Current Liabilities,- -,30957000,46510000,69291000,91928000,120327000,160784000,203497000,245742000,223303000,245894000,256929000,333784000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41620000,36966000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,3778000,2147000,1486000,77000,- -,- -,2781000
57,Other Non-Current Liabilities,- -,37209000,36273000,889000,3961000,12017000,15994000,9438000,15963000,21441000,56473000,9170000,9697000
58,Total Non-Current Liabilities,- -,37209000,36273000,889000,3961000,12017000,19772000,11585000,17449000,21518000,56473000,50790000,49444000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47313000,41620000,36966000
61,Total Liabilities,- -,68166000,82783000,70180000,95889000,132344000,180556000,215082000,263191000,244821000,302367000,307719000,383228000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5699000,5699000,335000,351000,356000,361000,369000,373000,376000,381000,389000,392000
64,Retained Earnings,- -,-60002000,-63627000,28317000,54796000,76885000,96437000,129065000,145139000,101079000,121187000,168305000,229537000
65,Other Comprehensive Income/Loss,- -,-1334000,-2610000,-5006000,-7109000,-1000000,-6000000,-17000000,-4000000,-6000000,-6000000,-7681000,-10788000
66,Other Total Stockholders Equity,- -,1334000,2610000,53288000,134561000,175192000,197767000,174262000,173073000,191212000,212577000,260912000,- -
67,Total Stockholders Equity,- -,-54303000,-57928000,76934000,182599000,251433000,288565000,286696000,314585000,286667000,328145000,421925000,468482000
68,Total Liabilities And Stockholders Equity,- -,13863000,24855000,147114000,278488000,383777000,469121000,501778000,577776000,531488000,630512000,729644000,851710000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,13863000,24855000,147114000,278488000,383777000,469121000,501778000,577776000,531488000,630512000,729644000,851710000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1549346/000104746913002091/0001047469-13-002091-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000104746914001577/0001047469-14-001577-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000104746915001422/0001047469-15-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934616000024/0001549346-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934617000007/0001549346-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934618000006/0001549346-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934619000008/0001549346-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934620000007/0001549346-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934621000012/0001549346-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934622000007/0001549346-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,18842000,18938000,21864000,47543000,26479000,22089000,19552000,32628000,16727000,54687000,20108000,71766000,91883000
74,Depreciation and Amortization,404000,874000,1520000,2640000,3870000,7917000,14841000,19946000,35490000,45652000,49915000,41359000,48771000
75,Deferred Income Tax,-234000,-293000,253000,-31300000,15848000,-4897000,-4840000,1767000,12491000,-6270000,-2025000,1019000,-1771000
76,Stock Based Compensation,1833000,1114000,2122000,10385000,6208000,23768000,28860000,28080000,24958000,23869000,22815000,28309000,36179000
77,Change in Working Capital,6383000,-25845000,-6527000,85120000,94576000,51943000,-28312000,-38550000,-41614000,-11309000,47668000,101055000,41173000
78,Accounts Receivable,- -,-350000,-553000,-1417000,-4862000,-9741000,-10680000,-13232000,-10015000,2641000,-6169000,513000,-4093000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2393000,2200000,5735000,6238000,10377000,10052000,2244000,10784000,12044000,6388000,8360000,8587000,34444000
81,Other Working Capital,3936000,-21909000,-28436000,56684000,151260000,203203000,174891000,136341000,94727000,83418000,131086000,232141000,23108000
82,Other Non-Cash Items,-77000,33938000,20315000,-68854000,-90608000,-17961000,55230000,57277000,59985000,-4427000,-35835000,-78436000,137000
83,Cash Provided by Operating Activities,27151000,28726000,39547000,45534000,56373000,82859000,85331000,101148000,108037000,102202000,102646000,165072000,216372000
84,CAPEX,-747000,-1116000,-3442000,-4062000,-14068000,-17950000,-14003000,-39959000,-55062000,-34890000,-26081000,-25630000,-28125000
85,Acquisitions Net,- -,- -,- -,- -,- -,-10000000,-62000000,- -,-50000000,-1000000,- -,-4820000,-190483000
86,Purchases of Investments,- -,- -,- -,- -,-115019000,-300350000,-270546000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,60595000,299967000,278351000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2689000,-1219000,-3419000,-4259000,-15662000,-18630000,-17651000,-57192000,-7365000,-11827000,-27234000,-30490000,-59955000
89,Cash Used for Investing Activites,-2689000,-1219000,-3419000,-4259000,-70086000,-29013000,-71846000,-57192000,-57365000,-12827000,-27234000,-35310000,-250438000
90,Debt Repayment,- -,- -,- -,-6000000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,81811000,65895000,2124000,1868000,1803000,- -,- -,- -,23153000,- -
