,https://roic.ai/company/FDMT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,5790000,14130000,6986000,13612000,18038000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,13573000,18362000,38718000,53038000,61360000
6,General and Administrative Exp.,3489000,6167000,13895000,17238000,28011000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3489000,6167000,13895000,17238000,28011000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,17062000,24529000,52613000,70276000,89371000
11,COGS and Expenses,17062000,24529000,52613000,70276000,- -
12,Interest Income ,89000,850000,1504000,152000,137000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,626000,697000,1004000,1443000,3020000
15,EBITDA,-10597000,-8854000,-48302000,-55250000,-68297000
16,EBITDA ratio,-1.8302,-0.6266,-6.9141,-4.0589,-3.7863
17,Operating Income,-11272000,-10399000,-50764000,-56664000,-71333000
18,Operating Income ratio,-1.9468,-0.7360,-7.2665,-4.1628,-3.9546
19,Total Other Income Expenses (Gains),49000,848000,1458000,-29000,16000
20,Income Before Tax,-11223000,-9551000,-49306000,-56693000,-71317000
21,Income Before Tax Ratio,-1.9383,-0.6759,-7.0578,-4.1649,-3.9537
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-11223000,-9551000,-49306000,-56693000,-71317000
24,Net Income ratio,-1.9383,-0.6759,-7.0578,-4.1649,-3.9537
25,EPS,-0.76,-0.64,-3.94,-8.82,-11.09
26,EPS Diluted,-0.76,-0.64,-3.94,-8.82,-11.09
27,Weighted Average Shares Outstanding,14835343,14835343,12518191,6430555,6430555
28,Weighted Average Shares Outstanding Diluted,14835343,14835343,12518191,6430555,6430555
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650648/000156459021015502/0001564590-21-015502-index.htm,https://www.sec.gov/Archives/edgar/data/1650648/000095017022004794/0000950170-22-004794-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,23850000,91761000,49652000,276726000,153001000
32,Short-Term Investments,- -,- -,- -,- -,94776000
33,Cash and Short-Term Investments,23850000,91761000,49652000,276726000,247777000
34,Net Receivables,321000,1124000,978000,1486000,47000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,328000,1183000,1878000,4444000,8456000
37,Total Current Assets,24499000,94068000,52508000,282656000,256280000
38,PP&E,2716000,2472000,5049000,5073000,28953000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,67652000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,105000,429000,677000,602000,602000
45,Total Non-Current Assets,2821000,2901000,5726000,5675000,97207000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,27320000,96969000,58234000,288331000,353487000
48,Accounts Payable,460000,954000,1744000,1787000,- -
49,Short-Term Debt,- -,- -,- -,- -,1231000
50,Tax Payable,51000,93000,- -,- -,- -
51,Deferred Revenue,4382000,4907000,5864000,6586000,2599000
52,Other Current Liabilities,1066000,2193000,5347000,8371000,12508000
53,Total Current Liabilities,5908000,8054000,12955000,16744000,16338000
54,Long-Term Debt,- -,- -,- -,- -,15217000
