,https://roic.ai/company/GORO,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,113,6174,- -,- -,- -,- -,14754000,105163000,131794000,125784000,115405000,92701000,83227000,110156000,115308000,135366000,90692000,88449000
2,COGS,- -,- -,- -,- -,- -,20994436,4955000,17957000,44021000,67526000,64534000,62378000,60794000,68041000,81618000,106251000,78205000,88449000
3,Gross Profit,113,6174,- -,- -,- -,-20994436,9799000,87206000,87773000,58258000,50871000,30323000,22433000,42115000,33690000,29115000,12487000,- -
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,-Infinity,0.6642,0.8292,0.6660,0.4632,0.4408,0.3271,0.2695,0.3823,0.2922,0.2151,0.1377,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,18435000,20986000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2096961,2539604,18053468,5211004,9511000,15619000,13507000,16260000,12336000,10254000,9533000,8122000,9325000,9949000,10632000,6900000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",596323,373719,2096961,2539604,18053468,5211004,9511000,15619000,13507000,16260000,12336000,10254000,9533000,8122000,9325000,9949000,10632000,6900000
9,Other Expenses,257383,746818,646889,5779251,8295344,7978364,4692000,4927000,24562000,31668000,6947000,7150000,4314000,4455000,6177000,4537000,2337000,- -
10,Operating Expenses,853706,1120537,2743850,8318855,26348812,13189368,32638000,41532000,38069000,47928000,19283000,17404000,13847000,12577000,15502000,14486000,12969000,6900000
11,COGS and Expenses,853706,1120537,2743850,8318855,26348812,34183804,37593000,59489000,82090000,115454000,83817000,79782000,74641000,80618000,97120000,120737000,91174000,19104000
12,Interest Income ,- -,- -,- -,- -,- -,54497,99000,102000,122000,166000,161000,16000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,7248,18039,47480,123948,166993,324000,856000,1540000,2626000,- -,- -,- -,14998000,15169000,23318000,17601000,15996000
15,EBITDA,-853593,-1210663,-2725812,-8271375,-26224864,-34016811,-22750000,47188000,48508000,11601000,31266000,10540000,9146000,43476000,31720000,38200000,27533000,33639000
16,EBITDA ratio,-7553.9204,-196.0905,-Infinity,-Infinity,-Infinity,-Infinity,-1.5420,0.4487,0.3681,0.0922,0.2709,0.1137,0.1099,0.3947,0.2751,0.2822,0.3036,0.3803
17,Operating Income,-853593,-1217911,-2743850,-8318855,-26348812,-34183804,-22839000,45674000,49704000,10330000,31588000,12919000,8586000,29538000,18188000,14629000,-482000,8028000
18,Operating Income ratio,-7553.9204,-197.2645,-Infinity,-Infinity,-Infinity,-Infinity,-1.5480,0.4343,0.3771,0.0821,0.2737,0.1394,0.1032,0.2681,0.1577,0.1081,-0.0053,0.0908
19,Total Other Income Expenses (Gains),- -,-103548,57088,242513,333609,54497,-235000,2414000,-2736000,-1355000,-322000,-2466000,560000,-1060000,-1637000,253000,-276000,9615000
