,https://roic.ai/company/DT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,406377000,398047000,430966000,545803000,703509000
2,COGS,102172000,96534000,106801000,128931000,127708000
3,Gross Profit,304205000,301513000,324165000,416872000,575801000
4,Gross Profit Ratio,0.7486,0.7575,0.7522,0.7638,0.8185
5,Research and Development Exp.,52885000,58320000,76759000,119281000,111415000
6,General and Administrative Exp.,49232000,64114000,91778000,161983000,92219000
7,Selling and Marketing Exp.,129971000,145350000,178886000,266175000,245487000
8,"Selling, General and Administrative Exp.",179203000,209464000,270664000,428158000,337706000
9,Other Expenses,51947000,50498000,47686000,40280000,34744000
10,Operating Expenses,284035000,318282000,395109000,587719000,483865000
11,COGS and Expenses,386207000,414816000,501910000,716650000,611573000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),25481000,35220000,69845000,45397000,14205000
14,Depreciation and Amortization,84919000,82238000,80111000,66321000,60964000
15,EBITDA,94007000,65683000,10045000,-106815000,153022000
16,EBITDA ratio,0.2313,0.1650,0.0233,-0.1957,0.2175
17,Operating Income,12533000,-21759000,-72707000,-171939000,91896000
18,Operating Income ratio,0.0308,-0.0547,-0.1687,-0.3150,0.1306
19,Total Other Income Expenses (Gains),-28926000,-30016000,-67204000,-46594000,-14043000
20,Income Before Tax,-16393000,-51775000,-139911000,-218533000,77853000
21,Income Before Tax Ratio,-0.0403,-0.1301,-0.3246,-0.4004,0.1107
22,Income Tax expense (Gain),-17189000,-60997000,-23717000,199491000,2139000
23,Net Income,796000,9222000,-116194000,-418024000,75714000
24,Net Income ratio,0.0020,0.0232,-0.2696,-0.7659,0.1076
25,EPS,0.00,0.03,-0.42,-1.58,0.27
26,EPS Diluted,0.00,0.03,-0.42,-1.58,0.26
27,Weighted Average Shares Outstanding,275537939,275537939,275537939,264933000,280469000
28,Weighted Average Shares Outstanding Diluted,275537939,275537939,275537939,264933000,286509000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1773383/000177338320000053/0001773383-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1773383/000177338321000054/0001773383-21-000054-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,77581000,51314000,213170000,324962000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,77581000,51314000,213170000,324962000
34,Net Receivables,- -,138301000,119509000,204547000,283954000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,28541000,42395000,52208000,71366000
37,Total Current Assets,- -,244423000,213218000,469925000,680282000
38,PP&E,- -,18478000,17925000,31508000,79875000
39,Goodwill,- -,1270937000,1270120000,1270733000,1271195000
40,Intangible Assets,- -,330115000,259123000,201592000,149484000
41,Intangible Assets,- -,1601052000,1529243000,1472325000,1420679000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,9850000,10678000,20460000,16811000
44,Other Non-Current Assets,- -,25199000,40302000,47862000,58571000
45,Total Non-Current Assets,- -,1654579000,1598148000,1572155000,1575936000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,1899002000,1811366000,2042080000,2256218000
48,Accounts Payable,- -,3165000,6559000,11112000,9621000
49,Short-Term Debt,- -,1747363000,606650000,- -,9491000
50,Tax Payable,- -,7799000,10085000,34106000,32118000
51,Deferred Revenue,- -,194019000,272772000,384060000,509272000
52,Other Current Liabilities,- -,58432000,64920000,93728000,119527000
53,Total Current Liabilities,- -,2002979000,950901000,488900000,647911000
54,Long-Term Debt,- -,- -,1011793000,509985000,430116000
55,Deferred Revenue,- -,52608000,92973000,60711000,47504000
56,Deferred Tax Liabilities,- -,80195000,47598000,- -,1014000
57,Other Non-Current Liabilities,- -,31910000,98359000,20987000,16072000
58,Total Non-Current Liabilities,- -,164713000,1250723000,591683000,494706000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,47694000
61,Total Liabilities,- -,2167692000,2201624000,1080583000,1142617000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,281000,283000
64,Retained Earnings,- -,-59808000,-176002000,-594026000,-513799000
65,Other Comprehensive Income/Loss,- -,-25798000,-29710000,-18105000,-26211000
66,Other Total Stockholders Equity,- -,- -,- -,1573347000,1653328000
67,Total Stockholders Equity,- -,-268690000,-390258000,961497000,1113601000
68,Total Liabilities And Stockholders Equity,- -,1899002000,1811366000,2042080000,2256218000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1899002000,1811366000,2042080000,2256218000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1773383/000177338320000053/0001773383-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1773383/000177338321000054/0001773383-21-000054-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,796000,9222000,-116194000,-418024000,75714000
74,Depreciation and Amortization,84919000,82238000,80111000,66321000,60964000
75,Deferred Income Tax,-28408000,-73196000,-34214000,-59276000,-7036000
76,Stock Based Compensation,349000,22294000,71151000,222478000,57784000
77,Change in Working Capital,35079000,-1774314000,1020873000,718708000,51346000
78,Accounts Receivable,10577000,-14727000,17979000,-44021000,-81992000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,15758000,-1758556000,-737683000,-18975000,32371000
82,Other Non-Cash Items,1825000,1852594000,-874586000,-672662000,-18336000
83,Cash Provided by Operating Activities,94560000,118838000,147141000,-142455000,220436000
84,CAPEX,-13876000,-15229000,-9250000,-20613000,-14076000
85,Acquisitions Net,- -,-11302000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-5216000,-3623000,-1873000,- -,197000
89,Cash Used for Investing Activites,-13876000,-26531000,-9250000,-20613000,-13879000
90,Debt Repayment,- -,- -,-83871000,-515189000,-120000000
91,Common Stock Issued,- -,- -,- -,590297000,- -
92,Common Stock Repurchased,-287000,-885000,-649000,-156000,-49000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-62732000,-74616000,-76962000,254440000,22247000
95,Cash Used/Provided by Financing Activities,-63019000,-75501000,-161482000,329392000,-97802000
96,Effect of Forex Changes on Cash,-1338000,2827000,-2676000,-4468000,3037000
97,Net Change In Cash,16327000,19633000,-26267000,161856000,111792000
98,Cash at the End of Period,57948000,77581000,51314000,213170000,324962000
