,https://roic.ai/company/CRNT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4552000,29197000,24852000,18394000,34421000,54831000,73777000,108415000,161888000,217278000,184220000,249852000,445269000,446651000,361772000,371112000,349435000,293641000,332033000,343874000,285583000,262881000,290766000
2,COGS,3181000,6222000,45282000,12791000,20646000,32191000,52487000,80776000,103406000,144607000,123494000,160470000,323191000,308354000,249543000,286670000,246487000,194479000,224698000,227705000,188741000,187236000,202389000
3,Gross Profit,1371000,22975000,-20430000,5603000,13775000,22640000,21290000,27639000,58482000,72671000,60726000,89382000,122078000,138297000,112229000,84442000,102948000,99162000,107335000,116169000,96842000,75645000,88377000
4,Gross Profit Ratio,0.3012,0.7869,-0.8221,0.3046,0.4002,0.4129,0.2886,0.2549,0.3612,0.3345,0.3296,0.3577,0.2742,0.3096,0.3102,0.2275,0.2946,0.3377,0.3233,0.3378,0.3391,0.2878,0.3039
5,Research and Development Exp.,3379000,7693000,10307000,7273000,6970000,7393000,8961000,11793000,15457000,20310000,20189000,25115000,50456000,47487000,42962000,35004000,22930000,21695000,25703000,28180000,26793000,30997000,29473000
6,General and Administrative Exp.,3116000,11319000,18094000,11161000,11604000,14074000,16829000,22637000,30621000,7150000,7893000,12328000,26524000,27519000,26757000,23657000,21235000,20380000,18576000,19354000,23278000,19199000,20589000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,32252000,29996000,37179000,81716000,77326000,67743000,56059000,40816000,39515000,41656000,42961000,39469000,33021000,33509000
8,"Selling, General and Administrative Exp.",3116000,11319000,18094000,11161000,11604000,14074000,16829000,22637000,30621000,39402000,37889000,49507000,108240000,104845000,94500000,79716000,62051000,59895000,60232000,62315000,62747000,52220000,54098000
9,Other Expenses,2128000,8323000,5631000,2974000,650000,374000,- -,- -,450000,- -,- -,- -,- -,- -,-7657000,-19827000,-4849000,-1921000,-1746000,-470000,- -,- -,- -
10,Operating Expenses,8623000,27335000,34032000,21408000,19224000,21841000,25790000,34430000,46528000,59712000,58078000,74622000,158696000,152332000,129805000,94893000,80132000,79669000,84189000,90025000,89540000,83217000,83571000
11,COGS and Expenses,11804000,33557000,79314000,34199000,39870000,54032000,78277000,115206000,149934000,204319000,181572000,235092000,481887000,460686000,379348000,381563000,326619000,274148000,308887000,317730000,278281000,270453000,285960000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2207000,2137000,2643000,644000,1310000,140000,101000,242000,126000,111000,111000,79000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711000,882000,3448000,3850000,5260000,7691000,5885000,3794000,4830000,4597000,3787000,4130000,8625000
14,Depreciation and Amortization,2128000,10383000,8446000,4711000,2660000,1207000,1134000,1194000,1342000,2070000,3283000,4712000,14393000,15030000,15645000,13498000,12203000,10037000,9205000,7758000,9691000,12861000,12246000
15,EBITDA,-5213000,-2493000,-48397000,-9649000,-5062000,2821000,-2693000,-4266000,14478000,17213000,8138000,20834000,-33554000,-3310000,-20034000,-48789000,24941000,27021000,31292000,32150000,13610000,2517000,17052000
16,EBITDA ratio,-1.1452,-0.0854,-1.9474,-0.5246,-0.1471,0.0514,-0.0365,-0.0393,0.0894,0.0792,0.0442,0.0834,-0.0754,-0.0074,-0.0554,-0.1315,0.0714,0.0920,0.0942,0.0935,0.0477,0.0096,0.0586
17,Operating Income,-7252000,-15346000,-59612000,-15888000,-5449000,799000,-4500000,-6791000,11954000,12959000,2648000,13985000,-49371000,-18643000,-26921000,-32032000,21591000,19493000,23146000,26144000,7302000,-7572000,4806000
18,Operating Income ratio,-1.5931,-0.5256,-2.3987,-0.8638,-0.1583,0.0146,-0.0610,-0.0626,0.0738,0.0596,0.0144,0.0560,-0.1109,-0.0417,-0.0744,-0.0863,0.0618,0.0664,0.0697,0.0760,0.0256,-0.0288,0.0165
19,Total Other Income Expenses (Gains),- -,- -,-4750000,-83000,-2728000,141000,-141000,358000,-189000,2184000,1496000,1255000,-2024000,-3547000,-14018000,-37946000,-14738000,-6303000,-5889000,-6349000,-6521000,-5923000,-8625000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,15143000,4144000,15240000,-51395000,-22190000,-40939000,-69978000,6853000,13190000,17257000,19795000,781000,-13495000,-3819000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0697,0.0225,0.0610,-0.1154,-0.0497,-0.1132,-0.1886,0.0196,0.0449,0.0520,0.0576,0.0027,-0.0513,-0.0131
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-10834000,489000,1178000,2259000,1201000,6539000,6501000,5842000,1761000,1697000,-3251000,2476000,2618000,11009000
23,Net Income,-7341000,-12876000,-56843000,-14360000,-7722000,1614000,-3827000,-5460000,13136000,25977000,3655000,14062000,-53654000,-23391000,-47478000,-76479000,1011000,11429000,15560000,23046000,-2344000,-17092000,-14828000
