,https://roic.ai/company/RIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4463573106,6423523846,8481816649,8879919273,9878048780,7459202963,6646457842,4926212974,4709780486,3577067992,7965572656,7757646334,12289936025,11847791518,11584028569,11597521209,8152000000,8443000000,9228683700,12953999394,19033000090,22464999388,29700000462,54263999516,41825000000,56576000000,60537000000,50967000000,51171000000,47664000000,34829000000,33781000000,40030000000,40522000000,43165000000,44611000000,63495000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3647000000,4160000000,- -,- -,- -,- -,- -,- -,33818000000,36667000000,36260000000,16624000000,16674000000,19704000000,16819000000,15530000000,15807000000,16559000000,16412000000,15485000000,18561000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4505000000,4283000000,- -,- -,- -,- -,- -,- -,8007000000,19909000000,24277000000,34343000000,34497000000,27960000000,18010000000,18251000000,24223000000,23963000000,26753000000,29126000000,44934000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5526,0.5073,- -,- -,- -,- -,- -,- -,0.1914,0.3519,0.4010,0.6738,0.6742,0.5866,0.5171,0.5403,0.6051,0.5914,0.6198,0.6529,0.7077
5,Research and Development Exp.,49558440,58691346,72133850,55859882,85044929,98375834,102915310,77351251,124253003,140706346,92712776,90762750,129966277,88375135,70395852,58009918,39000000,25000000,23201100,15999434,20000208,14999612,69000634,307000679,- -,- -,- -,129000000,231000000,112000000,104000000,60000000,58000000,45000000,45000000,45000000,65000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000000,1395000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3075000000,3513000000,3370000000,2165000000,1454000000,2338000000,2580000000,2257000000,2088000000,3275000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000000,1395000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3075000000,3513000000,3370000000,2165000000,1454000000,2338000000,2580000000,2257000000,2088000000,3275000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,986000000,1008000000,- -,- -,12531999792,14016000388,21169999366,38759999321,34581000000,37555000000,38050000000,36718000000,32682000000,31774000000,26154000000,25223000000,22735000000,20584000000,25879000000,8911000000,11784000000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2285000000,2428000000,- -,- -,12552000000,14031000000,21239000000,39067000000,34581000000,37555000000,38050000000,39922000000,36426000000,35256000000,28423000000,26737000000,25131000000,23209000000,28181000000,11044000000,15124000000
11,COGS and Expenses,4463573106,6423523846,8481816649,8879919273,9878048780,7459202963,5529358931,4316503117,3930240814,2778168629,5793003276,6430455184,9742055478,9422998755,8992418306,8404744593,5932000000,6588000000,7656363000,10224997589,12294000088,13677998935,21436000084,36068998420,34332000000,35900000000,37697000000,39503000000,37123000000,34691000000,28758000000,27258000000,27367000000,28137600000,27952000000,26529000000,33685000000
12,Interest Income ,61948050,53960557,55646113,109917832,261553273,304772192,181505183,116785221,93189752,104748057,159156932,241463164,276178338,223699560,140791704,89246027,- -,- -,30339900,27999976,81999820,106000530,133999921,204000722,120000000,163000000,115000000,102000000,68000000,54000000,44000000,83000000,137000000,242000000,296000000,137000000,62000000
13,Interest Expense (Gain),127497731,108808137,163191127,163975782,438061617,401219089,282549306,154702501,139045027,106311461,173063848,291125801,476543014,497110134,443233144,437305532,- -,291142788,169546500,147999597,173000249,159999134,537999354,1617999763,929000000,778000000,497000000,692000000,876000000,1031000000,1128000000,1125000000,975000000,858000000,934000000,648000000,596000000
14,Depreciation and Amortization,238572025,245853168,278980009,250468502,361039795,426295282,366752741,247220663,310632507,356456076,661351134,794602185,1231971996,1198587767,1243660056,1186972159,929000000,954000000,1056542400,1171000378,1333999754,1509000233,2114999519,3474999965,3427000000,3437000000,3817000000,4441000000,4791000000,4860000000,4645000000,4794000000,4375000000,4015000000,4384000000,4279000000,4697000000
15,EBITDA,1072853788,1111439638,1447173665,2396569122,2800064185,2443964353,1382807530,1137518390,1044316904,1833872708,2849372644,2887282940,4827705647,3902314549,4633089977,5051325128,2726000000,2604142788,3299910300,5235001590,8535999577,11479998200,12054997741,12510998741,11304000000,23835000000,16579000000,2572000000,11758000000,15471000000,5900000000,12103000000,18077000000,22753000000,17475000000,19687000000,34645000000
16,EBITDA ratio,0.2404,0.1730,0.1706,0.2699,0.2835,0.3276,0.2081,0.2309,0.2217,0.5127,0.3577,0.3722,0.3928,0.3294,0.4000,0.4356,0.3344,0.3084,0.3576,0.4041,0.4485,0.5110,0.4059,0.2306,0.2703,0.4213,0.2739,0.0505,0.2298,0.3246,0.1694,0.3583,0.4516,0.5615,0.4048,0.4413,0.5456
17,Operating Income,- -,- -,- -,- -,- -,- -,740990232,468657577,458552748,809843191,1962420422,1327191150,2547880546,1988440534,2536857933,3130304397,1505000000,777000000,1495578600,3327000463,6922000355,8974000851,8570999793,10194000600,7506000000,19694000000,13940000000,-1153000000,7430000000,11346000000,3615000000,6795000000,14135000000,17687000000,11466000000,16829000000,29817000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.1115,0.0951,0.0974,0.2264,0.2464,0.1711,0.2073,0.1678,0.2190,0.2699,0.1846,0.0920,0.1621,0.2568,0.3637,0.3995,0.2886,0.1879,0.1795,0.3481,0.2303,-0.0226,0.1452,0.2380,0.1038,0.2011,0.3531,0.4365,0.2656,0.3772,0.4696
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,72976311,321538532,184900302,631615153,237962791,570264068,877272367,524727363,732638314,566712271,292000000,582000000,597874500,536000369,389998891,1265998666,1264999570,-1016000850,354000000,883000000,-726000000,-1415000000,-3925000000,-1794000000,-4341000000,-452000000,-1319000000,480000000,-347000000,-1438000000,1016000000
20,Income Before Tax,885136790,879630998,1150394394,1583897939,1771501926,1695536438,813966543,790196108,643453050,1441458343,2200383213,1897455218,3425152913,2513167898,3269496247,3697016669,1797000000,1359000000,2093453100,3863000833,7311999246,10239999516,9835999363,9177999750,7860000000,20577000000,13214000000,-2568000000,3505000000,9552000000,-726000000,6343000000,12816000000,18167000000,11119000000,15391000000,30833000000
