,https://roic.ai/company/SNDD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,225,- -,29450,929859,275845,129006,1134192
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,108,- -,17911,191881,181763,55553,514696
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,117,- -,11539,737978,94082,73453,619496
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.5200,- -,0.3918,0.7936,0.3411,0.5694,0.5462
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118327
6,General and Administrative Exp.,8,14400,16032,24790,- -,13719,- -,- -,138027,- -,1234314,740346,250716,513539,527533
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2019,- -,104304,79163,108758,15820,373486
8,"Selling, General and Administrative Exp.",8,14400,16032,24790,- -,13719,- -,- -,140046,- -,1338618,819509,359474,529359,901019
9,Other Expenses,- -,- -,- -,- -,13583,- -,51417,135719,57220,- -,87143,246384,172272,206037,379927
10,Operating Expenses,8,14400,16032,24790,13583,13719,51417,135719,197266,- -,1425761,1065893,531746,735396,1399273
11,COGS and Expenses,8,14400,16032,24790,13583,13719,51417,135719,197374,- -,1443672,1257774,713509,790949,1913969
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,519,- -,35189,68084,159973,329488,464294
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,57220,- -,87143,104331,138554,101317,84534
15,EBITDA,-8,-14497,-16032,-24790,-13583,-13719,-51417,-135719,-339069,- -,-1145628,-235266,-611535,-785079,-1264874
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1506.9733,- -,-38.9008,-0.2530,-2.2170,-6.0856,-1.1152
17,Operating Income,-8,-14400,-16032,-24790,-13583,-13719,-51417,-135719,-197149,- -,-1414222,-327915,-437664,-661943,-779777
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-876.2178,- -,-48.0211,-0.3527,-1.5866,-5.1311,-0.6875
19,Total Other Income Expenses (Gains),- -,97,- -,- -,- -,- -,- -,- -,-51920,- -,146262,-79767,-472398,-553941,-1033925
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-135719,-249069,- -,-1267960,-407682,-910062,-1215884,-1813702
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-1106.9733,- -,-43.0547,-0.4384,-3.2992,-9.4250,-1.5991
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8,-14303,-16032,-24790,-13583,-13719,-51417,-135719,-396808,- -,-1267960,-407681,-910062,-1215884,-1813702
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1763.5911,- -,-43.0547,-0.4384,-3.2992,-9.4250,-1.5991
25,EPS,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,- -,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,- -,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,60000000,98465760,120000000,120000000,120000000,120000000,120000000,121804155,314534724,- -,359815765,359650168,357250050,551650769,934603546
28,Weighted Average Shares Outstanding Diluted,60000000,98465760,120000000,120000000,120000000,120000000,120000000,121804155,314534724,- -,359815765,359650168,357250050,551650769,934603546
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1353406/000116552708000211/0001165527-08-000211-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552709000296/0001165527-09-000296-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552710000334/0001165527-10-000334-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552711000396/0001165527-11-000396-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552712000497/0001165527-12-000497-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000116552714000285/0001165527-14-000285-index.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1353406/000149315217012238/0001493152-17-012238-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000149315218014521/0001493152-18-014521-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000175392619000210/0001753926-19-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000175392620000393/0001753926-20-000393-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10022,45809,30853,6068,3081,1311,14790,36235,4188,- -,727631,53939,19034,1648,75850
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339032,- -,725073,100374,127173
33,Cash and Short-Term Investments,10022,45809,30853,6068,3081,1311,14790,36235,4188,- -,1066663,53939,744107,102022,203023
34,Net Receivables,- -,- -,- -,- -,- -,- -,1607,- -,225,- -,472584,548992,17946,- -,98700
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,10080,- -,113795,364331,218538,181227,387175
36,Other Current Assets,- -,2500,- -,- -,- -,- -,23063,12600,57628,- -,21295,790480,120709,148115,-71206
37,Total Current Assets,10022,48309,30853,6068,3081,1311,39460,48835,72121,- -,1674337,1757742,1101300,431364,617692
38,PP&E,- -,- -,- -,- -,- -,- -,53410,538425,- -,- -,761521,- -,698854,667521,703950
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,263211,- -,170687,528583,- -,- -,389762
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,263211,- -,170687,528583,415163,848992,389762
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1032271,625000,- -,257173,127173
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104283,129962
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,53410,538425,263211,- -,1964479,1153583,1114017,1877969,1350847
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10022,48309,30853,6068,3081,1311,92870,587260,335332,- -,3638816,2911325,2215317,2309333,1968539
48,Accounts Payable,- -,2200,1000,1000,3000,5320,9349,216830,- -,- -,- -,- -,- -,- -,425884
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,156697,- -,1023124,7225,117789,574663,543116
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,30,420,195,200,8796,18425,157372,- -,100715,- -,825934,1111356,774568,899685,1183153
53,Total Current Liabilities,30,2620,1195,1200,11796,23745,166721,216830,257412,- -,1849058,1118581,892357,1474348,2152153
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493369,462384,1094961,616401,1465342
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,118924,884000,283635
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493369,497384,1213885,1500401,1748977
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62363
61,Total Liabilities,30,2620,1195,1200,11796,23745,166721,216830,257412,- -,2342427,1615965,2106242,2974749,3901130
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2490000,2918545,3067231,4500492,4353639
63,Common Stock,1000,2000,2000,24000,24000,24000,24000,121804,360094,- -,375094,379071,398411,1034340,1165199
64,Retained Earnings,-8,-14311,-30342,-55132,-68715,-82434,-133851,-269570,-1210000,- -,-2646026,-3243543,-4302291,-5674436,-7710152
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38860,- -,-81146,-112479,-144013
66,Other Total Stockholders Equity,9000,58000,58000,36000,36000,36000,36000,518196,- -,- -,1116181,1178787,1026870,-413333,402736
67,Total Stockholders Equity,9992,45689,29658,4868,-8715,-22434,-73851,370430,77920,- -,1296389,1232860,109075,-665416,-1932591
68,Total Liabilities And Stockholders Equity,10022,48309,30853,6068,3081,1311,92870,587260,335332,- -,3638816,2848825,2215317,2309333,1968539
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500,- -,- -,- -
70,Total Liabilities & Equity,10022,48309,30853,6068,3081,1311,92870,587260,335332,- -,3638816,2911325,2215317,2309333,1968539
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1353406/000116552708000211/0001165527-08-000211-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552709000296/0001165527-09-000296-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552710000334/0001165527-10-000334-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552711000396/0001165527-11-000396-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552712000497/0001165527-12-000497-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000116552714000285/0001165527-14-000285-index.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1353406/000149315217012238/0001493152-17-012238-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000149315218014521/0001493152-18-014521-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000175392619000210/0001753926-19-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000175392620000393/0001753926-20-000393-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-8,-14303,-16032,-24790,-13583,-13719,-51417,-135719,-396808,- -,-1267960,-407681,-910062,-1215884,-1813702
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,57220,- -,87143,104331,138554,101317,84534
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35417,- -,- -
