,https://roic.ai/company/TRVN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,2421381,807595,134980,- -,6250000,3750000,- -,5732000,31000,3069000,567
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,182000,954
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,2887000,-387
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9407,-0.6825
5,Research and Development Exp.,15109048,13294917,18762219,40546666,44074157,89956000,48974000,15824000,13291000,13124000,13426
6,General and Administrative Exp.,3062547,3122718,4718047,9403254,12797010,16077000,19639000,18979000,13212000,19248000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3062547,3122718,4718047,9403254,12797010,16077000,19639000,18979000,13212000,19248000,38112
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,954
10,Operating Expenses,18171595,16417635,23480266,49949920,56871167,106033000,68613000,34803000,26503000,32372000,52492
11,COGS and Expenses,18171595,16417635,23480266,49949920,56871167,106033000,68613000,34803000,26503000,32554000,53446
12,Interest Income ,3542,754,884,17372,331205,743000,679000,1001000,418000,240000,162000
13,Interest Expense (Gain),74217,193740,149756,70650,334365,1738000,2780000,2231000,931000,29000,- -
14,Depreciation and Amortization,801580,787522,706779,239390,207897,246000,490000,645000,562000,477000,428000
15,EBITDA,-14934207,-14654396,-22394900,-49710530,-49985978,-101010000,-68123000,-27163000,-23378000,-28563000,376412
16,EBITDA ratio,-6.1676,-18.1457,-165.9127,-Infinity,-7.9978,-26.9360,-Infinity,-4.7388,-754.1290,-9.3069,663.8660
17,Operating Income,-15750214,-15610040,-23345286,-49949920,-50621167,-102283000,-70387000,-30498000,-26580000,-29485000,-51925
18,Operating Income ratio,-6.5046,-19.3290,-172.9537,-Infinity,-8.0994,-27.2755,-Infinity,-5.3207,-857.4194,-9.6074,-91.5785
19,Total Other Income Expenses (Gains),-59790,-25618,93851,249045,92927,-711000,-1478000,459000,1709000,416000,337
20,Income Before Tax,-15810004,-15635658,-23251435,-49700875,-50528240,-102994000,-71865000,-30039000,-24871000,-29069000,-51588
21,Income Before Tax Ratio,-6.5293,-19.3608,-172.2584,-Infinity,-8.0845,-27.4651,-Infinity,-5.2406,-802.2903,-9.4718,-90.9841
