,https://roic.ai/company/URGN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,17530000,8158000,1128000,18000,11799000,48042000
2,COGS,- -,28000,600000,1803000,- -,1009000,5157000
3,Gross Profit,- -,17502000,7558000,-675000,18000,10790000,42885000
4,Gross Profit Ratio,- -,0.9984,0.9265,-0.5984,1.0000,0.9145,0.8927
5,Research and Development Exp.,10515000,10287000,18697000,36934000,49297000,47310000,47642000
6,General and Administrative Exp.,1895000,6417000,8811000,39571000,60199000,90219000,39943000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,47592000
8,"Selling, General and Administrative Exp.",1895000,6417000,8811000,39571000,60199000,90219000,87535000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12410000,16704000,27508000,76505000,109496000,137529000,135177000
11,COGS and Expenses,12410000,16732000,28108000,78308000,109496000,138538000,140334000
12,Interest Income ,- -,- -,- -,1872000,4616000,1986000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,113000,213000,207000,417000,1324000,2044000,831000
15,EBITDA,-12297000,-1728000,-19774000,-75115000,-103822000,-123066000,-108540000
16,EBITDA ratio,-Infinity,-0.0986,-2.4239,-66.5913,-5767.8889,-10.4302,-2.2593
17,Operating Income,-12410000,798000,-19950000,-77180000,-109478000,-126739000,-92292000
18,Operating Income ratio,-Infinity,0.0455,-2.4455,-68.4220,-6082.1111,-10.7415,-1.9211
19,Total Other Income Expenses (Gains),-279000,-2739000,-31000,1648000,4332000,1629000,-17079000
20,Income Before Tax,-12689000,-1941000,-19981000,-75532000,-105146000,-125110000,-109371000
21,Income Before Tax Ratio,-Infinity,-0.1107,-2.4493,-66.9610,-5841.4444,-10.6034,-2.2766
22,Income Tax expense (Gain),- -,- -,19000,125000,- -,3374000,1449000
23,Net Income,-12689000,-1941000,-20000000,-75657000,-105146000,-128484000,-110820000
24,Net Income ratio,-Infinity,-0.1107,-2.4516,-67.0718,-5841.4444,-10.8894,-2.3067
25,EPS,-1.13,-0.37,-2.14,-4.80,-5.12,-5.90,-4.96
26,EPS Diluted,-1.13,-0.37,-2.14,-4.80,-5.12,-5.90,-4.96
27,Weighted Average Shares Outstanding,11972543,11972543,9716790,15754193,20528727,21780826,22347481
28,Weighted Average Shares Outstanding Diluted,11972543,11972543,9716790,15754193,20528727,21780826,22347481
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1668243/000156459019005323/0001564590-19-005323-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000156459020007970/0001564590-20-007970-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000156459021014016/0001564590-21-014016-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000119312522080081/0001193125-22-080081-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,17975000,21362000,36999000,101318000,49688000,52864000,44360000
32,Short-Term Investments,- -,- -,36001000,- -,97389000,49154000,89814
33,Cash and Short-Term Investments,17975000,21362000,73000000,101318000,147077000,102018000,44449814
34,Net Receivables,- -,83000,- -,- -,- -,7047000,11717000
35,Inventory,- -,105000,316000,- -,- -,1964000,4832000
36,Other Current Assets,1156000,491000,1156000,925000,1557000,4590000,53391186
37,Total Current Assets,19131000,22041000,74472000,102243000,148634000,115619000,114390000
38,PP&E,259000,741000,805000,948000,4712000,4204000,3147000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,48555000,1893000,44779000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,274000,273000,368000,487000,289000,-42570000
45,Total Non-Current Assets,259000,1015000,1078000,1316000,53754000,6386000,5356000
46,Other Assets,- -,- -,- -,- -,- -,- -,29932
47,Total Assets,19390000,23056000,75550000,103559000,202388000,122005000,119746000
48,Accounts Payable,1728000,1880000,4435000,4272000,4694000,3271000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,650000,- -,- -,- -,- -
52,Other Current Liabilities,509000,1257000,1950000,9193000,14788000,18165000,22380000
53,Total Current Liabilities,2237000,3137000,7035000,13465000,19482000,21436000,22380000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,872000,3612000,- -,- -,2604000,4214000,88555000
