,https://roic.ai/company/ONCS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,648314,2368481,3159209,5796347,13132898,14741694,11952748,17415520,18445199,25096817,34097641
6,General and Administrative Exp.,- -,33714,27158,1047161,3158693,3905763,6153313,8108244,12144358,9495659,18689839,11971479,18312268,14282417
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,33714,27158,1047161,3158693,3905763,6153313,8108244,12144358,9495659,18689839,11971479,18312268,14282417
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,33714,27158,1695475,5527174,7064972,11949660,21241142,26886052,21448407,36105359,30416678,43409085,48380058
11,COGS and Expenses,7187,33714,27158,1695475,5527174,7064972,11949660,21241142,26886052,21448407,36105359,30416678,43409085,48380058
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1357,- -,83215,20684,- -,- -,- -,- -,3805,5114,15857
14,Depreciation and Amortization,- -,- -,- -,250821,717450,736875,780110,664596,355583,379988,334494,243712,990288,1078163
15,EBITDA,-7187,-33714,-36158,-1444654,-4809724,-6328097,-11169550,-20576546,-26530469,-21068419,-35770865,-30172966,-42233745,-47302599
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-7187,-33714,-27158,-1695475,-5527174,-7064972,-11949660,-21241142,-26886052,-21448407,-36105359,-30416678,-43409085,-48380058
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,9000,-2061742,3164722,-83215,-20684,- -,- -,- -,-3030327,141922,283074,800144
20,Income Before Tax,-7187,-33714,- -,-3757217,-2362452,-7148187,-11970344,-21241142,-26886052,-21448407,-39135686,-30274756,-43126011,-47579914
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,1600,2400,2000,41773,1969,2462,1391,680,1297,-872585,-2412183
23,Net Income,-7187,-33714,-36158,-3758817,-2364852,-7150187,-12012117,-21243111,-26888514,-21449798,-39136366,-30276053,-42253426,-45167731
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.02,-0.10,-0.11,-12.00,-8.00,-14.00,-12.00,-16.70,-16.30,-10.60,-9.80,-4.29,-2.56,-1.37
26,EPS Diluted,-0.02,-0.10,-0.11,-12.00,-8.00,-14.00,-12.00,-16.70,-16.30,-10.60,-9.80,-4.29,-2.56,-1.37
27,Weighted Average Shares Outstanding,342400,342400,342400,316502,337217,532791,952718,1270897,1651473,2018967,4012337,7053279,16534551,32903366
28,Weighted Average Shares Outstanding Diluted,342400,342400,342400,316502,337217,532791,952718,1270897,1651473,2018967,4012337,7053279,16534551,32903366
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1444307/000110465911056810/0001104659-11-056810-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465912068983/0001104659-12-068983-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465913072722/0001104659-13-072722-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465914071329/0001104659-14-071329-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465915070660/0001104659-15-070660-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315216013999/0001493152-16-013999-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315217012058/0001493152-17-012058-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315218014674/0001493152-18-014674-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315219016036/0001493152-19-016036-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315220020071/0001493152-20-020071-index.htm,https://www.sec.gov/Archives/edgar/data/1444307/000149315221026721/0001493152-21-026721-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40763,9756,237,2457693,5141509,4970175,37852694,32035264,28746224,11444676,3803627,25147780,20354462,45951233
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23174447,- -,- -,- -
33,Cash and Short-Term Investments,40763,9756,237,2457693,5141509,4970175,37852694,32035264,28746224,11444676,26978074,25147780,20354462,45951233
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5610,- -,443900,351547,199512,466483,1532717,671184,1068947,1643749,3359556,2467223,3228191
37,Total Current Assets,40763,15366,237,2901593,5493056,5169687,38319177,33567981,29417408,12513623,28621823,28507336,22821685,49179424
38,PP&E,- -,9000,- -,57298,76911,151625,581054,1807982,2799930,2410099,1265662,1031129,6762718,6374565
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2715167,1858770,1161731,464693,- -,- -,- -,- -,- -,- -,448412
41,Intangible Assets,- -,- -,- -,2715167,1858770,1161731,464693,- -,- -,- -,- -,- -,- -,448412
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,26685,26685,214127,189309,309187,358987,353547,319058,273523
45,Total Non-Current Assets,- -,9000,- -,2772465,1935681,1340041,1072432,2022109,2989239,2719286,1624649,1384676,7081776,7096500
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40763,24366,237,5674058,7428737,6509728,39391609,35590090,32406647,15232909,30246472,29892012,29903461,56275924
48,Accounts Payable,950,12034,14367,369175,384321,729085,1236352,- -,- -,3281133,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83760,1469866,2079616
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6233,15929,6169759,1638835,1041519,87199,2894469,3466251,114841,5849636,4893240,8208163,5882300
53,Total Current Liabilities,950,18267,30296,6538934,2023156,1770604,1323551,2894469,3466251,3395974,5849636,4977000,9678029,7961916
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6354996,5238207
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1500000,979316,- -,- -,- -,887292,1140953,1472630,635913,- -,5000000
58,Total Non-Current Liabilities,- -,- -,- -,1500000,979316,- -,- -,- -,887292,1140953,1472630,635913,6354996,10238207
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6374799,6083690
61,Total Liabilities,950,18267,30296,8038934,3002472,1770604,1323551,2894469,4353543,4536927,7322266,5612913,16033025,18200123
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2140,2140,2140,5686,8786,11802,24463,24947,25269,2162,5351,1063,2305,3916
64,Retained Earnings,-7187,-40901,-77059,-3835876,-6200728,-13350915,-25363032,-46606143,-73494657,-94944455,-134080821,-164356874,-206610300,-251778031
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-142313,-330542,-443681,-823669,-729514,-959871,-19504,-79109
66,Other Total Stockholders Equity,44860,44860,44860,1465314,10618207,18078237,63548940,79607359,101966173,106461944,157729190,189594781,220497935,289929025
67,Total Stockholders Equity,39813,6099,-30059,-2364876,4426265,4739124,38068058,32695621,28053104,10695982,22924206,24279099,13870436,38075801
68,Total Liabilities And Stockholders Equity,40763,24366,237,5674058,7428737,6509728,39391609,35590090,32406647,15232909,30246472,29892012,29903461,56275924
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40763,24366,237,5674058,7428737,6509728,39391609,35590090,32406647,15232909,30246472,29892012,29903461,56275924
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1444307/000110465911056810/0001104659-11-056810-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465912068983/0001104659-12-068983-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465913072722/0001104659-13-072722-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465914071329/0001104659-14-071329-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000110465915070660/0001104659-15-070660-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315216013999/0001493152-16-013999-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315217012058/0001493152-17-012058-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315218014674/0001493152-18-014674-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315219016036/0001493152-19-016036-index.html,https://www.sec.gov/Archives/edgar/data/1444307/000149315220020071/0001493152-20-020071-index.htm,https://www.sec.gov/Archives/edgar/data/1444307/000149315221026721/0001493152-21-026721-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-7187,-33714,-36158,-3758817,-2364852,-7150187,-12012117,-21243111,-26888514,-21449798,-39136366,-30276053,-42253426,-45167731
74,Depreciation and Amortization,- -,- -,- -,250821,717450,736875,780110,664596,355583,379988,334494,243712,990288,1078163
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,332778,452128,1815559,2603229,6116660,4016790,8252515,3499796,3517128,5137068
77,Change in Working Capital,- -,-42714,-27158,-3607282,7107241,-70817,33596543,-6322114,-4722355,-16833508,13654538,758149,-10386680,28073852
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,6233,- -,- -,15146,344764,657266,1068652,861634,-208281,- -,- -,- -,- -
81,Other Working Capital,39813,-2901,-30059,-3637341,3469900,3399083,36995626,30673512,25951157,9117649,22772187,23530336,13143656,41217508
82,Other Non-Cash Items,- -,43337,51464,5806387,-10011790,498799,-33160568,6645930,7324373,16546156,-6327107,-3229589,14987326,-30915386
83,Cash Provided by Operating Activities,-7187,-33091,-11852,-1308891,-4219173,-5533202,-8980473,-17651470,-17814253,-17340372,-23221926,-29003985,-33145364,-41794034
84,CAPEX,- -,-9000,- -,-311286,-54511,-114550,-512500,-1431155,-1550737,-21562,-65156,-9882,- -,-799603
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25474695,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250000,23213794,- -,- -
88,Other Investing Activites,- -,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-495000
89,Cash Used for Investing Activites,- -,-9000,- -,-311286,-54511,-114550,-512500,-1431155,-1550737,-21562,-23289851,23203912,- -,-799603
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81577,-138244,-619105
91,Common Stock Issued,47000,- -,- -,4092000,7750000,7200000,27948001,13580001,17451565,- -,32283444,27897155,30000000,62841143
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-567,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,950,11084,2333,-14367,-792500,-1723582,14427491,-314806,-1375615,64006,6599688,-616493,-1462430,5986990
95,Cash Used/Provided by Financing Activities,47950,11084,2333,4077633,6957500,5476418,42375492,13265195,16075950,64006,38883132,27198518,28399326,68209028
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281473,-47280,-18620
97,Net Change In Cash,- -,-31007,-9519,2457456,2683816,-171334,32882519,-5817430,-3289040,-17301548,-7641049,21344153,-4793318,25596771
98,Cash at the End of Period,40763,9756,237,2457693,5141509,4970175,37852694,32035264,28746224,11444676,3803627,25147780,20354462,45951233
99,Cash at the Beginning of Period,- -,40763,9756,237,2457693,5141509,4970175,37852694,32035264,28746224,11444676,3803627,25147780,20354462
