,https://roic.ai/company/DLOC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23776,- -,- -,24029000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,70683,302926,137383,192511,402160,139706,439,193865,298865,65497,65009,- -,- -,- -,- -
6,General and Administrative Exp.,- -,413641,827890,195636,269305,2098449,1436727,1829698,470363,411126,341160,623515,799589,867623,397949,460826,2625881000
7,Selling and Marketing Exp.,- -,- -,- -,542510,743702,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,413641,827890,738146,1013007,2098449,1436727,1829698,470363,411126,341160,623515,799589,867623,397949,460826,2625881000
9,Other Expenses,- -,- -,- -,18665,22716,15579,19429,23394,2354,635,208,617,675,3625,522,595,2098089000
10,Operating Expenses,- -,413641,898573,1059737,1173106,2306539,1858316,1992798,473156,605626,640233,689629,865273,871248,398471,461421,4723970000
11,COGS and Expenses,- -,413641,898573,1059737,1173106,2306539,1858316,1992798,473156,605626,640233,689629,865273,871248,398471,461421,- -
12,Interest Income ,- -,- -,- -,18016,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1611,- -,7402,1089,803,66083,765708,600083,770752,798650,902748,969130,974713,626685,919095000
14,Depreciation and Amortization,- -,1403,8234,18665,22716,15579,19429,111541,2354,2419,208,617,675,3625,522,595,774910
15,EBITDA,- -,-412238,-890339,-1041072,-1150390,-2290960,-1838887,-1969404,-470802,-604991,-640025,-689012,-858242,-7196059,-397949,-460826,-12200657090
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-302.6606,-Infinity,-Infinity,-507.7472
17,Operating Income,- -,-413641,-898573,-1059737,-1173106,-2306539,-1858316,-1992798,-473156,-605626,-640233,-689629,-865273,-5781901,-755322,-461421,-4699941000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-243.1822,-Infinity,-Infinity,-195.5945
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-50,5045,-2371,-1280360,-3024346,-7099217,-4577928,411966,-1523181,-2386913,3966440,-2285774,-8420586000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-3273158,-3497502,-7704843,-5218161,-277663,-2388454,-8168814,3211118,-2747195,-13120527000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-343.5739,Infinity,-Infinity,-546.0288
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
