,https://roic.ai/company/SWX,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,611000000,450500000,468600000,801500000,844600000,863200000,794800000,718500000,539100000,609800000,563500000,644100000,732000000,917300000,936900000,1034087000,1396688000,1320909000,1231004000,1477060000,1714283000,2024758000,2152088000,2144743000,1893824000,1830371000,1887188000,1927778000,1950782000,2121707000,2463625000,2460490000,2548792000,2880013000,3119917000,3298873000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249900000,227500000,187600000,209300000,329800000,330000000,394711000,677547000,563379000,- -,- -,- -,- -,- -,- -,1109091000,1013979000,1037192000,1391104000,1394199000,1536945000,1855789000,1823268000,1916195000,2213470000,2382541000,342837000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359900000,336000000,456500000,522700000,587500000,606900000,639376000,719141000,757530000,1231004000,1477060000,1714283000,2024758000,2152088000,2144743000,784733000,816392000,849996000,536674000,556583000,584762000,607836000,637222000,632597000,666543000,737376000,2956036000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5902,0.5963,0.7087,0.7141,0.6405,0.6478,0.6183,0.5149,0.5735,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4144,0.4460,0.4504,0.2784,0.2853,0.2756,0.2467,0.2590,0.2482,0.2314,0.2363,0.8961
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,12400000,5300000,500000,7400000,10313000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,12400000,5300000,500000,7400000,-13000,-52000,-102000,-8000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308400000,277700000,385000000,420500000,433300000,475600000,510746000,585158000,611031000,1095899000,1307293000,1563635000,1815576000,1931501000,1936881000,576342000,584275000,599916000,258550000,269968000,294979000,319004000,334108000,308910000,309162000,365667000,2875877000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308400000,277700000,385000000,420500000,433300000,475600000,510746000,585158000,611031000,1095899000,1307293000,1563635000,1815576000,1931501000,1936881000,576342000,584275000,599916000,265150000,282368000,300279000,319504000,341508000,308897000,309110000,365565000,2875869000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558300000,505200000,572600000,629800000,763100000,805600000,905457000,1262705000,1174410000,1095899000,1307293000,1563635000,1815576000,1931501000,1936881000,1685433000,1598254000,1637108000,1656254000,1676567000,1837224000,2175293000,2164776000,2225092000,2522580000,2748106000,3218706000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924000,461000,2602000,2173000,1849000,2787000,6108000,6356000,4015000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117100000,54300000,60400000,- -,68800000,- -,76146000,80731000,79971000,79786000,86506000,90327000,94977000,96199000,92648000,83001000,77589000,69602000,68020000,63700000,72069000,71879000,73660000,78064000,96671000,109226000,111477000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190082000,190463000,200469000,223422000,236817000,253027000,270111000,289132000,250951000,249212000,303237000,332027000
15,EBITDA,- -,23600000,23700000,39700000,41200000,42700000,37200000,-14200000,17700000,15400000,161100000,40300000,70900000,21400000,152700000,60900000,128085000,137472000,145353000,135170000,173518000,158762000,223334000,227223000,194456000,405482000,426854000,445661000,500049000,523779000,544595000,560209000,593301000,587944000,589844000,682422000,748242000
