,https://roic.ai/company/PRTG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,21014,76142,41920,10394,- -,311465,1593453,644752,241382,41924,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,956974,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,-935960,76142,41920,- -,- -,311465,1593453,- -,241382,41924,- -,- -,- -,98413,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,-44.5393,1.0000,1.0000,- -,- -,1.0000,1.0000,- -,1.0000,1.0000,- -,- -,- -,Infinity,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1135779,2928639,4577136,32449945,561000,762000,4108000,7312000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,578026,2475187,2354145,1568263,1558308,1652503,1296733,4515533,2556725,1550000,1868000,1870000,5128000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52979,85284,135790,32188,171155,14357,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631004,2560472,2489935,1600451,1729463,1666860,1296733,4515533,2556725,1550000,1868000,1870000,5128000
9,Other Expenses,389598,316479,21299,440318,711160,226989,1070913,4359709,2200451,674535,728736,-94867,718139,996879,86614,-494329,-13193,91686,95336,484519,116000,134000,- -,- -
10,Operating Expenses,389598,316479,21299,440318,711160,226989,1070913,4359709,2200451,674535,728736,536137,3278611,3486815,1687065,1235134,2789446,4317058,9188005,35491189,2227000,2764000,5978000,12440000
11,COGS and Expenses,389598,316479,978273,440318,711160,226989,1070913,4359709,2200451,674535,728736,536137,3278611,3486815,1687065,1235134,2789446,4317058,9188005,35491189,2227000,2764000,5978000,12440000
12,Interest Income ,- -,- -,- -,9760,- -,- -,191,1328,26685,- -,71213,6257,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000,11000,- -
13,Interest Expense (Gain),- -,- -,- -,6151,1082,- -,2832,3241,3455,- -,1579,1871,677911,4214,1753,2184,3351,20036,7384,552422,32000,88000,557000,177000
14,Depreciation and Amortization,11483,12184,14780,22162,23040,- -,- -,- -,- -,- -,794,1605,2259,2503,2245,1742,1164,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-378116,-304294,-942479,-1061283,-811620,-217582,-1106534,-4176784,-4100965,-142201,-553150,-542509,-3030344,-3086464,-897590,-1233392,-2788282,-4317058,-9188005,-49952394,-2227000,-2815000,-5949000,-14186000
16,EBITDA ratio,-Infinity,-Infinity,-44.8496,-13.9382,-19.3609,-20.9335,-Infinity,-13.4101,-2.5736,-0.2206,-2.2916,-12.9404,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-389598,-316479,-957259,-364176,-669239,-216595,-1070913,-4048244,-3933904,-33374,-487355,-494213,-3278611,-3888877,-1687065,-1235134,-2789446,-4317058,-9188005,-35491189,-2227000,-2764000,-5978000,-12440000
18,Operating Income ratio,-Infinity,-Infinity,-45.5529,-4.7828,-15.9645,-20.8386,-Infinity,-12.9974,-2.4688,-0.0518,-2.0190,-11.7884,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-729031,-161122,9113,35620,330129,-5254104,459921,-137803,-49901,-246007,-397848,-787230,-211444,-3837184,-24158,-7384,34849915,125968000,-830000,894000,-2452000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1446578,-6626630,-4341216,-9195389,-641274,123741000,-3594000,-5084000,-14892000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2165000,2297000
23,Net Income,-396643,-316503,-957259,-1089596,-835742,-217582,-1037933,-4180026,-4104420,-142201,-555522,-545985,-3852505,-3836083,-2476048,-1446578,-6304947,-3118431,-5706189,16298662,123741000,-2635000,-5333000,-15833000
24,Net Income ratio,-Infinity,-Infinity,-45.5529,-14.3100,-19.9364,-20.9335,-Infinity,-13.4205,-2.5758,-0.2206,-2.3014,-13.0233,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-251.42,-162.31,-250.52,112.80,74.26,12.96,15.09,-35.55,-26.59,-0.87,1.89,-1.58,-8.83,-5.14,-3.01,-1.77,-4.00,-2.00,-2.00,6.00,46.00,-0.46,-0.49,-1.35
26,EPS Diluted,-251.42,-162.31,-250.52,112.80,74.26,12.96,15.09,-35.55,-26.59,-0.87,1.89,-1.58,-8.83,-5.14,-3.01,-1.77,-4.00,-2.00,-2.00,6.00,46.00,-0.46,-0.49,-1.35
27,Weighted Average Shares Outstanding,1578,3047,5786,6453,7066,10323,36657,117595,157813,272813,287222,301707,429630,784699,786807,817590,1619771,1934424,2397450,2540430,2677960,4819870,10951531,11733000
28,Weighted Average Shares Outstanding Diluted,1578,3047,5786,6453,7066,10323,36657,117595,157813,272813,287222,301707,429630,784699,786807,817590,1619771,1934424,2397450,2721933,2696420,4819870,10951531,11733000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,13523,381736,711193,2798801,2613496,1223222,279526,2305794,358535,58493,3318621,2032058,1718289,4688929,159377,7520000,6166000,3152000,2770000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,63145,1525066,2874212,3530322,864467,1333560,1955325,228122,- -,- -,- -,- -,58912535,52000,103000,68000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,13523,381736,774338,4323867,5487708,4753543,1143994,3639354,2313860,286615,3318621,2032058,1718289,4688929,59071912,7572000,6269000,3220000,2770000
34,Net Receivables,- -,- -,- -,- -,- -,6015,35709,22285,- -,- -,52655,93853,127397,117366,231569,106682,227233,17575,203940,16448,28000,55000,60000,683000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-1,6001,3219736,351697,296721,277758,16222,49825,7378,6988744,- -,- -,- -,- -,47693,16000,227000,514000,1493000
37,Total Current Assets,- -,- -,- -,- -,- -,19537,423446,4016359,4675564,5784429,5083956,1254069,3816576,2438604,7506929,3425303,2259291,1735864,4892869,59136053,7616000,6551000,3794000,4946000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,179026,- -,- -,6029,7471,6404914,7183480,6732,5622,4122,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,- -,- -,43324000,43324000,43324000
