,https://roic.ai/company/AKBA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1535000,177984000,207742000,335001000,295307000,213578000
2,COGS,- -,- -,- -,- -,- -,- -,7768000,145336000,295908000,153394000
3,Gross Profit,- -,- -,- -,- -,- -,- -,199974000,189665000,-601000,60184000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9626,0.5662,-0.0020,0.2818
5,Research and Development Exp.,5632000,10781600,25398000,43016000,115785000,230893000,291007000,322969000,218485000,147852000
6,General and Administrative Exp.,2891000,5151621,12542000,18497000,22210000,27008000,87061000,149455000,157356000,177650000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2891000,5151621,12542000,18497000,22210000,27008000,87061000,149455000,157356000,177650000
9,Other Expenses,- -,- -,- -,- -,- -,- -,67000,3529000,- -,- -
10,Operating Expenses,8523000,15933221,37940000,61513000,137995000,257901000,378135000,475953000,375841000,325502000
11,COGS and Expenses,8523000,15933221,37940000,61513000,137995000,257901000,385903000,621289000,671749000,478896000
12,Interest Income ,- -,- -,- -,- -,901000,2799000,6154000,- -,- -,- -
13,Interest Expense (Gain),- -,703569,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,1282,49000,96000,296000,617000,2421000,38646000,33590000,37970000
15,EBITDA,-8523000,-14882095,-37891000,-61417000,-135451000,-76297000,-169505000,-247644000,-349867000,-244870000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-88.2417,-0.4287,-0.8159,-0.7392,-1.1848,-1.1465
17,Operating Income,-8523000,-15933221,-37940000,-61513000,-136460000,-79917000,-178161000,-286288000,-376442000,-265318000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-88.8990,-0.4490,-0.8576,-0.8546,-1.2747,-1.2423
19,Total Other Income Expenses (Gains),327000,2766041,906000,797000,713000,3003000,6235000,-2000,-7015000,-17522000
20,Income Before Tax,-8196000,-13167180,-37034000,-60716000,-135747000,-76914000,-171926000,-286290000,-383457000,-282840000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-88.4345,-0.4321,-0.8276,-0.8546,-1.2985,-1.3243
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-28338000,-6631000,- -,- -
23,Net Income,-8196000,-13167180,-37034000,-60716000,-135747000,-76914000,-143588000,-279659000,-383457000,-282840000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-88.4345,-0.4321,-0.6912,-0.8348,-1.2985,-1.3243
25,EPS,-1.14,-1.31,-8.04,-2.29,-3.60,-1.77,-1.47,-2.36,-2.77,-2.04
26,EPS Diluted,-1.14,-1.31,-8.04,-2.29,-3.60,-1.77,-1.47,-2.36,-2.77,-2.04
27,Weighted Average Shares Outstanding,10132528,10132528,15406386,26469170,37716949,43500795,116887518,118395919,138463152,138463152
28,Weighted Average Shares Outstanding Diluted,10132528,10132528,15406386,26469170,37716949,43500795,116887518,118395919,138463152,138463152
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517022/000156459015001260/0001564590-15-001260-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459016014700/0001564590-16-014700-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459017003466/0001564590-17-003466-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459018005286/0001564590-18-005286-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459019009340/0001564590-19-009340-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459020010491/0001564590-20-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000162828021003283/0001628280-21-003283-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000162828022004522/0001628280-22-004522-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1641038,21215228,32780000,49778000,187335000,70156000,104644000,147449000,228698000,149800000
32,Short-Term Investments,- -,11341241,76138000,88676000,73008000,247636000,216996000,245000,39992000,- -
33,Cash and Short-Term Investments,1641038,32556469,108918000,138454000,260343000,317792000,321640000,147694000,268690000,149800000
34,Net Receivables,85633,135339,48000,- -,33823000,34216000,16666000,38864000,26853000,50875000
35,Inventory,- -,- -,- -,- -,- -,- -,114245000,116349000,61017000,38195000
36,Other Current Assets,517202,739235,1514000,2563000,2155000,6348000,15724000,6626000,14877000,33140000
37,Total Current Assets,2243873,33431043,110480000,141017000,296321000,358356000,468275000,309533000,371437000,272010000
38,PP&E,- -,30366,210000,540000,2612000,3617000,8023000,10380000,35498000,40606000
39,Goodwill,- -,- -,- -,- -,- -,- -,55053000,55053000,55053000,55053000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,328153000,291212000,144170000,108127000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,383206000,346265000,199223000,163180000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1203483,304928,1383000,1283000,2274000,137036000,105023000,37981000,49754000
45,Total Non-Current Assets,- -,1233849,514928,1923000,3895000,5891000,528265000,461668000,272702000,253540000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2243873,34664892,110994928,142940000,300216000,364247000,996540000,771201000,644139000,525550000
48,Accounts Payable,417943,714137,2021000,2313000,2039000,6998000,42796000,39217000,41308000,33588000
49,Short-Term Debt,- -,3912,- -,- -,- -,- -,15000000,4989000,5286000,102345000
50,Tax Payable,- -,- -,- -,- -,- -,987000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,81968000,84910000,56980000,39830000,15214000,20906000
52,Other Current Liabilities,4505387,3183761,4864000,9555000,30261000,52441000,150917000,124082000,125338000,99654000
53,Total Current Liabilities,4923330,3901810,6885000,11868000,114268000,144349000,265693000,208118000,187146000,256493000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,75805000,96378000,33703000
55,Deferred Revenue,- -,- -,- -,- -,115321000,97957000,55709000,33120000,25345000,21474000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,6631000,- -,- -,- -
57,Other Non-Current Liabilities,- -,8004,32000,74000,2507000,2610000,32579000,59401000,87652000,137424000
58,Total Non-Current Liabilities,- -,8004,32000,74000,117828000,100567000,94919000,168326000,209375000,192601000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,11916,- -,- -,- -,- -,- -,32517000,29907000,38505000
61,Total Liabilities,4923330,3909814,6917000,11942000,232096000,244916000,360612000,376444000,396521000,449094000
62,Preferred Stock,56908671,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6,134,- -,- -,- -,- -,1000,1000,1000,1000
64,Retained Earnings,-59588134,-63706646,-100673000,-161389000,-297136000,-374050000,-514395000,-794054000,-1177511000,-1460351000
65,Other Comprehensive Income/Loss,- -,-1282,-56000,-234000,-42000,-442000,-261000,- -,13000,6000
66,Other Total Stockholders Equity,- -,94462872,204801645,292534000,365698000,494440000,1150583000,1188810000,1425115000,1536800000
67,Total Stockholders Equity,-2679457,30755078,104078000,130998000,68120000,119331000,635928000,394757000,247618000,76456000
68,Total Liabilities And Stockholders Equity,2243873,34664892,110995000,142940000,300216000,364247000,996540000,771201000,644139000,525550000
69,Minority Interest,- -,- -,-72,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2243873,34664892,110994928,142940000,300216000,364247000,996540000,771201000,644139000,525550000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517022/000156459015001260/0001564590-15-001260-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459016014700/0001564590-16-014700-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459017003466/0001564590-17-003466-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459018005286/0001564590-18-005286-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459019009340/0001564590-19-009340-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459020010491/0001564590-20-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000162828021003283/0001628280-21-003283-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000162828022004522/0001628280-22-004522-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-8196000,-13167180,-37034000,-60716000,-135747000,-76914000,-143588000,-279659000,-383457000,-282840000
74,Depreciation and Amortization,- -,1282,49000,96000,296000,617000,2421000,38646000,33590000,37970000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-28338000,-6631000,- -,- -
76,Stock Based Compensation,122000,1563759,6010000,4714000,5825000,8867000,19040000,11925000,24460000,22735000
77,Change in Working Capital,-808000,32208690,74065767,25554000,52904000,31954000,-11425000,-101167000,82876000,-108418000
78,Accounts Receivable,-4000,-49706,87000,- -,- -,-393000,33384000,-22198000,12011000,-24022000
79,Inventory,- -,- -,- -,- -,- -,- -,26000,-29142000,6163000,-25847000
80,Accounts Payable,- -,- -,- -,231000,-274000,4959000,13717000,1372000,3678000,-11735000
81,Other Working Capital,-2679457,29529233,103595000,129149000,182053000,214007000,202582000,101415000,184291000,1821000
82,Other Non-Cash Items,1671000,-31938222,-70573767,-22055000,134628000,-20683000,64396000,79445000,132143000,77588000
83,Cash Provided by Operating Activities,-7211000,-11331671,-27483000,-52407000,57906000,-56159000,-97494000,-257441000,-110388000,-252965000
