,https://roic.ai/company/HUBS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,28553000,51604000,77634000,115876000,181943000,270967000,375612000,512980000,674860000,883026000,1300658000
2,COGS,12080000,16838000,29039000,37080000,47923000,61865000,75729000,100357000,129958000,166959000,258857000
3,Gross Profit,16473000,34766000,48595000,78796000,134020000,209102000,299883000,412623000,544902000,716067000,1041801000
4,Gross Profit Ratio,0.5769,0.6737,0.6259,0.6800,0.7366,0.7717,0.7984,0.8044,0.8074,0.8109,0.8010
5,Research and Development Exp.,10031000,10585000,15018000,25638000,32457000,45997000,70373000,117603000,158237000,205589000,301970000
6,General and Administrative Exp.,6769000,7972000,14669000,22958000,35408000,45120000,56787000,75834000,92971000,109225000,144949000
7,Selling and Marketing Exp.,24088000,34949000,53158000,78809000,112629000,162647000,212859000,267444000,340685000,452081000,649681000
8,"Selling, General and Administrative Exp.",30857000,42921000,67827000,101767000,148037000,207767000,269646000,343278000,433656000,561306000,794630000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,40888000,53506000,82845000,127405000,180494000,253764000,340019000,460881000,591893000,766895000,1096600000
11,COGS and Expenses,52968000,70344000,111884000,164485000,228417000,315629000,415748000,561238000,721851000,933854000,1355457000
12,Interest Income ,36000,26000,34000,46000,390000,854000,3837000,9176000,19429000,7773000,1173000
13,Interest Expense (Gain),30000,63000,20000,322000,185000,265000,13181000,21386000,22818000,37049000,30282000
14,Depreciation and Amortization,1891000,2736000,4472000,5714000,7343000,11177000,15786000,23428000,28793000,37060000,45159000
15,EBITDA,-22490000,-15979000,-29782000,-42285000,-38113000,-33587000,-21072000,-17146000,838000,-6706000,1623000
16,EBITDA ratio,-0.7877,-0.3096,-0.3836,-0.3649,-0.2095,-0.1240,-0.0561,-0.0334,0.0012,-0.0076,0.0012
17,Operating Income,-24415000,-18740000,-34250000,-48609000,-46474000,-44662000,-40136000,-48258000,-46991000,-50828000,-54799000
18,Operating Income ratio,-0.8551,-0.3632,-0.4412,-0.4195,-0.2554,-0.1648,-0.1069,-0.0941,-0.0696,-0.0576,-0.0421
19,Total Other Income Expenses (Gains),4000,-38000,-24000,288000,833000,-367000,-9903000,-13702000,-3782000,-29987000,-19019000
20,Income Before Tax,-24411000,-18778000,-34274000,-48321000,-45641000,-45029000,-50039000,-61960000,-50773000,-80815000,-73818000
21,Income Before Tax Ratio,-0.8549,-0.3639,-0.4415,-0.4170,-0.2509,-0.1662,-0.1332,-0.1208,-0.0752,-0.0915,-0.0568
22,Income Tax expense (Gain),- -,- -,- -,-92000,412000,533000,-10325000,1868000,2973000,4216000,4019000
23,Net Income,-24411000,-18778000,-34274000,-48229000,-46053000,-45562000,-39714000,-63828000,-53746000,-85031000,-77837000
