,https://roic.ai/company/GMED,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,254344000,288195000,331478000,385994000,434459000,474371000,544753000,563994000,635977000,712969000,785368000,789042000,958102000
2,COGS,41607000,53825000,68796000,75199000,100343000,110857000,132803000,134705000,150453000,159410000,179975000,217463000,239223000
3,Gross Profit,212737000,234370000,262682000,310795000,334116000,363514000,411950000,429289000,485524000,553559000,605393000,571579000,718879000
4,Gross Profit Ratio,0.8364,0.8132,0.7925,0.8052,0.7690,0.7663,0.7562,0.7612,0.7634,0.7764,0.7708,0.7244,0.7503
5,Research and Development Exp.,20521000,21309000,23464000,27926000,26870000,31687000,36982000,44532000,43679000,55496000,60073000,84519000,97346000
6,General and Administrative Exp.,- -,- -,- -,168862000,182518000,187798000,214014000,222156000,267817000,311591000,354757000,354757000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,168862000,182518000,187798000,214014000,222156000,267817000,311591000,354757000,354757000,408149000
9,Other Expenses,108422000,122589000,140386000,- -,- -,- -,- -,3478000,7909000,9588000,13809000,16831000,18526000
10,Operating Expenses,128943000,143898000,163850000,196788000,209388000,219485000,250996000,270166000,319405000,376675000,428639000,456107000,524021000
11,COGS and Expenses,170550000,197723000,232646000,271987000,309731000,330342000,383799000,404871000,469858000,536085000,608614000,673570000,763244000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,-805000,-1304000,-3057000,-6608000,-13278000,-17406000,- -,- -
14,Depreciation and Amortization,13502000,15196000,16949000,18108000,19397000,21754000,24084000,38771000,42067000,41630000,52734000,62874000,69867000
15,EBITDA,91980000,102935000,113898000,132761000,121398000,159591000,195585000,192993000,205387000,216957000,225274000,188773000,250274000
16,EBITDA ratio,0.3616,0.3572,0.3436,0.3439,0.2794,0.3364,0.3590,0.3422,0.3229,0.3043,0.2868,0.2392,0.2612
17,Operating Income,81905000,87685000,97362000,114793000,101673000,138362000,172222000,154141000,161840000,169325000,171989000,111433000,171953000
18,Operating Income ratio,0.3220,0.3043,0.2937,0.2974,0.2340,0.2917,0.3161,0.2733,0.2545,0.2375,0.2190,0.1412,0.1795
19,Total Other Income Expenses (Gains),-127000,54000,-413000,-140000,328000,280000,583000,3138000,8088000,19280000,17957000,14466000,8454000
20,Income Before Tax,81778000,87739000,96949000,114653000,102001000,138642000,172805000,157279000,169928000,188605000,189946000,125899000,180407000
21,Income Before Tax Ratio,0.3215,0.3044,0.2925,0.2970,0.2348,0.2923,0.3172,0.2789,0.2672,0.2645,0.2419,0.1596,0.1883
22,Income Tax expense (Gain),29745000,33281000,36165000,40822000,33389000,46157000,60021000,52938000,62580000,32131000,34736000,23614000,31216000
23,Net Income,48733000,54458000,60784000,73831000,68612000,92485000,112784000,104341000,107348000,156474000,155210000,102285000,149191000
24,Net Income ratio,0.1916,0.1890,0.1834,0.1913,0.1579,0.1950,0.2070,0.1850,0.1688,0.2195,0.1976,0.1296,0.1557
25,EPS,0.55,0.75,0.69,0.82,0.74,0.98,1.19,1.09,1.12,1.60,1.57,1.04,1.48
26,EPS Diluted,0.54,0.72,0.67,0.80,0.73,0.97,1.17,1.08,1.10,1.54,1.52,1.01,1.44
27,Weighted Average Shares Outstanding,88112000,72691000,88112000,89608000,92647000,94227000,95046000,95647000,96243000,97884000,99150000,98580000,100734000
28,Weighted Average Shares Outstanding Diluted,91072000,75458000,91072000,92208000,94192000,95457000,96073000,96432000,97887000,101316000,101998000,100971000,103623000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1237831/000123783113000013/0001237831-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783114000012/0001237831-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1237831/000123783115000009/gmed12311410k.htm,https://www.sec.gov/Archives/edgar/data/1237831/000123783116000075/0001237831-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783117000009/0001237831-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783118000012/0001237831-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783119000014/0001237831-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783120000010/0001237831-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000156276221000036/0001562762-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1237831/000156276222000037/0001562762-22-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,111701000,142668000,212400000,89962000,82265000,60152000,132639000,118817000,139747000,195474000,239397000,193069000
32,Short-Term Investments,- -,- -,- -,- -,148962000,146439000,220877000,157673000,254890000,199937000,115763000,187344000,250378000
33,Cash and Short-Term Investments,- -,111701000,142668000,212400000,238924000,228704000,281029000,290312000,373707000,339684000,311237000,426741000,443447000
34,Net Receivables,- -,48583000,50063000,58601000,65137000,81202000,86353000,95783000,127060000,144356000,162424000,148100000,165651000
35,Inventory,- -,40882000,47369000,62310000,70350000,90945000,105260000,112692000,108409000,131254000,196314000,229153000,237001000
36,Other Current Assets,- -,17806000,18675000,26799000,42397000,69174000,72157000,14979000,11166000,15387000,17493000,17771000,18417000
37,Total Current Assets,- -,218972000,258775000,360110000,416808000,470025000,544799000,513766000,620342000,630681000,687468000,821765000,864516000
38,PP&E,- -,45903000,52394000,61089000,64150000,69475000,114743000,124229000,143167000,171873000,199841000,216879000,221076000
39,Goodwill,- -,- -,9808000,15372000,18372000,53196000,91964000,105926000,123890000,123734000,128775000,156716000,179708000
40,Intangible Assets,- -,- -,7433000,9585000,29537000,34529000,33242000,61706000,78659000,87323000,78812000,86949000,68660000
41,Intangible Assets,- -,- -,17241000,24957000,47909000,87725000,125206000,167632000,202549000,211057000,207587000,243665000,248368000
42,Investments,- -,- -,- -,- -,36528000,75347000,48762000,60444000,56133000,263117000,409514000,358522000,562475000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,30638000,20031000,13578000,5926000,6615000,24494000
