,https://roic.ai/company/KPRX,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,669259,407518,1652520,2686000,12059
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,3034397,1010268,531116,2717110,8422542,10330349,8055763,5389357,3566045
6,General and Administrative Exp.,2817851,2087637,1930967,3960498,5593563,- -,4441458,4405684,4658769
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2817851,2087637,1930967,3960498,5593563,- -,4441458,4405684,4658769
9,Other Expenses,- -,- -,- -,- -,- -,4636408,- -,- -,- -
10,Operating Expenses,5852248,3097905,2462083,6677608,14016105,14966757,12497221,9795041,8224814
11,COGS and Expenses,5852248,3097905,2462083,6677608,14016105,14966757,12497221,9795041,8224814
12,Interest Income ,11127,2186,1102,947,3684,564,120363,108066,23339
13,Interest Expense (Gain),- -,611386,441720,1934493,275,1215,1040,325,4186
14,Depreciation and Amortization,9094,5455,1724,1257,5185,19288,38483,213933,33399
15,EBITDA,-5832027,-3090264,-2459257,-6675404,-13337977,-14539387,-10685855,-6787042,-8042300
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-19.9295,-35.6779,-6.4664,-2.5268,-666.9127
17,Operating Income,-5852248,-3097905,-2462083,-6677608,-13346846,-14559239,-10844701,-7109041,-8212755
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-19.9427,-35.7266,-6.5625,-2.6467,-681.0478
19,Total Other Income Expenses (Gains),43875,-584680,910575,-1710364,3409,-651,119323,107741,132870
20,Income Before Tax,-5808373,-3682585,-1551508,-8387972,-13343437,-14559890,-10725378,-7001300,-8079885
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-19.9376,-35.7282,-6.4903,-2.6066,-670.0294
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-1341973,86045,95396,12055
23,Net Income,-6034095,-3879447,-1773992,-8393149,-13343437,-13217917,-10811423,-7096696,-8091940
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-19.9376,-32.4352,-6.5424,-2.6421,-671.0291
25,EPS,-469.29,-11.40,-3.83,-40.50,-22.65,-13.95,-4.50,-2.23,-1.77
26,EPS Diluted,-469.29,-11.40,-3.83,-40.50,-22.65,-13.95,-4.50,-2.23,-1.77
27,Weighted Average Shares Outstanding,12858,334001,462747,410939,588929,950678,2365594,3181019,4576058
28,Weighted Average Shares Outstanding Diluted,12858,334001,462747,410939,588929,950678,2365594,3181019,4576058
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372514/000110465921041515/0001104659-21-041515-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1973185,501172,167001,8394133,3635224,7806029,8004237,3776712,1185677
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1973185,501172,167001,8394133,3635224,7806029,8004237,3776712,1185677
34,Net Receivables,38720,35124,25336,932586,53833,23685,18436,4857,90975
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,41107,22351,26443,122395,464981,629591,455760,542736,533497
37,Total Current Assets,2053012,558647,218780,9449114,4154038,8459305,8478433,4324305,1810149
38,PP&E,8436,2981,1257,- -,38040,55751,43518,16846,30566
39,Goodwill,- -,- -,- -,- -,- -,- -,1525896,1525896,3484607
40,Intangible Assets,- -,- -,- -,- -,5438210,5438210,4156064,4131064,9730164
41,Intangible Assets,- -,- -,- -,- -,5438210,5438210,5681960,5656960,13214771
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,281278,130566,1186433,58587,100314,352126,76706,114403,102073
45,Total Non-Current Assets,289714,133547,1187690,58587,5576564,5846087,5802184,5788209,13347410
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2342726,692194,1406470,9507701,9730602,14305392,14280617,10112514,15157559
48,Accounts Payable,109749,13691,565947,417697,1412128,706089,63654,210289,434763
49,Short-Term Debt,34197,2027240,3205504,- -,12645,11214,4715,83926,48303
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1907500,4225000,12313600,2686000,- -,- -
52,Other Current Liabilities,603138,530221,1252566,1095738,1658285,1802633,1110013,1120480,1289261
53,Total Current Liabilities,747084,2571152,5024017,3420935,7308058,14833536,3864382,1414695,1772327
54,Long-Term Debt,- -,- -,- -,- -,16069,4855,- -,- -,313815
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1525896,183923,269968,365364,728926
57,Other Non-Current Liabilities,36408666,36408666,36408666,- -,1210000,1210000,1210000,1710000,5342950
58,Total Non-Current Liabilities,36408666,36408666,36408666,- -,2751965,1398778,1479968,2075364,6385691
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,28714,16069,4715,83926,83928
61,Total Liabilities,37155750,38979818,41432683,3420935,10060023,16232314,5344350,3490059,8158018
62,Preferred Stock,- -,- -,- -,- -,- -,6,41,41,41
63,Common Stock,1827,1844,2018,76573,101309,172573,437939,40778,55564
64,Retained Earnings,-51208713,-55088160,-56862152,-65255301,-78598738,-91816655,-93150198,-100246894,-108338834
65,Other Comprehensive Income/Loss,39113,52923,56544,114788,120187,127473,134331,139465,-802
66,Other Total Stockholders Equity,10004223,10189554,9996789,71150706,78047821,89589681,101514154,106689065,115283572
67,Total Stockholders Equity,-41163550,-44843839,-46806801,6086766,-329421,-1926922,8936267,6622455,6999541
68,Total Liabilities And Stockholders Equity,-4007800,-5864021,-5374118,9507701,9730602,14305392,14280617,10112514,15157559
69,Minority Interest,6350526,6556215,6780588,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2342726,692194,1406470,9507701,9730602,14305392,14280617,10112514,15157559
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372514/000110465921041515/0001104659-21-041515-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6034095,-3879447,-1773992,-8393149,-13343437,-13217917,-10811423,-7096696,-8091940
74,Depreciation and Amortization,9094,5455,1724,1257,5185,19288,38483,213933,33399
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1341973,86045,95396,12055
76,Stock Based Compensation,396375,184030,26815,1224687,510995,870308,875287,852230,723856
77,Change in Working Capital,175894,2216,1480859,1018047,4414077,7110699,-1032904,-2718696,-321209
78,Accounts Receivable,- -,- -,- -,-907500,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,26189,-96058,552256,-148250,712795,-706039,-642435,146636,136697
81,Other Working Capital,69920,150712,28545,1906352,-16727,8087518,540208,-2686000,18916
82,Other Non-Cash Items,230845,730131,-686023,1689989,- -,91054,- -,500000,326670
83,Cash Provided by Operating Activities,-5221887,-2957615,-950617,-4459169,-8413180,-6468541,-10844512,-8153833,-7317169
84,CAPEX,- -,- -,- -,- -,-11000,-36999,-270000,- -,-133794
85,Acquisitions Net,- -,- -,- -,- -,185746,- -,- -,- -,-110644
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-20000,-25000,- -,-250000,- -,-113717
