,https://roic.ai/company/NVGI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,8626718,13405499,3074720
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,2570143,7555268,1851942
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,6056575,5850231,1222778
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.7021,0.4364,0.3977
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,62593,87647,86189,64053,161966,63781,57528,- -,126674449,18335425,3014433
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,898407,434568,163741
8,"Selling, General and Administrative Exp.",62593,87647,86189,64053,161966,63781,57528,- -,127572856,18769993,3178174
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-1146,-15096,-339548
10,Operating Expenses,62593,87647,86189,64053,161966,63781,57528,- -,127571710,18754897,2838626
11,COGS and Expenses,62593,87647,86189,64053,161966,63781,57528,- -,130141853,26310165,4690568
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,32,142,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,47323,91718,95077
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,463872,500533,252116
15,EBITDA,-65466,-88350,-85771,-64573,-161966,-63781,-57528,- -,-122995361,-12123058,-1328014
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-14.2575,-0.9043,-0.4319
17,Operating Income,-62593,-87647,-86189,-64053,-161966,-63781,-57528,- -,-121516281,-12919762,-1955396
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-14.0860,-0.9638,-0.6360
19,Total Other Income Expenses (Gains),2873,703,-418,520,- -,- -,- -,- -,-1990275,204453,280189
20,Income Before Tax,-59720,-86944,-86607,-63533,-161966,-63781,-57528,- -,-123506556,-12715309,-1675207
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-14.3167,-0.9485,-0.5448
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,184275,-204035,1272
23,Net Income,-59720,-86944,-86607,-63533,-123581,-49383,-50997,- -,-123690831,-12511274,-1676479
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-14.3381,-0.9333,-0.5452
