,https://roic.ai/company/ELLO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,200000,200000,1300000,5900000,8500000,10762758,13337602,19999980,31036824,60341935,129817360,135292914,81245457,52067723,56597023,60265159,59075574,58715273,8196259,- -,- -,4717257,6722085,9401305,12978486,12637857,12239212,13636000,18117000,18988000,9645000,44783000
2,COGS,- -,100000,800000,4200000,5900000,7019190,10525457,9636354,15347880,30494446,64896968,85323875,55591505,41939871,44665049,43902431,38827824,38735880,7891683,- -,- -,2424210,3531930,4636200,7022132,7103250,6835589,7067000,12158000,13054000,7926000,32600000
3,Gross Profit,100000,100000,500000,1700000,2600000,3743568,2812145,10363626,15688944,29847489,64920392,49969039,25653952,10127853,11931974,16362728,20247750,19979393,304576,- -,- -,2293047,3190155,4765104,5956353,5534608,5403624,6569000,5959000,5934000,1719000,12183000
4,Gross Profit Ratio,0.5000,0.5000,0.3846,0.2881,0.3059,0.3478,0.2108,0.5182,0.5055,0.4946,0.5001,0.3693,0.3158,0.1945,0.2108,0.2715,0.3427,0.3403,0.0372,- -,- -,0.4861,0.4746,0.5069,0.4589,0.4379,0.4415,0.4817,0.3289,0.3125,0.1782,0.2720
5,Research and Development Exp.,200000,200000,600000,500000,300000,- -,1205205,1545453,3581172,4779136,15572887,11502095,7377894,5197720,5907341,5982781,4415060,4832640,1395016,- -,- -,- -,- -,- -,- -,- -,- -,2739000,2878000,4213000,3491000,2508000
6,General and Administrative Exp.,- -,200000,200000,1200000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7427635,7633047,7061282,1531324,3211000,- -,2096020,3300812,3497497,3425402,4448980,2420000,3600000,3827000,4512000,5661000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900584,9475294,2208896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,200000,200000,1200000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16328220,17108341,9270178,1531324,3211000,- -,2096020,3300812,3497497,3425402,4448980,2420000,3600000,3827000,4512000,5661000
9,Other Expenses,100000,- -,-100000,0,-0,2651694,6267066,7999992,10061388,16754306,37008233,39214344,38560025,23228554,20046454,18636455,-111380,674896,264349,- -,-796649,2413408,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,300000,400000,700000,1700000,1800000,2651694,7472271,9545445,13642560,21533442,52581120,50716439,45937919,28426274,25953795,24619235,20631899,22615877,10929543,1531324,2414351,2413408,2096020,3300812,3497497,3425402,4448980,5159000,6478000,8040000,8003000,8169000
