,https://roic.ai/company/LOMA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,5974129528,7870953893,9874443208,15286534926,26806931524,38952001000,41623255000,73668000000
2,COGS,4399587506,5808497475,7264522456,10850065285,19982794052,28141994000,29026378000,50384000000
3,Gross Profit,1574542022,2062456418,2609920752,4436469641,6824137472,10810007000,12596877000,23284000000
4,Gross Profit Ratio,0.2636,0.2620,0.2643,0.2902,0.2546,0.2775,0.3026,0.3161
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,357531442,467072429,634671646,774744015,1262883017,1875460000,2197235000,- -
7,Selling and Marketing Exp.,13676239,17230314,21879658,29809668,44272385,65525000,77411000,- -
8,"Selling, General and Administrative Exp.",371207681,484302743,656551304,804553683,1307155402,1940985000,2274646000,6329000000
9,Other Expenses,258897572,337646601,412813374,582523891,881126036,1367265000,1673359000,742000000
10,Operating Expenses,630105253,821949344,1069364678,1387077574,2188281438,3308250000,3948005000,7071000000
11,COGS and Expenses,5029692759,6630446819,8333887134,12237142859,22171075490,31450244000,32974383000,57455000000
12,Interest Income ,17978346,16552785,21720338,84566728,27000000,- -,81616000,39000000
13,Interest Expense (Gain),453300910,393922930,593592292,525227115,507927074,1444246000,1097347000,1944000000
14,Depreciation and Amortization,211644305,333956297,509073880,625880708,2121389879,3263720000,3987936000,5959000000
15,EBITDA,1012477017,1318537807,1851573510,3327488161,5561144266,10233608000,18699867000,24457000000
16,EBITDA ratio,0.1695,0.1675,0.1875,0.2177,0.2075,0.2627,0.4493,0.3320
17,Operating Income,944436769,1240507074,1540556074,3049392067,4635856034,7501757000,8648872000,16213000000
18,Operating Income ratio,0.1581,0.1576,0.1560,0.1995,0.1729,0.1926,0.2078,0.2201
19,Total Other Income Expenses (Gains),-605554367,-646628213,-780804703,-763492420,-1553318994,-1771504000,-131794000,99000000
20,Income Before Tax,338882402,593878861,759751371,2285899647,3082537040,5730253000,8517078000,16312000000
21,Income Before Tax Ratio,0.0567,0.0755,0.0769,0.1495,0.1150,0.1471,0.2046,0.2214
22,Income Tax expense (Gain),107600766,242359114,257734325,585537956,1131955333,1686453000,2263560000,9968000000
23,Net Income,239931036,348299466,491173013,1590842382,1799871980,3839189000,11351024000,6586000000
24,Net Income ratio,0.0402,0.0443,0.0497,0.1041,0.0671,0.0986,0.2727,0.0894
25,EPS,2.01,2.92,4.12,13.95,15.10,32.21,95.22,55.25
26,EPS Diluted,2.01,2.92,4.12,13.95,15.10,32.21,95.22,55.25
27,Weighted Average Shares Outstanding,119205298,119205298,119205298,114205298,119213193,119199540,119205020,119205020
28,Weighted Average Shares Outstanding Diluted,119205298,119205298,119205298,114205298,119213193,119199540,119205020,119205020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,47875372,56917693,233844913,188774700,806708433,1547551000,266625000,331000000
32,Short-Term Investments,212961587,345387878,694208774,2990913013,2095150895,1019609000,4108923000,4940000000
33,Cash and Short-Term Investments,260836959,402305571,928053687,3179687713,2901859328,2567160000,4375548000,5271000000
34,Net Receivables,432693847,612282382,801916743,1415678447,2333044514,3259065000,4000158000,5152000000
35,Inventory,836305866,976407379,1717088995,1833791084,3777797369,5414366000,5491783000,8697000000
36,Other Current Assets,15639461,129010020,53561505,89389075,114872914,112276000,206422000,- -
37,Total Current Assets,1545476133,2120005352,3500620930,6518546319,9127574125,11352867000,14073911000,19120000000
