,https://roic.ai/company/HAPP,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,52995670,61495527,63936190,65061950,71484703
2,COGS,27178863,32143327,31689120,34642650,53309102
3,Gross Profit,25816807,29352200,32247070,30419300,18175601
4,Gross Profit Ratio,0.4871,0.4773,0.5044,0.4675,0.2543
5,Research and Development Exp.,1655007,1857818,2161710,2358970,1660100
6,General and Administrative Exp.,1366296,1436579,8242490,12661620,5030899
7,Selling and Marketing Exp.,5589974,5817018,- -,- -,9958886
8,"Selling, General and Administrative Exp.",6956270,7253597,8242490,12661620,14989785
9,Other Expenses,- -,- -,-5,-3,- -
10,Operating Expenses,8611277,9111415,10404195,15020587,16649885
11,COGS and Expenses,35790140,41254742,42093310,49663240,69958987
12,Interest Income ,11623,18711,42038,74929,131901
13,Interest Expense (Gain),493725,133284,-41510,-23160,111799
14,Depreciation and Amortization,142969,137173,699540,690750,880879
15,EBITDA,17657559,20632090,22563160,16199720,2644018
16,EBITDA ratio,0.3332,0.3355,0.3529,0.2490,0.0370
17,Operating Income,17205530,20240785,21842873,15398717,1525716
18,Operating Income ratio,0.3247,0.3291,0.3416,0.2367,0.0213
19,Total Other Income Expenses (Gains),-184665,120848,62257,133403,125624
20,Income Before Tax,17020865,20361633,21905130,15532120,1651340
21,Income Before Tax Ratio,0.3212,0.3311,0.3426,0.2387,0.0231
22,Income Tax expense (Gain),2504835,2871693,3183150,2844090,959384
23,Net Income,14516030,17489940,18721980,12688040,691956
24,Net Income ratio,0.2739,0.2844,0.2928,0.1950,0.0097
25,EPS,0.58,0.70,0.75,0.53,0.03
26,EPS Diluted,0.58,0.70,0.75,0.53,0.03
27,Weighted Average Shares Outstanding,25000000,25000000,25000000,23843836,26160270
28,Weighted Average Shares Outstanding Diluted,25000000,25000000,25000000,23843836,26160270
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,4269331,8884829,14800770,33654770,36558752
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4269331,8884829,14800770,33654770,36558752
34,Net Receivables,24140443,32575959,32018220,30036450,34563743
35,Inventory,3726099,2269182,1970740,2029410,1785379
36,Other Current Assets,82810,28298,6050530,4264120,22189744
37,Total Current Assets,32218683,43758268,54840260,69984750,95097618
38,PP&E,8519969,8790553,7807050,7896500,10514031
39,Goodwill,- -,- -,- -,- -,162832
40,Intangible Assets,789087,847505,774370,719720,1832099
41,Intangible Assets,789087,847505,774370,719720,1994931
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2257370,6496500,5138105
45,Total Non-Current Assets,9309056,9638058,10838790,15112720,17647067
46,Other Assets,- -,- -,- -,- -,- -
