,https://roic.ai/company/APPF,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,26542000,47671000,74977000,105586000,143803000,190071000,256012000,310056000,359370000
2,COGS,13616000,22555000,33903000,44630000,55283000,73549000,101642000,119029000,143944000
3,Gross Profit,12926000,25116000,41074000,60956000,88520000,116522000,154370000,191027000,215426000
4,Gross Profit Ratio,0.4870,0.5269,0.5478,0.5773,0.6156,0.6130,0.6030,0.6161,0.5995
5,Research and Development Exp.,5057000,6505000,9554000,12638000,16578000,24111000,39508000,48529000,65980000
6,General and Administrative Exp.,2286000,6489000,14343000,17979000,21199000,24891000,34478000,47480000,57279000
7,Selling and Marketing Exp.,10337000,16876000,26076000,28827000,28709000,33288000,51528000,58445000,73200000
8,"Selling, General and Administrative Exp.",12623000,23365000,40419000,46806000,49908000,58179000,86006000,105925000,130479000
9,Other Expenses,2850000,3805000,6104000,9935000,12699000,14576000,22395000,26790000,30845000
10,Operating Expenses,20530000,33675000,56077000,69379000,79185000,96866000,147909000,181244000,227304000
11,COGS and Expenses,34146000,56230000,89980000,114009000,134468000,170415000,249551000,300273000,371248000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2850000,3805000,6104000,9935000,12699000,14576000,26525000,30491000,32231000
15,EBITDA,-4455000,-4816000,-9489000,1721000,22473000,34963000,31348000,227322000,33965000
16,EBITDA ratio,-0.1678,-0.1010,-0.1266,0.0163,0.1563,0.1839,0.1224,0.7332,0.0945
17,Operating Income,-7604000,-8559000,-15003000,-8423000,9335000,19656000,6461000,9783000,-11878000
18,Operating Income ratio,-0.2865,-0.1795,-0.2001,-0.0798,0.0649,0.1034,0.0252,0.0316,-0.0331
19,Total Other Income Expenses (Gains),299000,-62000,-590000,209000,439000,731000,-1638000,187048000,13612000
20,Income Before Tax,-7305000,-8621000,-15593000,-8214000,9774000,20387000,4823000,196831000,1734000
21,Income Before Tax Ratio,-0.2752,-0.1808,-0.2080,-0.0778,0.0680,0.1073,0.0188,0.6348,0.0048
22,Income Tax expense (Gain),- -,- -,75000,67000,58000,420000,-31459000,38428000,706000
23,Net Income,-7305000,-8621000,-15668000,-8281000,9716000,19967000,36282000,158403000,1028000
24,Net Income ratio,-0.2752,-0.1808,-0.2090,-0.0784,0.0676,0.1051,0.1417,0.5109,0.0029
25,EPS,-0.28,-0.33,-0.73,-0.25,0.29,0.59,1.07,4.62,0.03
26,EPS Diluted,-0.28,-0.33,-0.73,-0.25,0.28,0.56,1.02,4.44,0.03
27,Weighted Average Shares Outstanding,25920000,25764000,21336000,33561000,33849000,34128000,34016000,34264000,34264000
28,Weighted Average Shares Outstanding Diluted,25920000,25764000,21336000,33561000,35151000,35562000,35567000,35713000,35713000
