,https://roic.ai/company/ITRN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,47962000,49691000,64071000,77926000,90100000,104100000,124800000,132600000,121400000,147800000,160200000,150300000,170200000,182127000,175628000,199574000,234636000,253335000,279332000,245627000,270884000
2,COGS,38045000,30833000,37448000,41888000,47600000,53900000,67600000,69000000,60800000,75200000,79500000,74800000,80900000,84994000,85747000,97543000,115252000,126007000,148814000,130112000,144402000
3,Gross Profit,9917000,18858000,26623000,36038000,42500000,50200000,57200000,63600000,60600000,72600000,80700000,75500000,89300000,97133000,89881000,102031000,119384000,127328000,130518000,115515000,126482000
4,Gross Profit Ratio,0.2068,0.3795,0.4155,0.4625,0.4717,0.4822,0.4583,0.4796,0.4992,0.4912,0.5037,0.5023,0.5247,0.5333,0.5118,0.5112,0.5088,0.5026,0.4673,0.4703,0.4669
5,Research and Development Exp.,1362000,1717000,1692000,2020000,2800000,2700000,3000000,400000,400000,500000,1900000,2100000,2400000,2526000,2401000,2895000,3160000,6223000,13913000,12767000,14099000
6,General and Administrative Exp.,- -,- -,- -,- -,19800000,17677000,30800000,37100000,27216000,40295000,43495000,42395000,44195000,47876000,47099000,50297000,59831000,59029000,67940000,49705000,46118000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,5123000,- -,- -,7684000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,11014000,11906000
8,"Selling, General and Administrative Exp.",14792000,12122000,14331000,15767000,19835000,22800000,30847000,37133000,34900000,40300000,43500000,42400000,44200000,47881000,47104000,50302000,59836000,59033000,67944000,60719000,58024000
9,Other Expenses,- -,740000,314000,-12000,-17000,-33000,960000,426000,-31000,1026000,7449000,-1903000,12000,- -,- -,940000,2246000,-210000,-203000,501000,- -
10,Operating Expenses,16154000,14579000,16337000,17775000,22618000,25467000,34807000,37959000,35269000,41826000,52849000,42597000,46612000,50407000,49505000,54137000,65242000,65046000,81654000,73987000,72123000
11,COGS and Expenses,54199000,45412000,53785000,59663000,70200000,79300000,52300000,108600000,97000000,117200000,133600000,120400000,132200000,136257000,134984000,150636000,180347000,176070000,256475000,204099000,216525000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1817000,1770000,1998000,1291000,773000,2215000,1674000,704000,500000,302000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,661000,339000,408000,236000,881000,1205000,- -,64000,46000,- -,528000,2610000,2194000,- -
14,Depreciation and Amortization,- -,- -,3482000,3665000,3584000,4205000,8080000,10115000,12530000,15875000,17801000,14671000,16196000,12219000,11962000,11635000,13519000,14608000,22843000,18831000,18096000
15,EBITDA,-12942000,869000,12744000,19307000,23284000,30105000,80580000,33576000,38169000,31283000,45037000,52152000,53601000,56894000,49819000,58697000,75018000,93084000,44576000,48004000,64206000
16,EBITDA ratio,-0.2698,0.0175,0.1989,0.2478,0.2584,0.2892,0.6457,0.2532,0.3144,0.2117,0.2811,0.3470,0.3149,0.3124,0.2837,0.2941,0.3197,0.3674,0.1596,0.1954,0.2370
17,Operating Income,-6237000,4279000,10286000,18263000,19922000,24732000,72499000,25660000,24382000,30668000,26583000,29947000,37930000,45870000,40644000,47998000,56535000,62378000,22654000,27831000,54615000
18,Operating Income ratio,-0.1300,0.0861,0.1605,0.2344,0.2211,0.2376,0.5809,0.1935,0.2008,0.2075,0.1659,0.1992,0.2229,0.2519,0.2314,0.2405,0.2409,0.2462,0.0811,0.1133,0.2016
19,Total Other Income Expenses (Gains),-6122000,-6567000,-616000,-2059000,878000,1868000,1201000,-1760000,1618000,-14568000,1317000,7753000,70000,1704000,1189000,2056000,-989000,13855000,550000,1208000,-5647000
20,Income Before Tax,-12359000,-2288000,9670000,16204000,20800000,26600000,73700000,23900000,26000000,16100000,27900000,37700000,38000000,47574000,41833000,50054000,55546000,76233000,23204000,29039000,48968000
21,Income Before Tax Ratio,-0.2577,-0.0460,0.1509,0.2079,0.2309,0.2555,0.5905,0.1802,0.2142,0.1089,0.1742,0.2508,0.2233,0.2612,0.2382,0.2508,0.2367,0.3009,0.0831,0.1182,0.1808
22,Income Tax expense (Gain),- -,- -,3417000,4423000,5300000,6600000,21000000,7900000,7100000,6300000,5700000,11700000,12400000,14246000,12822000,14877000,17705000,17273000,12234000,10856000,11854000
23,Net Income,-12942000,869000,5845000,11219000,14400000,19300000,51500000,14900000,18200000,8700000,21300000,24900000,23800000,30429000,24971000,32139000,43794000,60675000,6889000,16123000,34256000
24,Net Income ratio,-0.2698,0.0175,0.0912,0.1440,0.1598,0.1854,0.4127,0.1124,0.1499,0.0589,0.1330,0.1657,0.1398,0.1671,0.1422,0.1610,0.1866,0.2395,0.0247,0.0656,0.1265
25,EPS,-0.86,0.05,0.11,0.20,0.73,0.83,2.21,0.69,0.87,1.00,1.23,1.19,1.13,1.45,1.19,1.53,2.09,3.06,0.33,0.77,1.65
26,EPS Diluted,-0.86,0.05,0.10,0.19,0.71,0.82,2.20,0.69,0.87,1.00,1.23,1.19,1.13,1.45,1.19,1.53,2.09,3.06,0.33,0.77,1.65
27,Weighted Average Shares Outstanding,15135000,17634000,54819000,55755000,19736000,23194000,23315000,21432000,20968000,20968000,20968000,20968000,20968000,20968000,20968000,20968000,20968000,21077000,21037000,20813000,20769000
28,Weighted Average Shares Outstanding Diluted,15135000,18264000,57258000,57576000,20254000,23457000,23422000,21440000,20977000,20977000,20968000,20968000,20968000,20968000,20968000,20968000,20968000,21077000,21037000,20813000,20769000
