,https://roic.ai/company/PIRS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,12427292,5365054,2931931,5830674,25275000,29101000,46279000,29323000,31418000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,12427292,5365054,2931931,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,9411856,5600421,8244751,19698803,22285000,41490000,54996000,46531000,66656000
6,General and Administrative Exp.,- -,- -,2461610,6962891,8368215,8890886,17584000,18442000,18440000,16713000,16593000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2461610,6962891,8368215,8890886,17584000,18442000,18440000,16713000,16593000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3685000
10,Operating Expenses,- -,- -,11873466,12563312,16612966,28589689,39869000,59932000,73436000,63244000,79564000
11,COGS and Expenses,- -,- -,11873466,12563312,16612966,28589689,39869000,59932000,73436000,63244000,79564000
12,Interest Income ,- -,- -,- -,- -,- -,2320,152000,1962000,1714000,511000,4000
13,Interest Expense (Gain),- -,- -,493937,2654727,184645,-2320,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,384677,366979,307906,361382,369000,570000,1040000,2127000,2368000
15,EBITDA,- -,- -,944810,-6828276,-13362224,-22278132,-16175000,-26496000,-24429000,-34939000,-43370000
16,EBITDA ratio,- -,- -,0.0760,-1.2727,-4.5575,-3.8209,-0.6400,-0.9105,-0.5279,-1.1915,-1.3804
17,Operating Income,- -,- -,553826,-7198257,-13681035,-22759015,-14594000,-30831000,-27157000,-33921000,-51831000
18,Operating Income ratio,- -,- -,0.0446,-1.3417,-4.6662,-3.9033,-0.5774,-1.0594,-0.5868,-1.1568,-1.6497
19,Total Other Income Expenses (Gains),- -,- -,-487630,-2651725,-173740,121821,-1950000,3765000,1688000,-3145000,6093000
20,Income Before Tax,- -,- -,66196,-9849982,-13854775,-22637194,-16544000,-27066000,-25469000,-37066000,-45738000
21,Income Before Tax Ratio,- -,- -,0.0053,-1.8360,-4.7255,-3.8824,-0.6546,-0.9301,-0.5503,-1.2641,-1.4558
22,Income Tax expense (Gain),- -,- -,- -,-18,203866,161970,1103000,-312000,- -,164000,- -
23,Net Income,- -,- -,66196,-9849964,-14058641,-22799164,-17647000,-26754000,-25469000,-37230000,-45738000
24,Net Income ratio,- -,- -,0.0053,-1.8359,-4.7950,-3.9102,-0.6982,-0.9193,-0.5503,-1.2697,-1.4558
25,EPS,- -,- -,0.00,-0.71,-0.41,-0.55,-0.40,-0.50,-0.56,-0.68,-0.68
26,EPS Diluted,- -,- -,0.00,-0.71,-0.41,-0.55,-0.40,-0.50,-0.56,-0.68,-0.68
27,Weighted Average Shares Outstanding,- -,- -,13863470,13872390,34392636,41713223,43931000,53081000,50625000,54481000,67730000
28,Weighted Average Shares Outstanding Diluted,- -,- -,13863470,13872390,34392636,41713223,43931000,53081000,50625000,54481000,67730000
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1583648/000119312516514870/0001193125-16-514870-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000119312517102052/0001193125-17-102052-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364818000017/0001583648-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364819000011/0001583648-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364820000015/0001583648-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364821000005/0001583648-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364822000016/0001583648-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3689382,18474211,29349124,29355528,37878000,74867000,62260000,70436000,117764000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,34751000,53240000,41894000,- -,- -
33,Cash and Short-Term Investments,- -,- -,3689382,18474211,29349124,29355528,72629000,128107000,104154000,70436000,117764000
34,Net Receivables,- -,- -,548289,14810,- -,57582,15546000,2701000,6787000,1706000,3313000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,582707,1316404,2311385,3259503,1615000,4574000,4072000,3579000,6548000
37,Total Current Assets,- -,- -,4820378,19805425,31660509,32672613,89790000,135382000,115013000,75721000,127625000
38,PP&E,- -,- -,2437676,2052221,2162771,2264477,4034000,5049000,22938000,25980000,23031000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,9922000,- -,- -,- -,- -
43,Tax Assets,- -,- -,18877,26522,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,126781,125741,130000,910000,3146000,3309000,2904000
45,Total Non-Current Assets,- -,- -,2456553,2078743,2289552,2390218,14086000,5959000,26084000,29289000,25935000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,7276931,21884168,33950061,35062831,103876000,141341000,141097000,105010000,153560000
48,Accounts Payable,- -,- -,278008,1260015,1058536,2386183,2452000,3350000,5803000,3007000,11589000
49,Short-Term Debt,- -,- -,206490,1270605,- -,- -,- -,- -,- -,1030000,1049000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000,- -
51,Deferred Revenue,- -,- -,544562,- -,- -,2274514,37153000,35612000,11256000,12627000,25116000
52,Other Current Liabilities,- -,- -,738991,1013143,1739380,3719457,6170000,9114000,9944000,5481000,12807000
53,Total Current Liabilities,- -,- -,1768051,3543763,2797916,8380154,45775000,48076000,27003000,22145000,50561000
54,Long-Term Debt,- -,- -,4543932,- -,- -,- -,- -,- -,- -,15932000,13841000
55,Deferred Revenue,- -,- -,- -,- -,- -,1409483,46542000,53303000,47258000,35900000,38403000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,379942,333988,23852,46667,37000,27000,15484000,6000,- -
58,Total Non-Current Liabilities,- -,- -,4923874,333988,23852,1456150,46579000,53330000,62742000,51838000,52244000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,16217000,16962000,14890000
61,Total Liabilities,- -,- -,6691925,3877751,2821768,9836304,92354000,101406000,89745000,73983000,102805000
62,Preferred Stock,- -,- -,- -,- -,- -,5,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,11829,29280,39833,43059,45000,54000,55000,56000,72000
64,Retained Earnings,- -,- -,-55957084,-65807048,-79865689,-102664853,-120312000,-147066000,-174176000,-211406000,-257144000
65,Other Comprehensive Income/Loss,- -,- -,-956274,-843097,-2286671,-2424660,-2879000,-3366000,-3567000,-295000,829000
66,Other Total Stockholders Equity,- -,- -,57486536,84627283,113240820,130272976,134668000,190313000,229040000,242672000,- -
67,Total Stockholders Equity,- -,- -,585007,18006418,31128293,25226527,11522000,39935000,51352000,31027000,50755000
68,Total Liabilities And Stockholders Equity,- -,- -,7276932,21884169,33950061,35062831,103876000,141341000,141097000,105010000,153560000
69,Minority Interest,- -,- -,-1,-1,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,7276931,21884168,33950061,35062831,103876000,141341000,141097000,105010000,153560000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1583648/000119312516514870/0001193125-16-514870-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000119312517102052/0001193125-17-102052-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364818000017/0001583648-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364819000011/0001583648-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364820000015/0001583648-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364821000005/0001583648-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364822000016/0001583648-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,66196,-9849964,-14058641,-22799164,-17647000,-26754000,-25469000,-37230000,-45738000
74,Depreciation and Amortization,- -,- -,384677,366979,307906,361382,369000,570000,1040000,2127000,2368000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-164000,- -,164000,- -
76,Stock Based Compensation,- -,- -,- -,571382,1164633,1905256,3046000,4943000,5374000,5090000,5215000
77,Change in Working Capital,- -,- -,3047601,16251648,12600931,-4570134,19722541,43291000,704000,-34434000,30525000
78,Accounts Receivable,- -,- -,-337483,465385,- -,-58651,-14469000,12511000,-4055000,5343000,-1813000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-549405,1115987,-90924,1360274,-332000,764000,1257000,-4354000,7049000
81,Other Working Capital,- -,- -,3052327,16261662,28862593,24292459,44015000,87306000,88010000,53576000,19555000
82,Other Non-Cash Items,- -,- -,-6574956,-12405746,-12720309,10714726,44263459,-22952000,-34116000,18387000,-30000
83,Cash Provided by Operating Activities,- -,- -,-3076482,-5065701,-12705480,-14387934,49754000,-1066000,-52467000,-45896000,-7660000
84,CAPEX,- -,- -,-49471,-267406,-620747,-580639,-1950000,-1698000,-2462000,-2726000,-949000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-43925000,-117582000,-59317000,-41499000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,110405000,71617000,83437000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,20968,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-49471,-267406,-620747,-559671,-45875000,-8875000,9838000,39212000,-949000
90,Debt Repayment,- -,- -,- -,-181515,-1157940,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,11963188,25763960,15221021,- -,47211000,30998000,9624000,57101000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,327210,8552177,10000,- -,4090000,1300000,1168000,491000,2026000
95,Cash Used/Provided by Financing Activities,- -,- -,327210,20333850,24616020,15221021,4090000,48511000,32166000,10115000,59127000
96,Effect of Forex Changes on Cash,- -,- -,161047,-215914,-414880,-267012,553000,-1581000,-2144000,4745000,-3190000
97,Net Change In Cash,- -,- -,-2637696,14784829,10874913,6404,8522000,36989000,-12607000,8176000,47328000
98,Cash at the End of Period,- -,- -,3689382,18474211,29349124,29355528,37878000,74867000,62260000,70436000,117764000
99,Cash at the Beginning of Period,- -,- -,6327078,3689382,18474211,29349124,29356000,37878000,74867000,62260000,70436000
100,Free Cash Flow,- -,- -,-3125953,-5333107,-13326227,-14968573,47804000,-2764000,-54929000,-48622000,-8609000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1583648/000119312516514870/0001193125-16-514870-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000119312517102052/0001193125-17-102052-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364818000017/0001583648-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364819000011/0001583648-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364820000015/0001583648-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364821000005/0001583648-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1583648/000158364822000016/0001583648-22-000016-index.htm
102,false,,,,,,,,,,,
