,https://roic.ai/company/RGCO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,58200000,48600000,65800000,65000000,59400000,57100000,77749995,117443147,80225673,104361559,103147064,121647787,107797750,89901301,94636826,82184473,73823914,70798871,58799687,63205666,75016134,68189607,59063291,62296870,65534736,68026525,63075391,75174779
2,COGS,38300000,29200000,43700000,42600000,36100000,33500000,35833723,89269961,55394584,74636845,60870458,74932893,81200577,- -,- -,55108549,47383641,43529305,31866590,48456374,59062433,51470059,40596463,42587754,45107337,46909993,40471695,49681754
3,Gross Profit,19900000,19400000,22100000,22400000,23300000,23600000,41916272,28173186,24831089,29724714,42276606,46714894,26597173,- -,- -,27075924,26440273,27269566,26933097,14749292,15953701,16719548,18466828,19709116,20427399,21116532,22603696,25493025
4,Gross Profit Ratio,0.3419,0.3992,0.3359,0.3446,0.3923,0.4133,0.5391,0.2399,0.3095,0.2848,0.4099,0.3840,0.2467,- -,- -,0.3295,0.3582,0.3852,0.4580,0.2334,0.2127,0.2452,0.3127,0.3164,0.3117,0.3104,0.3584,0.3391
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,15700000,15200000,17100000,17100000,17500000,17500000,35001095,21444553,18694672,21660540,37082499,39201463,18891312,81943022,85798800,17231408,17458092,17956520,18146562,5954237,6271833,6713356,7254736,8042807,8834354,9521068,10085514,10714716
10,Operating Expenses,15700000,15200000,17100000,17100000,17500000,17500000,35001095,21444553,18694672,21660540,37082499,39201463,18891312,81943022,85798800,17231408,17458092,17956520,18146562,5954237,6271833,6713356,7254736,8042807,8834354,9521068,10085514,10714716
11,COGS and Expenses,54000000,44400000,60800000,59700000,53600000,51000000,70834818,110714514,74089256,96297385,97952957,114134356,100091889,81943022,85798800,72339957,64841733,61485825,50013152,54410611,65334266,58183415,47851199,50630561,53941691,56431061,50557209,60396470
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1918106,1835291,1832712,1830885,1828099,1827001,1512419,1636321,1917254,2461565,3618551,4099158,4051885
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,4538635,4967332,5297678,5422074,4128980,4280027,4480711,4301102,4526670,3815009,3959887,4164320,4387016,4656716,4838062,5219893,5709525,6378368,7090169,7600852,8126427,8669977
15,EBITDA,2300000,2500000,3200000,3300000,3800000,4200000,8926609,8765151,9278385,11090389,18286941,9826720,9932201,10343719,11329546,13589434,12931615,13497616,13153595,13391654,14313043,14997289,16818896,18333877,19744075,22568546,26095779,26027986
16,EBITDA ratio,0.0395,0.0514,0.0486,0.0508,0.0640,0.0736,0.1148,0.0746,0.1157,0.1063,0.1773,0.0808,0.0921,0.1151,0.1197,0.1654,0.1752,0.1906,0.2237,0.2119,0.1908,0.2199,0.2848,0.2943,0.3013,0.3318,0.4137,0.3462
17,Operating Income,4200000,4200000,5000000,5300000,5800000,6100000,6915177,6728633,6136417,8064174,5194107,7513431,7705861,7958279,8838026,9844516,8982181,9313046,8786535,8795055,9681868,10006192,11212092,11666309,11593045,11595464,12518182,14778309
18,Operating Income ratio,0.0722,0.0864,0.0760,0.0815,0.0976,0.1068,0.0889,0.0573,0.0765,0.0773,0.0504,0.0618,0.0715,0.0885,0.0934,0.1198,0.1217,0.1315,0.1494,0.1391,0.1291,0.1467,0.1898,0.1873,0.1769,0.1705,0.1985,0.1966
19,Total Other Income Expenses (Gains),-1900000,-1700000,-1800000,-2000000,-2000000,-1900000,-2527203,-2861999,-2155710,-2395859,-1903357,-2085711,-2491308,-1956202,-1998460,-1988197,-1845744,-1812462,-1850841,-1888216,-2033888,-1741215,-1739042,-1628054,-1400704,-246321,1352012,-1472185
20,Income Before Tax,2300000,2500000,3200000,3300000,3800000,4200000,4387974,3866634,3980707,5668315,3290750,5427720,5214553,6002077,6839566,7856319,7136437,7500584,6935694,6906839,7647980,8264977,9473050,10038255,10192341,11349143,13870194,13306124
