,https://roic.ai/company/NAVI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,3307000000,4011000000,3574000000,3102000000,2523000000,2211000000,1923000000,1996000000,1688000000,2211000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,457000000,504000000,458000000,467000000,500000000,519000000,507000000,488000000,497000000,569000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",457000000,504000000,458000000,467000000,500000000,519000000,507000000,488000000,497000000,569000000
9,Other Expenses,- -,3600000000,3248000000,3118000000,3357000000,3867000000,4562000000,- -,- -,- -
10,Operating Expenses,- -,4104000000,3706000000,3585000000,3857000000,4386000000,5069000000,- -,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,5769000000,5377000000,4730000000,4295000000,4146000000,4383000000,4908000000,4673000000,3298000000,2648000000
13,Interest Expense (Gain),2561000000,2210000000,2063000000,2074000000,2441000000,2971000000,3668000000,3488000000,2046000000,1316000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,25000000,21000000,- -
15,EBITDA,3998000000,4404000000,3900000000,3675000000,3549000000,3735000000,4196000000,4276000000,2599000000,2252000000
16,EBITDA ratio,1.2090,1.0980,1.0912,1.1847,1.4067,1.6893,2.1820,2.1423,1.5397,1.0185
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1437000000,2087000000,1837000000,1600000000,1108000000,764000000,528000000,763000000,532000000,936000000
21,Income Before Tax Ratio,0.4345,0.5203,0.5140,0.5158,0.4392,0.3455,0.2746,0.3823,0.3152,0.4233
22,Income Tax expense (Gain),498000000,776000000,688000000,604000000,427000000,472000000,133000000,166000000,120000000,219000000
23,Net Income,939000000,1418000000,1149000000,997000000,681000000,292000000,395000000,597000000,412000000,717000000
24,Net Income ratio,0.2839,0.3535,0.3215,0.3214,0.2699,0.1321,0.2054,0.2991,0.2441,0.3243
25,EPS,1.93,3.18,2.74,2.66,2.15,1.06,1.52,2.59,2.14,3.72
26,EPS Diluted,1.90,3.12,2.69,2.61,2.12,1.04,1.49,2.56,2.12,3.72
27,Weighted Average Shares Outstanding,476000000,440000000,417153285,374812030,316744186,275471698,259868421,230501931,192523364,157000000
28,Weighted Average Shares Outstanding Diluted,483000000,449000000,425000000,382000000,322000000,281000000,264000000,233000000,195000000,157000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1593538/000119312515070145/0001193125-15-070145-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000119312516478393/0001193125-16-478393-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000119312517056358/0001193125-17-056358-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459018003273/0001564590-18-003273-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459019004187/0001564590-19-004187-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459020007457/0001564590-20-007457-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459021009436/0001564590-21-009436-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459022007182/0001564590-22-007182-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5190000000,1443000000,1594000000,1253000000,1518000000,1286000000,1233000000,1183000000,905000000
32,Short-Term Investments,- -,109000000,6000000,5000000,3000000,2000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5299000000,1449000000,1599000000,1256000000,1520000000,1286000000,1233000000,1183000000,905000000
34,Net Receivables,- -,4341000000,3768000000,2881000000,2483000000,2453000000,2365000000,2329000000,2505000000,2409000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,149242000000,-1291000000,-742000000,-139000000,-727000000,-2365000000,89779000000,82119000000,75742000000
37,Total Current Assets,- -,158882000000,3926000000,3738000000,3600000000,3246000000,1286000000,93341000000,85807000000,79056000000
38,PP&E,- -,237000000,152000000,162000000,160000000,156000000,136000000,135000000,116000000,95000000
39,Goodwill,- -,394000000,353000000,551000000,545000000,701000000,665000000,665000000,665000000,671000000
40,Intangible Assets,- -,30000000,16000000,154000000,125000000,109000000,121000000,92000000,70000000,54000000
41,Intangible Assets,- -,424000000,369000000,705000000,670000000,810000000,786000000,757000000,735000000,725000000
42,Investments,- -,1369000000,1118000000,992000000,838000000,751000000,696000000,670000000,754000000,729000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-1369000000,140787000000,128515000000,115868000000,110028000000,101046000000,- -,- -,- -
45,Total Non-Current Assets,- -,661000000,142426000000,130374000000,117536000000,111745000000,102664000000,1562000000,1605000000,1549000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,96465000000,89017000000,82154000000
47,Total Assets,- -,159543000000,146352000000,134112000000,121136000000,114991000000,103950000000,94903000000,87412000000,80605000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,13795000000,2663000000,2570000000,1786000000,4085000000,5122000000,10537000000,7088000000,3792000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3463000000,2625000000,2734000000,3283000000,2440000000,2016000000,- -,- -,- -
53,Total Current Liabilities,- -,17258000000,5288000000,5304000000,5069000000,6525000000,7138000000,10537000000,7088000000,3792000000
54,Long-Term Debt,- -,136648000000,136866000000,124833000000,112916000000,105698000000,93819000000,79698000000,76302000000,72929000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-548000000,-686000000,-300000000,- -,- -,- -
58,Total Non-Current Liabilities,- -,136648000000,136866000000,124833000000,112368000000,105012000000,93519000000,79698000000,76302000000,72929000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,160715000000,154179000000,147134000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,153901000000,142154000000,130113000000,117413000000,111506000000,100629000000,91554000000,84965000000,77997000000
62,Preferred Stock,- -,565000000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,109000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,2584000000,1724000000,2480000000,2890000000,3004000000,3218000000,3664000000,3331000000,3939000000
65,Other Comprehensive Income/Loss,- -,13000000,9000000,-51000000,6000000,61000000,113000000,-91000000,-274000000,-133000000
66,Other Total Stockholders Equity,- -,2366000000,2461000000,1542000000,799000000,385000000,184000000,-241000000,-628000000,-1213000000
67,Total Stockholders Equity,- -,5637000000,4198000000,3975000000,3699000000,3454000000,3519000000,3336000000,2433000000,2597000000
68,Total Liabilities And Stockholders Equity,- -,159538000000,146352000000,134088000000,121112000000,114960000000,104148000000,94890000000,87398000000,80594000000
69,Minority Interest,- -,5000000,- -,24000000,24000000,31000000,-198000000,13000000,14000000,11000000
70,Total Liabilities & Equity,- -,159543000000,146352000000,134112000000,121136000000,114991000000,103950000000,94903000000,87412000000,80605000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1593538/000119312515070145/0001193125-15-070145-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000119312516478393/0001193125-16-478393-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000119312517056358/0001193125-17-056358-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459018003273/0001564590-18-003273-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459019004187/0001564590-19-004187-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459020007457/0001564590-20-007457-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459021009436/0001564590-21-009436-index.htm,https://www.sec.gov/Archives/edgar/data/1593538/000156459022007182/0001564590-22-007182-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,939000000,1418000000,1149000000,997000000,681000000,292000000,395000000,597000000,412000000,717000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,47000000,47000000,39000000,29000000,26000000,35000000,25000000,25000000,18000000,22000000
77,Change in Working Capital,805000000,141624000000,-142986000000,-204000000,97000000,-1810000000,-2573000000,40000000,34000000,432000000
78,Accounts Receivable,361000000,-68000000,-75000000,175000000,-26000000,-29000000,-125000000,78000000,22000000,47000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-41000000,-23000000,-27000000,-42000000,-92000000,11000000,58000000,-96000000,-113000000,-55000000
81,Other Working Capital,- -,141624000000,-1362000000,-1566000000,-1469000000,-3279000000,-5852000000,- -,- -,- -
82,Other Non-Cash Items,845000000,-141089000000,143462000000,1088000000,553000000,2640000000,3293000000,357000000,523000000,-469000000
83,Cash Provided by Operating Activities,2636000000,2000000000,1664000000,1910000000,1357000000,1157000000,1140000000,1019000000,987000000,702000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-342000000,- -,-184000000,- -,- -,- -,-16000000
86,Purchases of Investments,-308000000,-448000000,-813000000,-187000000,-44000000,-1000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,277000000,419000000,804000000,98000000,51000000,23000000,115000000,7000000,- -,- -
88,Other Investing Activites,11876000000,9239000000,-1644000000,11117000000,11404000000,7658000000,10245000000,7478000000,6448000000,6689000000
89,Cash Used for Investing Activites,11845000000,9210000000,-1653000000,10686000000,11411000000,7496000000,10360000000,7485000000,6448000000,6673000000
90,Debt Repayment,-19890000000,-14427000000,-10256000000,-16519000000,-19831000000,-17746000000,-19837000000,-17128000000,-15605000000,-16034000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-900000000,-600000000,-600000000,-945000000,-755000000,-440000000,-220000000,-440000000,-400000000,-600000000
93,Dividends Paid,-257000000,-284000000,-255000000,-240000000,-201000000,-176000000,-166000000,-147000000,-123000000,-107000000
