,https://roic.ai/company/SFOR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,30532,338445,661580,287035,411737,265990,448127,805312,434657,324807,271559,384289,274137,233878,768209,207000
2,COGS,15232,91468,83720,120201,89412,39217,25426,14513,16967,9658,8441,6363,12504,14086,10543,13000
3,Gross Profit,15300,246977,577860,166834,322325,226773,422701,790799,417690,315149,263118,377926,261633,219792,757666,194000
4,Gross Profit Ratio,0.5011,0.7297,0.8735,0.5812,0.7828,0.8526,0.9433,0.9820,0.9610,0.9703,0.9689,0.9834,0.9544,0.9398,0.9863,0.9372
5,Research and Development Exp.,368331,359900,375030,422753,418547,400467,352670,339300,340600,287646,262973,521663,537282,511327,520558,520000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,5152834,1096033,1310594,1294882,1111679,2298883,2118054,2109100,1838257,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,5152834,1096033,1310594,1294882,1111679,2298883,2118054,2109100,1838257,- -
9,Other Expenses,3549749,3806693,2772138,1716081,1789765,1069522,- -,- -,- -,- -,- -,- -,- -,- -,- -,2350000
10,Operating Expenses,3918080,4166593,3147168,2138834,2208312,1469989,5505504,1435333,1651194,1582528,1374652,2820546,2655336,2620427,2358815,2870000
11,COGS and Expenses,3933312,4258061,3230888,2259035,2297724,1509206,5530930,1449846,1668161,1592186,1383093,2826909,2667840,2634513,2369358,2883000
12,Interest Income ,- -,- -,- -,10867,488,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),358922,859849,502360,295439,6308,745084,585324,815642,1520195,1649813,545324,875234,841925,1317012,1552098,1259000
14,Depreciation and Amortization,184438,1199361,492022,309265,323589,167188,4227,7444,9675,9038,7247,5231,6618,6750,54232,56000
15,EBITDA,-3718342,-1095024,-3004020,-1037436,-2156476,-1960110,-4897502,-342783,-881056,-1691301,-1254674,3819030,-2286264,-1956247,-1920133,-8728000
16,EBITDA ratio,-121.7851,-3.2355,-4.5407,-3.6143,-5.2375,-7.3691,-10.9288,-0.4257,-2.0270,-5.2071,-4.6203,9.9379,-8.3399,-8.3644,-2.4995,-42.1643
17,Operating Income,-3902780,-3919616,-2569308,-1972000,-1885987,-1243216,-5082803,-644534,-1233504,-1267379,-1111534,-2442620,-2393703,-2400635,-1601149,-2676000
18,Operating Income ratio,-127.8259,-11.5812,-3.8836,-6.8702,-4.5806,-4.6739,-11.3423,-0.8004,-2.8379,-3.9019,-4.0932,-6.3562,-8.7318,-10.2645,-2.0843,-12.9275
19,Total Other Income Expenses (Gains),- -,1325231,-926734,329860,-600386,-1629166,181074,-521335,-1177422,-2082773,-695711,5381185,-741104,-1435114,-2146989,-7412000
20,Income Before Tax,- -,- -,- -,-1642140,-2486373,-2872382,- -,-1165869,-2410926,-3350152,-1807245,2938565,-3134807,-3835749,-3748138,-10088000
21,Income Before Tax Ratio,- -,- -,- -,-5.7210,-6.0387,-10.7988,- -,-1.4477,-5.5467,-10.3143,-6.6551,7.6468,-11.4352,-16.4006,-4.8791,-48.7343
22,Income Tax expense (Gain),- -,- -,- -,-98107,-247292,2080,- -,2039,- -,78,- -,- -,71693,1500,1522,- -
23,Net Income,-4261702,-3154234,-3998402,-1544033,-2239081,-2874462,-5487053,-1167908,-2410926,-3350230,-1807245,2938565,-3206500,-3281509,-3527985,-10043000
24,Net Income ratio,-139.5815,-9.3198,-6.0437,-5.3792,-5.4381,-10.8067,-12.2444,-1.4503,-5.5467,-10.3145,-6.6551,7.6468,-11.6967,-14.0309,-4.5925,-48.5169
25,EPS,-1420567.33,-1051411.33,-1332800.67,-514677.67,-746360.33,-958154.00,-1829017.67,-389302.67,-803642.00,-837557.50,-235.00,0.79,-0.69,-0.70,-0.68,-0.14
26,EPS Diluted,-1420567.33,-1051411.33,-1332800.67,-514677.67,-746360.33,-958154.00,-1829017.67,-1949610370.37,-803642.00,-837557.50,-235.00,0.79,-0.69,-0.70,-0.68,-0.14
27,Weighted Average Shares Outstanding,952921005,952920992,952920992,952921005,952921005,952921108,952921108,952921108,3,4,7690,3710676,4647261,4690228,5215410,73260600
28,Weighted Average Shares Outstanding Diluted,952921005,952920992,952920992,952921005,952921005,952921108,952921108,952921108,3,4,7690,3710676,4647261,4690228,5215410,73260600
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285543/000147793220002343/0001477932-20-002343-index.htm,https://www.sec.gov/Archives/edgar/data/1285543/000147793221002231/0001477932-21-002231-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,77094,7455,16307,43030,67821,45925,- -,133279,7559,13129,37153,804130,455484,86160,74648,162000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,77094,7455,16307,43030,67821,45925,- -,133279,7559,13129,37153,804130,455484,86160,74648,162000
34,Net Receivables,1883,21376,32960,38535,23932,21457,75323,143290,39454,38507,18524,152009,47454,20649,19686,20000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,539368,323127,333133,407545,365572,13153,12421,9947,31287,18788,4732,9265,9098,4530,4557,21000
37,Total Current Assets,618345,351958,382400,489110,457325,80535,87744,286516,78300,70424,60409,965404,512036,111339,98891,203000
38,PP&E,45099,27372,16963,11027,6873,4666,6838,7110,3989,5522,4184,8926,7676,9259,211418,159000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,4329,4329,4329,6049,4406,4329,4329,- -,24519,19465,15910,- -,- -,- -,- -,- -
41,Intangible Assets,4329,4329,4329,6049,4406,4329,4329,11574,24519,19465,15910,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,8684,8684,8684,8684,8684,8684,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2096041,1738582,1437935,1127935,816204,- -,- -,- -,- -,8684,8684,22539,20485,18430,16376,14000
45,Total Non-Current Assets,2145469,1770283,1459227,1153695,836167,17679,19851,27368,37192,33671,28778,31465,28161,27689,227794,173000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2763814,2122241,1841627,1642805,1293492,98214,107595,313884,115492,104095,89187,996869,540197,139028,326685,376000
48,Accounts Payable,205654,713269,961552,899387,924906,1001615,943642,863704,1237165,1376300,1295829,890799,935979,945669,1115995,1010000
49,Short-Term Debt,674743,1429901,1891449,1315463,758500,2556438,4633263,4240290,4683693,4460341,5794624,4248937,4249937,5753520,6506044,6270000
50,Tax Payable,- -,- -,- -,53481,53481,53901,53901,53901,53901,53901,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,348922,799103,2975074,4403645,4573897,5319445,4145329,5664459,5138535,6369110,6480355,4296623,6147467,7242343,7858650,6850000
53,Total Current Liabilities,1229319,2942273,5828075,6618495,6257303,8877498,9722234,10768453,11059393,12205751,13570808,9436359,11333383,13941532,15480689,14130000
54,Long-Term Debt,1997128,2150689,1629270,1750000,3148372,1573184,622588,30000,70000,97404,242866,- -,- -,- -,310179,588000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,320590,- -,- -,- -,- -,25000,19,1,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,1997128,2471279,1629270,1750000,3148372,1573184,647588,30019,70001,97404,242866,- -,- -,- -,310179,588000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,26383,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825500,209241,163000
61,Total Liabilities,3226447,5413552,7457345,8368495,9405675,10450682,10369822,10798472,11129394,12303155,13813674,9436359,11333383,13941532,15790868,14718000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,987000,987000,987000,1001200,1004534,992000,994000,990667,990667,991000
63,Common Stock,1846,2884,10000,1712,2420,7754,22139,36281,232,246,2271,231970,233584,237374,295269,72000
64,Retained Earnings,-8265939,-12378048,-16376450,-17920483,-20159564,-23034026,-28521079,-29688987,-32099913,-35450143,-37257388,-34318823,-37543101,-40824610,-44352595,-54396000
65,Other Comprehensive Income/Loss,-62400,-71977,-86372,-96041,-102506,-106213,-110440,-116129,-120749,-124732,-128425,-131602,-136165,-140861,-146204,- -
66,Other Total Stockholders Equity,7863860,9155830,10837104,11289122,12147467,12780017,17360153,18297247,20219528,22374369,22654521,24786965,25658496,26490666,28526095,39814000
67,Total Stockholders Equity,-462633,-3291311,-5615718,-6725690,-8112183,-10352468,-10262227,-10484588,-11013902,-12199060,-13724487,-8439490,-10793186,-13246764,-14686768,-13519000
68,Total Liabilities And Stockholders Equity,2763814,2122241,1841627,1642805,1293492,98214,107595,313884,115492,104095,89187,996869,540197,694768,1104100,1199000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-555740,-777415,-823000
70,Total Liabilities & Equity,2763814,2122241,1841627,1642805,1293492,98214,107595,313884,115492,104095,89187,996869,540197,139028,326685,376000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285543/000147793220002343/0001477932-20-002343-index.htm,https://www.sec.gov/Archives/edgar/data/1285543/000147793221002231/0001477932-21-002231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-4261702,-3154234,-3998402,-1544033,-2239081,-2874462,-5487053,-1167908,-2410926,-3350230,-1807245,2938565,-3206500,-3281509,-3527985,-10043000
74,Depreciation and Amortization,184438,1199361,492022,309265,323589,167188,4227,7444,9675,9038,7247,5231,6618,6750,54232,56000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,14384,1469,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,255068,-1979341,-2855360,-683710,329407,-2996985,-837527,-847447,-499156,-1154234,-1375072,5039444,-2350392,-3008846,-1551605,1454798
78,Accounts Receivable,- -,- -,- -,-5575,14603,2475,-53866,-67967,103836,947,19983,-133485,104555,26805,963,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-9415,25519,101708,-26722,-52938,373461,139135,-80471,-405030,45180,-11771,170326,-77000
81,Other Working Capital,-610974,-2590315,-5445675,-6129385,-5799978,-8796963,-9634490,-10481937,-10981093,-12135327,-13510399,-8470955,-10821347,-13830193,-15381798,-13927000
82,Other Non-Cash Items,1074738,2501844,5764148,599899,913689,5146715,5337900,1276547,2083876,3340544,2318264,-5562272,3833942,4260060,3641324,6276202
83,Cash Provided by Operating Activities,-2747458,-1432370,-597592,-1318579,-672396,-557544,-982453,-731364,-802147,-1153413,-856806,2420968,-1716332,-2023545,-1384034,-2256000
84,CAPEX,-28942,-13045,-5121,-3733,-2311,-1500,-6399,-14961,-1499,-5517,-2354,-7918,-3314,-6279,-1528,-1000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-3750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-80737,95737,- -,- -,-9000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-28942,-13045,-5121,-84470,89676,-1500,-6399,-14961,-1499,-5517,-2354,-7918,-3314,-6279,-1528,-1000
90,Debt Repayment,- -,- -,- -,-400228,-391089,-114933,-169356,-31146,-11324,- -,-78215,-1721723,-584000,-75000,-48550,-371000
91,Common Stock Issued,846650,197000,75541,- -,202350,28500,312150,455000,- -,- -,- -,- -,- -,- -,- -,976000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1903099,1178776,536024,1830000,796250,623581,800133,455750,689250,1164500,961399,75650,1955000,1735500,1422600,1739000
95,Cash Used/Provided by Financing Activities,2749749,1375776,611565,1429772,607511,537148,942927,879604,677926,1164500,883184,-1646073,1371000,1660500,1374050,2344000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-26651,-69639,8852,26723,24791,-21896,942927,879604,-125720,5570,24024,766977,-348646,-369324,-11512,87000
98,Cash at the End of Period,77094,7455,16307,43030,67821,45925,- -,133279,7559,13129,37153,804130,455484,86160,74648,162000
99,Cash at the Beginning of Period,103745,77094,7455,16307,43030,67821,45925,- -,133279,7559,13129,37153,804130,455484,86160,75000
100,Free Cash Flow,-2776400,-1445415,-602713,-1322312,-674707,-559044,-988852,-746325,-803646,-1158930,-859160,2413050,-1719646,-2029824,-1385562,-2257000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285543/000147793220002343/0001477932-20-002343-index.htm,https://www.sec.gov/Archives/edgar/data/1285543/000147793221002231/0001477932-21-002231-index.htm
102,false,,,,,,,,,,,,,,,,
