,https://roic.ai/company/TSOI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1690000,350000,- -,- -,1910,5010,2850,3480,27500,62681,582511
2,COGS,- -,- -,- -,- -,60000,- -,- -,- -,3190,1610,820,2160,3020,12792,479099
3,Gross Profit,- -,- -,- -,- -,1630000,350000,- -,- -,-1280,3400,2030,1320,24480,49889,103412
4,Gross Profit Ratio,- -,- -,- -,- -,0.9645,1.0000,- -,- -,-0.6702,0.6786,0.7123,0.3793,0.8902,0.7959,0.1775
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,10990,25110,74970,27690,561990,794750
6,General and Administrative Exp.,20000,90000,1540000,10000,1950000,2490000,830000,310000,569650,1034580,861190,1126170,1039960,1337479,911913
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20000,90000,1540000,10000,1950000,2490000,830000,310000,569650,1034580,861190,1126170,1039960,1337479,911913
9,Other Expenses,-2739,1548,-2306,450721,719726,847269,29879,17105,3,4,-5,-4,-4,- -,701095
10,Operating Expenses,17261,91548,1537694,460721,2669726,3337269,859879,327105,569653,1045574,886295,1201136,1067646,1899469,2407758
11,COGS and Expenses,20000,90000,1540000,10000,2730000,2390000,850000,540000,572850,1047180,887120,1203290,1070660,1912261,2886857
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,8728,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,360,36,10147,9375,5550,20286,53436,241752,350743,302481,611794
14,Depreciation and Amortization,- -,- -,- -,- -,227187,186320,23320,21132,- -,- -,- -,- -,6591,6980,480
15,EBITDA,-20000,-90000,-1540000,-10000,-742453,-623644,-830000,-520000,-580890,-1042174,-942034,-1625158,-1339986,-1890440,-2348371
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.4393,-1.7818,-Infinity,-Infinity,-304.1309,-208.0188,-330.5382,-466.9994,-48.7268,-30.1597,-4.0315
17,Operating Income,-17261,- -,- -,-460721,-1041743,-1225763,-560118,-327105,-570935,-1042171,-884267,-1199809,-1043166,-1849580,-2304346
18,Operating Income ratio,-Infinity,- -,- -,-Infinity,-0.6164,-3.5022,-Infinity,-Infinity,-298.9188,-208.0182,-310.2691,-344.7727,-37.9333,-29.5078,-3.9559
19,Total Other Income Expenses (Gains),-2739,- -,- -,450721,71743,-784237,-279882,-212895,-1685,-20289,-111203,-667101,-654154,-350321,-656299
20,Income Before Tax,-20000,-90000,-1540000,-10000,-970000,-2010000,-840000,-540000,-572620,-1062460,-995470,-1866910,-1697320,-2199901,-2960645
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.5740,-5.7429,-Infinity,-Infinity,-299.8010,-212.0679,-349.2877,-536.4684,-61.7207,-35.0968,-5.0826
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800
23,Net Income,-20000,-90000,-1540000,-10000,-970000,-810000,-550000,-290000,-586440,-1062460,-995470,-1866910,-1697320,-2199901,-2961445
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.5740,-2.3143,-Infinity,-Infinity,-307.0366,-212.0679,-349.2877,-536.4684,-61.7207,-35.0968,-5.0839
25,EPS,-0.00,-0.01,-0.10,-0.02,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.00,-0.01,-0.10,-0.02,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,5622768,6714740,15206616,24866164,237765109,81466400,86534071,196385920,461967123,668115789,778150315,896851647,1284150496,1911855232,1911855232
28,Weighted Average Shares Outstanding Diluted,5622768,6714740,15206616,24866164,237765109,81466400,86534071,196385920,461967123,668115789,778150315,896851647,1284150496,1911855232,1911855232
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1419051/000109690608000720/0001096906-08-000720-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419051/000107878213000576/0001078782-13-000576-index.html,https://www.sec.gov/Archives/edgar/data/1419051/000107878216002693/0001078782-16-002693-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878216002992/0001078782-16-002992-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878216003690/0001078782-16-003690-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878217000832/0001078782-17-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878218000437/0001078782-18-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878219000334/0001078782-19-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878220000363/0001078782-20-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878221000328/0001078782-21-000328-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000149315222008511/0001493152-22-008511-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50000,- -,- -,- -,90000,40000,10000,- -,2180,21910,30,22400,26410,252147,94036
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,50000,- -,- -,- -,90000,40000,10000,- -,2180,21910,30,22400,26410,252147,94036
34,Net Receivables,- -,- -,- -,- -,37416,16358,- -,- -,2180,- -,- -,- -,2900,2441,16613
35,Inventory,- -,- -,- -,- -,50000,30000,- -,- -,29680,36440,1520,- -,5180,5399,39817
36,Other Current Assets,- -,10000,310000,- -,482584,13642,120000,190000,213450,14300,1050,113520,105190,87530,- -
37,Total Current Assets,50000,10000,310000,- -,660000,100000,130000,190000,247490,72650,2600,135920,139680,347517,150466
38,PP&E,- -,- -,- -,- -,10000,90000,70000,- -,- -,- -,- -,- -,- -,64035,318208
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,2780000,- -,- -,- -,- -,- -,- -,- -,- -,140370,- -
41,Intangible Assets,- -,- -,- -,- -,2780000,- -,- -,- -,- -,- -,- -,- -,- -,140370,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,10000,10000,10000,10000,12470,32230,23930,71010,171320,51552,- -
45,Total Non-Current Assets,- -,- -,- -,- -,2800000,100000,80000,10000,12470,32230,23930,71010,171320,255957,318208
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1883517
47,Total Assets,50000,10000,310000,- -,3460000,200000,210000,200000,259960,104880,26530,206930,311000,603474,1715775
48,Accounts Payable,10000,- -,10000,- -,110000,280000,300000,290000,277340,327590,343810,320810,324940,309687,394035
49,Short-Term Debt,- -,6800,- -,- -,- -,- -,- -,- -,- -,221451,456660,504271,981622,1006228,29445
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3200,- -,10000,3050000,50000,490000,40000,211650,135169,540410,1192319,1039488,1031474,2072935
53,Total Current Liabilities,10000,10000,10000,10000,3160000,330000,790000,330000,488990,684210,1340880,2017400,2346050,2347389,2496415
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,75500,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -,- -,34184,24342
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,60000,- -,- -,- -,75500,- -,- -,- -,34184,24342
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5619,58976,- -
61,Total Liabilities,10000,10000,10000,10000,3160000,390000,790000,330000,488990,759710,1340880,2017400,2346050,2381573,2520757
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,70000,10000,30000,30000,310000,310000,90000,400000,541000,740250,806500,1011060,1614630,2233742,2311125
64,Retained Earnings,-20000,-110000,-1650000,-10000,-980000,-1780000,-2340000,-2620000,-3210740,-4273190,-5268670,-7135580,-8832900,-11032801,-13994246
65,Other Comprehensive Income/Loss,-17261,- -,- -,- -,- -,- -,-40000,-20000,- -,- -,- -,- -,- -,-16350,- -
66,Other Total Stockholders Equity,15750,105621,1920255,-47966,972383,1277103,1714645,2108712,2440712,2878108,3147816,4314052,5183226,7037310,10878139
67,Total Stockholders Equity,48489,5621,300255,-27966,302383,-192897,-575355,-131288,-229028,-654832,-1314354,-1810468,-2035044,-1778099,-804982
