,https://roic.ai/company/THMG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,100000,62500,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60150000,53203,- -,- -,- -,- -,- -,1954400,550000,800000
2,COGS,- -,- -,- -,- -,24781,134572,74614,65767,43793,83695,23042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2849
3,Gross Profit,- -,- -,- -,- -,-24780,-134572,-74614,-65767,-43793,-83695,-23042,- -,- -,- -,- -,- -,- -,60150000,53203,- -,- -,- -,- -,- -,1954400,550000,797151
4,Gross Profit Ratio,- -,- -,- -,- -,-24780.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,1.0000,1.0000,- -,- -,- -,- -,- -,1.0000,1.0000,0.9964
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256066,- -,65024,- -,166280,- -,193070,205810,26770,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114645,495573,194351,1176374,477538,365128,392982,716958,812258,423857,353554,636212,614414,514291
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,60841,34023,25903,15311,12768,8206,201421,282776,507759,586223,495573,815783,1176374,477538,365128,392982,716958,812258,423857,353554,636212,614414,514291
9,Other Expenses,- -,68816,69839,- -,4145,1830,114,69,69,33,9887,10099,13715,468748,120955,528668,12258,147048,109,19905,-5,213574,70248,4,3,32268,9842
10,Operating Expenses,- -,68816,69839,- -,64986,35853,26017,15380,12837,8239,211308,292875,521474,1054971,616528,1344451,1444698,624586,430261,412887,883233,1025832,687175,559368,662985,646682,524133
11,COGS and Expenses,- -,68816,69839,- -,89767,170425,100631,81147,56630,91934,234350,- -,- -,- -,- -,- -,1444698,- -,415261,412887,951960,1025832,688200,607790,695300,646682,526982
12,Interest Income ,- -,- -,- -,- -,- -,16198,438,106,99,8,15340,37462,27277,8032,74,177,54,10,762,- -,- -,- -,1200,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13807,- -,- -,- -,4331,64420,192178,153359,10925,6808,71337,17723,23672,28739,21290,15189,634
14,Depreciation and Amortization,- -,4470,6757,- -,4145,1830,114,69,69,33,9887,10099,67115,20021,22315,12427,12258,8557,109,110,11565,15047,70251,48425,32310,20956,2849
15,EBITDA,- -,4470,6757,- -,41195,-220220,-78928,-67780,-22226,-91901,-2817287,-306681000,-591009000,-1047963000,-598470000,-1639095000,-123484,321304916,146825,-419585,-940395,-1023267,-617950,-559360,1135680,1257826,-568313
16,EBITDA ratio,- -,0.0447,0.1081,- -,41195.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.3417,2.7597,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.5811,2.2870,-0.7104
17,Operating Income,- -,31184,- -,- -,- -,170425,100631,81147,56630,91934,234350,316780,604724,- -,616528,- -,- -,561621,362058,412887,883233,1025832,- -,- -,- -,96682,273018
18,Operating Income ratio,- -,0.3118,- -,- -,- -,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,- -,Infinity,- -,- -,0.0093,6.8052,Infinity,Infinity,Infinity,- -,- -,- -,0.1758,0.3413
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,119163,51625,-222413,-175486,-147496,-183860,2125657,-279634780,-578051724,- -,-621401528,- -,- -,320581379,-226267,-832582,-1900873,-2064149,-22510,-24900,-172020,1124999,-839814
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-121782,-94339,-90866,-91926,2360007,-279318000,-577447000,-1047983000,-620785000,-1651522000,-298397,321143000,135791,-419695,-1017640,-1038317,-710710,-632690,1087080,1221681,-566796
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.3390,2.5523,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.5562,2.2212,-0.7085
22,Income Tax expense (Gain),- -,-83029,-17250,- -,- -,- -,- -,- -,- -,- -,503514,107439000,184738000,- -,59841000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,83029,17250,- -,37050,-102602,-121782,-94339,-90866,-91926,1856493,-171879000,-392709000,-1047983000,-560944000,-1651522000,-298397,321143000,135791,-419695,-1017640,-1038317,-711120,-637690,1082080,1221681,-571796
24,Net Income ratio,- -,0.8303,0.2760,- -,37050.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.3390,2.5523,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.5537,2.2212,-0.7147
25,EPS,- -,0.01,0.00,- -,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,0.20,-0.02,-0.04,-0.08,-0.04,-0.08,-0.01,0.01,0.00,-0.01,-0.02,-0.02,-0.01,-0.01,0.02,0.02,-0.01
