,https://roic.ai/company/AMSWA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,38300000,46700000,54200000,71600000,91100000,101900000,113100000,106800000,94200000,79500000,77600000,84700000,107500000,109200000,105500000,88700000,64600000,59300000,54700000,64500000,76600000,84400000,89000000,78000000,75300000,85600000,102600000,100500000,100600000,102873000,113889000,106286000,112703000,108706000,115466000,111408000
2,COGS,11700000,12500000,16100000,23300000,29200000,35500000,40800000,50100000,45600000,50300000,55900000,47200000,49300000,63900000,60900000,55200000,26600000,28300000,25700000,32600000,36800000,38600000,43000000,35100000,33000000,40200000,45800000,45600000,43700000,50459000,54229000,51084000,50000000,51966000,52308000,50428000
3,Gross Profit,26600000,34200000,38100000,48300000,61900000,66400000,72300000,56700000,48600000,29200000,21700000,37500000,58200000,45300000,44600000,33500000,38000000,31000000,29000000,31900000,39800000,45800000,46000000,42900000,42300000,45400000,56800000,54900000,56900000,52414000,59660000,55202000,62703000,56740000,63158000,60980000
4,Gross Profit Ratio,0.6945,0.7323,0.7030,0.6746,0.6795,0.6516,0.6393,0.5309,0.5159,0.3673,0.2796,0.4427,0.5414,0.4148,0.4227,0.3777,0.5882,0.5228,0.5302,0.4946,0.5196,0.5427,0.5169,0.5500,0.5618,0.5304,0.5536,0.5463,0.5656,0.5095,0.5238,0.5194,0.5564,0.5220,0.5470,0.5474
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,3400000,2300000,12100000,11500000,9700000,11600000,7200000,5100000,4200000,4900000,6700000,7600000,7500000,7200000,6700000,7400000,8200000,8900000,9100000,11088000,11248000,11889000,11877000,13078000,15348000,16964000
6,General and Administrative Exp.,17300000,18700000,22100000,26000000,33300000,39000000,41800000,44700000,50600000,37500000,33600000,33600000,37400000,45200000,37700000,37800000,25700000,- -,- -,- -,- -,- -,- -,13231000,12841000,12419000,13070000,11911000,12401000,12923000,12449000,14219000,16057000,17006000,19519000,19139000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11636000,11459000,12344000,18000,17000,18000,14979000,20000,18000,18797000,19829000,20414000,18667000,22164000,20287000,20658000,20992000,21958000,20304000
8,"Selling, General and Administrative Exp.",17300000,18700000,22100000,26000000,33300000,39000000,41800000,44700000,50600000,42700000,37000000,33551000,37445000,45166000,37735000,37770000,25651000,21337000,20718000,23504000,26779000,27853000,28853000,28210000,12861000,12437000,31867000,31740000,32815000,31590000,34613000,34506000,36715000,37998000,41477000,39443000
9,Other Expenses,1600000,1800000,2000000,2600000,4400000,5400000,7300000,8800000,12200000,6500000,8800000,- -,12000,26574000,-25000,10482000,9000,16000,3000,252000,359000,287000,325000,300000,15442000,16374000,561000,483000,446000,394000,272000,1041000,580000,388000,285000,212000
10,Operating Expenses,18900000,20500000,24100000,28600000,37700000,44400000,49100000,53500000,62800000,54400000,49200000,35851000,49557000,83240000,47410000,59852000,32860000,26453000,24921000,28656000,33838000,35740000,36678000,35710000,35003000,36211000,40628000,41123000,42361000,43072000,46133000,47436000,49172000,51464000,57110000,56619000
11,COGS and Expenses,30600000,33000000,40200000,51900000,66900000,79900000,89900000,103600000,108400000,93100000,92900000,83000000,98800000,147200000,108300000,115000000,59500000,54800000,51100000,62100000,70900000,74300000,80900000,70800000,68000000,76400000,86500000,86700000,86100000,93531000,100362000,98520000,99172000,103430000,109418000,107047000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798000,1473000,1421000,1288000,1140000,935000,1229000,1346000,1257000,1575000,2092000,1524000,409000
