,https://roic.ai/company/CHNG,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,196792000,3090421000
2,COGS,- -,- -,- -,84066000,1531607000
3,Gross Profit,- -,- -,- -,112726000,1558814000
4,Gross Profit Ratio,- -,- -,- -,0.5728,0.5044
5,Research and Development Exp.,- -,- -,- -,11559000,227036000
6,General and Administrative Exp.,- -,180000,1159000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,39893000,- -
8,"Selling, General and Administrative Exp.",- -,180000,1159000,39893000,- -
9,Other Expenses,- -,- -,- -,195471000,1277693000
10,Operating Expenses,- -,- -,- -,246923000,1504729000
11,COGS and Expenses,- -,180000,1159000,330989000,3036336000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,16652000,245241000
14,Depreciation and Amortization,- -,- -,- -,30838000,592374000
15,EBITDA,- -,-180000,-1159000,-1043361000,690218000
16,EBITDA ratio,- -,-Infinity,-Infinity,-5.3018,0.2233
17,Operating Income,- -,-180000,-1159000,-711184000,100070000
18,Operating Income ratio,- -,-Infinity,-Infinity,-3.6139,0.0324
19,Total Other Income Expenses (Gains),- -,-58486000,-69448000,-379667000,-247467000
20,Income Before Tax,- -,-58666000,-70607000,-1090851000,-147397000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-5.5432,-0.0477
22,Income Tax expense (Gain),- -,-119621000,-18595000,-143254000,-35187000
23,Net Income,- -,60955000,-52012000,-947597000,-112210000
24,Net Income ratio,- -,Infinity,-Infinity,-4.8152,-0.0363
25,EPS,- -,0.52,-0.44,-6.92,-0.35
26,EPS Diluted,- -,0.52,-0.44,-6.92,-0.35
27,Weighted Average Shares Outstanding,- -,118331796,118331796,136996624,320771789
28,Weighted Average Shares Outstanding Diluted,- -,118331796,118331796,136996624,320771789
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1756497/000119312520160834/0001193125-20-160834-index.htm,https://www.sec.gov/Archives/edgar/data/1756497/000119312521229164/0001193125-21-229164-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,- -,3409000,410405000,113101000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3409000,410405000,113101000
34,Net Receivables,825000,16129000,2154000,873281000,865470000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,117495000,140258000
37,Total Current Assets,825000,16129000,5563000,1401181000,1118829000
38,PP&E,- -,- -,- -,206196000,267782000
39,Goodwill,- -,- -,- -,3795325000,4108792000
40,Intangible Assets,- -,- -,- -,4365806000,4187073000
41,Intangible Assets,- -,- -,- -,8161131000,8295865000
42,Investments,1348817000,1298759000,1211996000,146500000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,39724000,59116000,81264000,192372000,430141000
45,Total Non-Current Assets,1388541000,1357875000,1293260000,8706199000,8993788000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1389366000,1374004000,1298823000,10107380000,10112617000
48,Accounts Payable,- -,- -,- -,68169000,57449000
49,Short-Term Debt,- -,- -,- -,278779000,57947000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,349799000,542745000
52,Other Current Liabilities,825000,16129000,6343000,363042000,388980000
53,Total Current Liabilities,825000,16129000,6343000,1059789000,1047121000
54,Long-Term Debt,- -,- -,- -,4710294000,4734775000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300301000,181303000,159993000,615904000,605291000
57,Other Non-Current Liabilities,- -,- -,- -,435946000,473201000
58,Total Non-Current Liabilities,300301000,181303000,159993000,5762144000,5813267000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,106004000
61,Total Liabilities,301126000,197432000,166336000,6821933000,6860388000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,303000,307000
64,Retained Earnings,-26294000,34661000,-17841000,-930064000,-1042691000
65,Other Comprehensive Income/Loss,-312000,2536000,-3256000,-7372000,11221000
66,Other Total Stockholders Equity,1114845000,1139374000,1153583000,4222580000,4283391000
67,Total Stockholders Equity,1088240000,1176572000,1132487000,3285447000,3252228000
68,Total Liabilities And Stockholders Equity,1389366000,1374004000,1298823000,10107380000,10112616000
69,Minority Interest,- -,- -,- -,- -,1000
70,Total Liabilities & Equity,1389366000,1374004000,1298823000,10107380000,10112617000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1756497/000119312520160834/0001193125-20-160834-index.htm,https://www.sec.gov/Archives/edgar/data/1756497/000119312521229164/0001193125-21-229164-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,60955000,-52012000,-947597000,-112210000
74,Depreciation and Amortization,- -,- -,- -,30838000,592374000
75,Deferred Income Tax,- -,-119621000,-18595000,20811000,-50114000
76,Stock Based Compensation,- -,- -,- -,1701000,59016000
77,Change in Working Capital,- -,- -,-780000,342172000,-269684000
78,Accounts Receivable,- -,- -,- -,-21211000,-6064000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,7532000,-21407000
81,Other Working Capital,- -,- -,-780000,341392000,71708000
82,Other Non-Cash Items,- -,58666000,74795000,398147000,366814000
83,Cash Provided by Operating Activities,- -,- -,3408000,-153928000,586196000
84,CAPEX,- -,- -,- -,-13002000,-246381000
85,Acquisitions Net,- -,171000,6503000,-280117000,-323750000
86,Purchases of Investments,- -,- -,- -,-278875000,- -
87,Sales/Maturities of Investments,- -,- -,- -,7332000,- -
88,Other Investing Activites,- -,- -,- -,-13002000,-244282000
89,Cash Used for Investing Activites,- -,171000,6503000,-564662000,-568032000
90,Debt Repayment,- -,- -,- -,-11094000,-565000000
91,Common Stock Issued,- -,- -,- -,841608000,- -
92,Common Stock Repurchased,- -,-171000,-6502000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,295056000,270663000
95,Cash Used/Provided by Financing Activities,- -,-171000,-6502000,1125570000,-294337000
96,Effect of Forex Changes on Cash,- -,- -,- -,16000,3310000
97,Net Change In Cash,- -,- -,- -,406996000,-297304000
98,Cash at the End of Period,- -,- -,3409000,410405000,113101000
99,Cash at the Beginning of Period,- -,- -,- -,3409000,410405000
100,Free Cash Flow,- -,- -,3408000,-166930000,339815000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1756497/000119312520160834/0001193125-20-160834-index.htm,https://www.sec.gov/Archives/edgar/data/1756497/000119312521229164/0001193125-21-229164-index.htm
102,false,,,,,
