,https://roic.ai/company/IPTK,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,36119,- -,- -,286103,50100,25072,62149,32298,- -,300000,- -,34623,- -,- -,7768,76237,33700,164440,170650,67810,81670,36205,73837
2,COGS,18493,- -,- -,49184,186,7578,5651,- -,- -,- -,- -,- -,- -,- -,2717,30879,19740,60820,60710,16100,30570,- -,- -
3,Gross Profit,17626,- -,- -,236919,49914,17494,56498,32298,- -,300000,- -,34623,- -,- -,5051,45358,13960,103620,109940,51710,51100,- -,- -
4,Gross Profit Ratio,0.4880,- -,- -,0.8281,0.9963,0.6978,0.9091,1.0000,- -,1.0000,- -,1.0000,- -,- -,0.6502,0.5950,0.4142,0.6301,0.6442,0.7626,0.6257,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34570,14300,192000,179640,- -,- -
6,General and Administrative Exp.,11511,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495206,477395,420732,396560,389225
7,Selling and Marketing Exp.,25119,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216065,331000
8,"Selling, General and Administrative Exp.",36630,482498,482498,645348,944955,1502593,759933,1549089,762604,325603,226902,228181,47148,120814,68106,114288,167380,377391,697423,744630,598203,612625,720225
9,Other Expenses,316611,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25430,-14300,-192000,-179640,41216,13737
10,Operating Expenses,353241,482498,482498,645348,944955,1502593,759933,1549089,- -,325603,- -,228181,- -,120814,68106,114288,167380,437391,697423,744630,598203,653841,733962
11,COGS and Expenses,371734,482498,482498,694532,945141,1510171,765584,1549089,762604,325603,226902,228181,47148,- -,70823,145167,187140,440240,868130,979290,669990,653841,733962
12,Interest Income ,- -,- -,- -,- -,- -,14,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1851,- -,- -,16,54,868,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29662,95381,151422,- -,- -
14,Depreciation and Amortization,128127,130296,130296,55695,20414,1731,2600,4944,2658,- -,- -,- -,- -,- -,- -,- -,4614,60000,90000,90000,41216,41216,13737
15,EBITDA,-207488,-352202,-352202,-352734,-874616,-1486815,-700835,-1511847,-759946,-25603,-226902,-193558,-47148,-120814,-63055,-68930,-148826,-273770,-753308,-821489,-559942,-723968,-1357091
16,EBITDA ratio,-5.7446,-Infinity,-Infinity,-1.2329,-17.4574,-59.3018,-11.2767,-46.8093,-Infinity,-0.0853,-Infinity,-5.5904,-Infinity,-Infinity,-8.1173,-0.9042,-4.4162,-1.6649,-4.4143,-12.1146,-6.8562,-19.9964,-18.3796
17,Operating Income,-335615,-482498,-482498,-408429,-895041,-1485099,-703435,-1516791,-762604,-25603,-226902,-193558,-47148,-120814,-63055,-68930,-153413,-333773,-677486,-782922,-588320,-617636,-660125
18,Operating Income ratio,-9.2919,-Infinity,-Infinity,-1.4276,-17.8651,-59.2334,-11.3185,-46.9624,-Infinity,-0.0853,-Infinity,-5.5904,-Infinity,-Infinity,-8.1173,-0.9042,-4.5523,-2.0298,-3.9700,-11.5458,-7.2036,-17.0594,-8.9403
19,Total Other Income Expenses (Gains),- -,-1851,- -,- -,11,-3463,-54,-868,23,- -,- -,- -,- -,- -,- -,- -,-27,3,-195484,-223948,-164260,-147548,-710703
20,Income Before Tax,- -,-484349,- -,- -,-895030,-1488562,-703489,-1517659,-762581,-25603,-226902,-193558,- -,-120814,-63055,-68930,-153440,-333770,-872970,-1006870,-752580,-765184,-1370828
21,Income Before Tax Ratio,- -,-Infinity,- -,- -,-17.8649,-59.3715,-11.3194,-46.9893,-Infinity,-0.0853,-Infinity,-5.5904,- -,-Infinity,-8.1173,-0.9042,-4.5531,-2.0297,-5.1156,-14.8484,-9.2149,-21.1348,-18.5656
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-335615,-484349,-484349,-408429,-895030,-1488562,-703489,-1517659,-762581,-25603,-226902,-193558,-47148,-120814,-63055,-68930,-153440,-333770,-872970,-1006870,-752580,-765184,-1370828
24,Net Income ratio,-9.2919,-Infinity,-Infinity,-1.4276,-17.8649,-59.3715,-11.3194,-46.9893,-Infinity,-0.0853,-Infinity,-5.5904,-Infinity,-Infinity,-8.1173,-0.9042,-4.5531,-2.0297,-5.1156,-14.8484,-9.2149,-21.1348,-18.5656
25,EPS,-0.06,-0.08,-0.04,-0.04,-0.08,-0.12,-0.05,-0.08,-0.02,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.01
26,EPS Diluted,-0.06,-0.08,-0.04,-0.04,-0.08,-0.12,-0.05,-0.08,-0.02,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.01
27,Weighted Average Shares Outstanding,5754337,5924420,6244587,9831126,11285136,12286564,13874777,18863472,32639509,57293809,61634081,73900987,71263280,74361498,77277481,83595690,87767904,112198343,141102631,161095652,171760747,182112766,227804417
28,Weighted Average Shares Outstanding Diluted,5754337,5924420,6244587,9831126,11285136,12286564,13874777,18863472,32639509,57293809,61634081,73900987,71263280,74361498,77277481,83595690,87767904,112198343,141102631,161095652,171760747,182112766,227804417
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067873/000139390513000536/0001393905-13-000536-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390514000541/0001393905-14-000541-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390515000528/0001393905-15-000528-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390516001063/0001393905-16-001063-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1067873/000139390519000298/0001393905-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390520000023/0001393905-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390521000232/0001393905-21-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390521000451/0001393905-21-000451-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,30000,110000,- -,10000,- -,- -,10000,- -,- -,40000,10000,220,64290,56570,40460,190,8958,157601
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,30000,110000,- -,10000,- -,- -,10000,- -,- -,40000,10000,220,64290,56570,40460,190,8958,157601
34,Net Receivables,- -,- -,- -,- -,50000,- -,- -,- -,80000,200000,- -,- -,- -,- -,- -,10000,13440,5290,60870,- -,11960,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,50000,10000,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,10,2750,- -,10,- -,- -
37,Total Current Assets,- -,- -,- -,- -,100000,40000,680000,- -,80000,200000,- -,10000,- -,- -,40000,20000,13660,69590,120190,40460,12160,8958,157601
38,PP&E,- -,- -,- -,- -,890000,700000,90000,630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
