,https://roic.ai/company/RNA,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,379000,2319000,6787000,9326000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,6787000,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -
5,Research and Development Exp.,8436000,14539000,37602000,101182000
6,General and Administrative Exp.,2441000,5112000,13462000,26195000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2441000,5112000,13462000,26195000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,10877000,19651000,51064000,127377000
11,COGS and Expenses,10877000,19651000,51064000,- -
12,Interest Income ,- -,- -,206000,104000
13,Interest Expense (Gain),718000,7387000,209000,- -
14,Depreciation and Amortization,383000,348000,373000,639000
15,EBITDA,-10115000,-16999000,-43773000,-117370000
16,EBITDA ratio,-26.6887,-7.3303,-6.4495,-12.5852
17,Operating Income,-10498000,-17332000,-44277000,-118051000
18,Operating Income ratio,-27.6992,-7.4739,-6.5238,-12.6583
19,Total Other Income Expenses (Gains),-718000,-7402000,-78000,42000
20,Income Before Tax,-11216000,-24734000,-44355000,-118009000
21,Income Before Tax Ratio,-29.5937,-10.6658,-6.5353,-12.6538
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-11216000,-24734000,-44355000,-118009000
24,Net Income ratio,-29.5937,-10.6658,-6.5353,-12.6538
25,EPS,-0.54,-1.44,-2.05,-2.73
26,EPS Diluted,-0.54,-1.44,-2.05,-2.73
27,Weighted Average Shares Outstanding,20681971,12431662,21663000,43265000
28,Weighted Average Shares Outstanding Diluted,20681971,12431662,21663000,43265000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1599901/000156459021013157/0001564590-21-013157-index.htm,https://www.sec.gov/Archives/edgar/data/1599901/000156459022008049/0001564590-22-008049-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,3090000,94578000,321462000,320448000
32,Short-Term Investments,- -,- -,6679000,85095000
33,Cash and Short-Term Investments,3090000,94578000,328141000,405543000
34,Net Receivables,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,152000,1098000,3537000,5598000
37,Total Current Assets,3242000,95676000,331678000,411141000
38,PP&E,702000,631000,1468000,15589000
39,Goodwill,- -,- -,- -,- -
