,https://roic.ai/company/VTVT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,976000,1549000,519000,634000,291000,12434000,2764000,6414000,4005
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,976000,1549000,519000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,25434000,18729000,29584000,45748000,39640000,23035000,15119000,11015000,13324
6,General and Administrative Exp.,11375000,11717000,9077000,9906000,11333000,9223000,8537000,7251000,12343
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11375000,11717000,9077000,9906000,11333000,9223000,8537000,7251000,12343
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,36809000,30446000,38661000,55654000,50973000,32258000,23656000,18266000,25667
11,COGS and Expenses,36809000,30446000,38661000,55654000,50973000,32258000,23656000,18266000,- -
12,Interest Income ,- -,- -,- -,87000,117000,61000,53000,12000,1
13,Interest Expense (Gain),11822000,6009000,1735000,398000,3092000,3290000,1827000,692000,12
14,Depreciation and Amortization,1086000,864000,501000,265000,197000,218000,39000,94000,89
15,EBITDA,-35295000,-29228000,-25262000,-15689000,-12055000,-4203000,-11078000,-7713000,-12771
16,EBITDA ratio,-36.1629,-18.8689,-48.6744,-24.7461,-41.4261,-0.3380,-4.0080,-1.2025,-3.1888
17,Operating Income,-35833000,-28897000,-38142000,-55020000,-50682000,-19824000,-20892000,-11852000,- -
18,Operating Income ratio,-36.7141,-18.6553,-73.4913,-86.7823,-174.1649,-1.5943,-7.5586,-1.8478,- -
19,Total Other Income Expenses (Gains),-12370000,-7204000,-2965000,-333000,-3165000,-3821000,-946000,-950000,- -
20,Income Before Tax,-48203000,-36101000,-41107000,-55353000,-53847000,-23645000,-21838000,-12802000,-17616
21,Income Before Tax Ratio,-49.3883,-23.3060,-79.2042,-87.3076,-185.0412,-1.9016,-7.9009,-1.9959,-4.3985
22,Income Tax expense (Gain),- -,- -,- -,- -,800000,200000,100000,- -,115
23,Net Income,-48203000,-36101000,-27498000,-16352000,-16144000,-7911000,-13044000,-8499000,-12987
24,Net Income ratio,-49.3883,-23.3060,-52.9827,-25.7918,-55.4777,-0.6362,-4.7192,-1.3251,-3.2427
25,EPS,-1.47,-1.10,-3.32,-1.71,-1.67,-0.69,-0.59,-0.18,-0.00
26,EPS Diluted,-1.47,-1.10,-3.32,-1.71,-1.67,-0.69,-0.59,-0.18,-0.00
27,Weighted Average Shares Outstanding,32812500,32812500,8276520,9545527,9693254,12449236,30292030,47137917,47137917
28,Weighted Average Shares Outstanding Diluted,32812500,32812500,8276520,9545527,9693254,12449236,30292030,47137917,47137917
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1641489/000156459016014035/0001564590-16-014035-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459017002317/0001564590-17-002317-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459018003515/0001564590-18-003515-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459019004516/0001564590-19-004516-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459020005627/0001564590-20-005627-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459021008149/0001564590-21-008149-index.htm,https://www.sec.gov/Archives/edgar/data/1641489/000156459022012258/0001564590-22-012258-index.htm
