,https://roic.ai/company/OPTN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,85000,47500000,- -,7065000,34631000,49117000,74652000
2,COGS,- -,- -,- -,1588000,5294000,7520000,9151000
3,Gross Profit,- -,- -,- -,5477000,29337000,41597000,65501000
4,Gross Profit Ratio,- -,- -,- -,0.7752,0.8471,0.8469,0.8774
5,Research and Development Exp.,22156000,15311000,16832000,10099000,20783000,23378000,25318000
6,General and Administrative Exp.,- -,- -,31698000,95618000,104155000,105438000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,31698000,95618000,104155000,105438000,106633000
9,Other Expenses,- -,- -,-162000,-406000,- -,- -,- -
10,Operating Expenses,- -,- -,48368000,105311000,124938000,128816000,131951000
11,COGS and Expenses,27519000,21453000,48368000,106899000,130232000,136336000,141102000
12,Interest Income ,28000,143000,303000,2453000,2359000,426000,52000
13,Interest Expense (Gain),819000,3517000,910000,9229000,9623000,13008000,15973000
14,Depreciation and Amortization,75000,83000,164000,539000,1108000,1456000,646000
15,EBITDA,-27420000,26213000,-48204000,-96890000,-99322000,-85321000,-65677000
16,EBITDA ratio,-322.5882,0.5519,-Infinity,-13.7141,-2.8680,-1.7371,-0.8798
17,Operating Income,-28077000,25320000,-48530000,-100240000,-95601000,-87219000,-66450000
18,Operating Income ratio,-330.3176,0.5331,-Infinity,-14.1883,-2.7606,-1.7757,-0.8901
19,Total Other Income Expenses (Gains),-237000,-2707000,-372000,-6418000,-14452000,-12566000,-15846000
20,Income Before Tax,-28314000,22613000,-48902000,-106658000,-110053000,-99785000,-82296000
21,Income Before Tax Ratio,-333.1059,0.4761,-Infinity,-15.0967,-3.1779,-2.0316,-1.1024
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-28314000,22613000,-48902000,-106658000,-110053000,-99785000,-82296000
24,Net Income ratio,-333.1059,0.4761,-Infinity,-15.0967,-3.1779,-2.0316,-1.1024
25,EPS,-1.51,0.95,-5.63,-2.68,-2.63,-2.07,-1.45
26,EPS Diluted,-1.51,0.91,-5.63,-2.68,-2.63,-2.07,-1.45
27,Weighted Average Shares Outstanding,26716734,23910088,10999121,39765983,41877527,48275230,56851921
28,Weighted Average Shares Outstanding Diluted,26716734,24835953,10999121,39765983,41877527,48275230,56851921
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494650/000149465018000025/0001494650-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465019000020/0001494650-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465020000020/0001494650-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465021000010/0001494650-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1494650/000149465022000019/0001494650-22-000019-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,15198000,36797000,234854000,200990000,147144000,144156000,110502000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15198000,36797000,234854000,200990000,147144000,144156000,110502000
34,Net Receivables,448000,2422000,46000,2552000,13818000,23394000,35449000
35,Inventory,- -,- -,2013000,7132000,3484000,9042000,11847000
36,Other Current Assets,171000,1456000,1254000,2183000,3614000,4060000,2581000
37,Total Current Assets,15817000,40675000,238167000,212857000,168060000,180652000,160379000
38,PP&E,191000,323000,2564000,3884000,3052000,2028000,1347000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1000,553000,405000,248000,1538000,6133000,4345000
45,Total Non-Current Assets,192000,876000,2969000,4132000,4590000,8161000,5692000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16009000,41551000,241136000,216989000,172650000,188813000,166071000
48,Accounts Payable,3506000,3369000,5893000,7116000,3625000,5489000,8013000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2094000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,41000,- -,186000,160000,- -,- -,- -
52,Other Current Liabilities,3646000,2541000,8698000,18421000,32514000,46683000,49128000
53,Total Current Liabilities,7193000,5910000,14777000,25697000,36139000,52172000,59235000
54,Long-Term Debt,14480000,15256000,71863000,72500000,74531000,125202000,128608000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,21483000,24223000,- -,181000,397000,4651000,- -
58,Total Non-Current Liabilities,35963000,39479000,71863000,72681000,74928000,129853000,128608000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1135000,2108000,4284000
61,Total Liabilities,43156000,45389000,86640000,98378000,111067000,182025000,187843000
62,Preferred Stock,134245000,147359000,- -,- -,- -,- -,- -
63,Common Stock,4000,4000,38000,41000,46000,53000,82000
64,Retained Earnings,-161255000,-151102000,-211269000,-317927000,-427980000,-527765000,-610061000
65,Other Comprehensive Income/Loss,-292000,-374000,-355000,-1151000,-2247000,-85000,-81000
66,Other Total Stockholders Equity,151000,275000,366082000,437648000,491764000,534585000,- -
67,Total Stockholders Equity,-27147000,-3838000,154496000,118611000,61583000,6788000,-21772000
68,Total Liabilities And Stockholders Equity,16009000,41551000,241136000,216989000,172650000,188813000,166071000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16009000,41551000,241136000,216989000,172650000,188813000,166071000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494650/000149465018000025/0001494650-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465019000020/0001494650-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465020000020/0001494650-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465021000010/0001494650-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1494650/000149465022000019/0001494650-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-28314000,22613000,-48902000,-106658000,-110053000,-99785000,-82296000
74,Depreciation and Amortization,75000,83000,164000,539000,1108000,1456000,646000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,588000,599000,5096000,8543000,9860000,10349000,10003000
77,Change in Working Capital,-1258000,26141000,188625000,-36230000,-55239000,-3441000,-6783000
78,Accounts Receivable,- -,- -,- -,-2310000,-11333000,-10427000,-11823000
79,Inventory,- -,- -,-2013000,-4698000,3759000,-5428000,-2713000
80,Accounts Payable,450000,-130000,392000,3171000,-3856000,2196000,2564000
81,Other Working Capital,8624000,34765000,223390000,187160000,131921000,128480000,- -
82,Other Non-Cash Items,195000,-27716000,-180634000,41989000,63509000,5215000,1495000
83,Cash Provided by Operating Activities,-28714000,21720000,-35651000,-91817000,-90815000,-86206000,-76935000
84,CAPEX,-80000,-215000,-2406000,-1690000,-557000,-546000,-167000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,105000
89,Cash Used for Investing Activites,-80000,-215000,-2406000,-1690000,-557000,-546000,-62000
90,Debt Repayment,- -,- -,- -,- -,-80179000,-4447000,- -
91,Common Stock Issued,- -,- -,138000000,63969000,41438000,33600000,43140000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19123000,55000,98125000,-4390000,76270000,54657000,180000
95,Cash Used/Provided by Financing Activities,19123000,55000,236125000,59579000,37529000,83810000,43320000
96,Effect of Forex Changes on Cash,-14000,39000,-11000,64000,-3000,-44000,13000
97,Net Change In Cash,-9685000,21599000,198057000,-33864000,-53846000,-2986000,-33664000
98,Cash at the End of Period,15198000,36797000,234854000,201011000,147165000,144179000,110515000
99,Cash at the Beginning of Period,24883000,15198000,36797000,234875000,201011000,147165000,144179000
100,Free Cash Flow,-28794000,21505000,-38057000,-93507000,-91372000,-86752000,-77102000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494650/000149465018000025/0001494650-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465019000020/0001494650-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465020000020/0001494650-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1494650/000149465021000010/0001494650-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1494650/000149465022000019/0001494650-22-000019-index.htm
102,false,,,,,,,
