,https://roic.ai/company/IRT,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,5369,8668000,16629000,19943000,49203000,109576000,153388000,161216000,191232000,203223000,211906000,250252000
2,COGS,- -,- -,4477000,8066000,9429000,23427000,49955000,67995000,70722000,83326000,87294000,91472000,102791000
3,Gross Profit,- -,5369,4191000,8563000,10514000,25776000,59621000,85393000,90494000,107906000,115929000,120434000,147461000
4,Gross Profit Ratio,- -,1.0000,0.4835,0.5149,0.5272,0.5239,0.5441,0.5567,0.5613,0.5643,0.5705,0.5683,0.5893
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,575000,1208000,920000,2873000,7790000,10864000,9526000,10817000,12745000,15095000,18610000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,440,575000,1208000,920000,2873000,7790000,10864000,9526000,10817000,12745000,15095000,18610000
9,Other Expenses,- -,- -,1771000,3466000,4413000,12520000,28094000,34824000,34201000,45221000,52815000,60687000,76909000
10,Operating Expenses,- -,440,2346000,4674000,5333000,15393000,35884000,45688000,43727000,56038000,65560000,75782000,95519000
11,COGS and Expenses,- -,440,6823000,12740000,14762000,38820000,85839000,113683000,114449000,139364000,152854000,167254000,198310000
12,Interest Income ,- -,- -,- -,- -,- -,17000,19000,-4000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1727000,3305000,3659000,8496000,23553000,35539000,28702000,36006000,39226000,36488000,36401000
14,Depreciation and Amortization,- -,- -,1771000,3466000,4413000,12520000,28094000,34824000,34201000,45221000,52815000,60687000,76487000
15,EBITDA,- -,4929,3386000,6663000,8697000,23956000,79889000,60562000,93109000,107515000,137937000,111943000,157477000
16,EBITDA ratio,- -,0.9180,0.3906,0.4007,0.4361,0.4869,0.7291,0.3948,0.5775,0.5622,0.6787,0.5283,0.6293
17,Operating Income,- -,4929,1357000,3732000,4933000,8541000,10182000,39662000,45425000,51822000,50369000,44652000,146667000
18,Operating Income ratio,- -,0.9180,0.1566,0.2244,0.2474,0.1736,0.0929,0.2586,0.2818,0.2710,0.2479,0.2107,0.5861
19,Total Other Income Expenses (Gains),- -,- -,-1727000,-3305000,-3659000,-5597000,19974000,-49217000,-13984000,-25212000,-4015000,-29775000,-101138000
20,Income Before Tax,- -,4929,-370000,427000,1274000,2944000,30156000,-9555000,31441000,26610000,46354000,14877000,45529000
21,Income Before Tax Ratio,- -,0.9180,-0.0427,0.0257,0.0639,0.0598,0.2752,-0.0623,0.1950,0.1392,0.2281,0.0702,0.1819
22,Income Tax expense (Gain),- -,1203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,3726,-112000,-108000,625000,2940000,28242000,-9801000,30206000,26288000,45896000,14768000,44589000
24,Net Income ratio,- -,0.6940,-0.0129,-0.0065,0.0313,0.0598,0.2577,-0.0639,0.1874,0.1375,0.2258,0.0697,0.1782
25,EPS,- -,0.00,-0.01,-0.01,0.12,0.14,0.78,-0.19,0.41,0.30,0.51,0.16,0.47
26,EPS Diluted,- -,0.00,-0.01,-0.01,0.12,0.14,0.78,-0.19,0.41,0.30,0.51,0.16,0.46
27,Weighted Average Shares Outstanding,- -,9643540,9643540,9643540,5330814,21315928,36153673,52182427,73338219,87086585,89799238,93660086,104918674
28,Weighted Average Shares Outstanding Diluted,- -,9643540,9643540,9643540,5330814,21532671,36160274,52182427,73599869,87376991,90417486,94688440,107668675
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1466085/000119312512106907/0001193125-12-106907-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312513105454/0001193125-13-105454-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312514093942/d653077d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000119312515094016/d846890d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459016014497/0001564590-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459017003316/0001564590-17-003316-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459018002993/0001564590-18-002993-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459019003914/0001564590-19-003914-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459020005043/0001564590-20-005043-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459021006672/0001564590-21-006672-index.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459022006764/0001564590-22-006764-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,205667,209425,1107000,2533000,3334000,14763000,38301000,20892000,9985000,9316000,9888000,8751000,35972000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,205667,209425,1107000,2533000,3334000,14763000,38301000,20892000,9985000,9316000,9888000,8751000,35972000
34,Net Receivables,- -,- -,543000,345000,1731000,2270000,3362000,5211000,7556000,8802000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1072000,1150000,1122000,5206000,5413000,66304000,4634000,84014000,4545000,4864000,91259000
37,Total Current Assets,205667,209425,2722000,4028000,6187000,22239000,47076000,92407000,22175000,102132000,14433000,13615000,127231000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,274000,517000,3251000,3735000,118000,1099000,744000,410000,792000,53269000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24999000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,128630000,141895000,175167000,668660000,1341603000,1201712000,1427350000,1556460000,1649263000,1720490000,6301197000
45,Total Non-Current Assets,- -,- -,128630000,142169000,175684000,671911000,1345338000,1201830000,1428449000,1557204000,1649673000,1721282000,6379465000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,205667,209425,131352000,146197000,181871000,694150000,1392414000,1294237000,1450624000,1659336000,1664106000,1734897000,6506696000
48,Accounts Payable,- -,- -,- -,1986000,2374000,8353000,19304000,14028000,17216000,22815000,25399000,25416000,106332000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,635128000
50,Tax Payable,731,1203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2471,2503,1529000,531000,578000,2031000,4245000,4788000,5494000,16881000,18687000,14233000,23967000
53,Total Current Liabilities,2471,2503,1529000,2517000,2952000,10384000,23549000,18816000,22710000,39696000,44086000,39649000,765427000
54,Long-Term Debt,- -,- -,82175000,92413000,103303000,418901000,975837000,743817000,778442000,985488000,985572000,945686000,2070208000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,590000,416000,708000,1831000,2998000,2913000,3353000,4107000,14691000,36791000,28985000
58,Total Non-Current Liabilities,- -,- -,82765000,92829000,104011000,420732000,978835000,746730000,781795000,989595000,1000263000,982477000,2099193000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2471,2503,84294000,95346000,106963000,431116000,1002384000,765546000,804505000,1029291000,1044349000,1022126000,2864620000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,200,200,- -,3000,96000,318000,471000,690000,846000,892000,911000,1018000,2208000
64,Retained Earnings,1196,4922,-113000,-401000,-3300000,-16728000,-14500000,-62181000,-85221000,-122342000,-141525000,-178751000,-188410000
