,https://roic.ai/company/CDXS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,12127000,25333000,50478000,82908000,107104000,123865000,88298000,31922000,35307000,41804000,48837000,50024000,60594000,68458000,69056000,104754000
2,COGS,1806000,8319000,13188000,16678000,27982000,41781000,30647000,14554000,9726000,6586000,9753000,14327000,12620000,15632000,13742000,22209000
3,Gross Profit,10321000,17014000,37290000,66230000,79122000,82084000,57651000,17368000,25581000,35218000,39084000,35697000,47974000,52826000,55314000,82545000
4,Gross Profit Ratio,0.8511,0.6716,0.7387,0.7988,0.7387,0.6627,0.6529,0.5441,0.7245,0.8425,0.8003,0.7136,0.7917,0.7717,0.8010,0.7880
5,Research and Development Exp.,17257000,35644000,45554000,54725000,52405000,61049000,56785000,31606000,22755000,20673000,22229000,29659000,29978000,33873000,44185000,55919000
6,General and Administrative Exp.,11880000,19713000,35709000,29871000,33841000,36942000,31379000,26908000,21937000,22315000,25419000,29008000,29291000,31502000,35049000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11880000,19713000,35709000,29871000,33841000,36942000,31379000,26908000,21937000,22315000,25419000,29008000,29291000,31502000,35049000,49323000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-56785000,-31606000,-22755000,-20673000,-22229000,-29659000,-29978000,-33873000,- -,- -
10,Operating Expenses,29137000,55357000,81263000,84596000,86246000,97991000,31379000,26908000,21937000,22315000,25419000,29008000,29291000,31502000,79234000,105242000
11,COGS and Expenses,30943000,63676000,94451000,101274000,114228000,139772000,118811000,73068000,54418000,49574000,57401000,72994000,71889000,81007000,92976000,127451000
12,Interest Income ,742000,1491000,1538000,180000,166000,273000,252000,60000,18000,19000,60000,147000,671000,1287000,405000,459000
13,Interest Expense (Gain),724000,2533000,2365000,2037000,1199000,675000,- -,13000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2387000,2884000,4563000,6129000,8309000,11471000,12417000,10318000,6685000,5409000,4546000,1042000,1147000,4557000,4554000,5947000
15,EBITDA,-15687000,-33968000,-37872000,-12057000,1351000,-4163000,-18170000,-31059000,-12642000,-2510000,-4052000,-21873000,-9768000,-7361000,-19117000,-15143000
16,EBITDA ratio,-1.2936,-1.3409,-0.7503,-0.1454,0.0126,-0.0336,-0.2058,-0.9730,-0.3581,-0.0600,-0.0830,-0.4373,-0.1612,-0.1075,-0.2768,-0.1446
17,Operating Income,-18816000,-38343000,-43973000,-18366000,-7124000,-15907000,-30513000,-41146000,-19111000,-7770000,-8564000,-22970000,-11295000,-12549000,-23920000,-22697000
18,Operating Income ratio,-1.5516,-1.5136,-0.8711,-0.2215,-0.0665,-0.1284,-0.3456,-1.2890,-0.5413,-0.1859,-0.1754,-0.4592,-0.1864,-0.1833,-0.3464,-0.2167
19,Total Other Income Expenses (Gains),18000,-1042000,-827000,-1857000,-1033000,-402000,-74000,-244000,-216000,-149000,-34000,55000,380000,631000,249000,1607000
20,Income Before Tax,-18798000,-39385000,-44800000,-20223000,-8157000,-16309000,-30587000,-41390000,-19327000,-7919000,-8598000,-22915000,-10915000,-11918000,-23671000,-21090000
21,Income Before Tax Ratio,-1.5501,-1.5547,-0.8875,-0.2439,-0.0762,-0.1317,-0.3464,-1.2966,-0.5474,-0.1894,-0.1761,-0.4581,-0.1801,-0.1741,-0.3428,-0.2013
22,Income Tax expense (Gain),-127000,-408000,327000,66000,384000,241000,270000,-87000,-256000,-338000,-40000,81000,-37000,17000,339000,189000
