,https://roic.ai/company/SRC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,84501000,188556000,- -,- -,280559000,295017000,275530000,282701000,419467000,602871000,667335000,685974000,668955000,445125000,516427000,483617000,608390000
2,COGS,- -,- -,- -,- -,2915000,3592000,5024000,5279000,13478000,27014000,30454000,34068000,44334000,21276000,18637000,24492000,- -
3,Gross Profit,- -,- -,- -,- -,277644000,291425000,270506000,277422000,405989000,575857000,636881000,651906000,624621000,423849000,497790000,459125000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,0.9896,0.9878,0.9818,0.9813,0.9679,0.9552,0.9544,0.9503,0.9337,0.9522,0.9639,0.9494,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,37329000,35863000,57274000,47730000,52615000,62064000,52993000,52424000,48380000,52608000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,37329000,35863000,57274000,47730000,52615000,62064000,52993000,52424000,48380000,52608000
9,Other Expenses,- -,- -,- -,- -,131279000,132363000,138659000,110603000,164054000,247966000,260633000,262276000,256019000,162452000,176309000,215052000,- -
10,Operating Expenses,- -,- -,- -,- -,131279000,132363000,138659000,147932000,199917000,305240000,308363000,314891000,318083000,215445000,228733000,263432000,52608000
11,COGS and Expenses,32795000,60739000,- -,- -,134194000,135955000,143683000,153211000,213395000,332254000,338817000,348959000,362417000,236721000,247370000,287924000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,208538000,173981000,169888000,156864000,166079000,214171000,214964000,187516000,180231000,89684000,94771000,98887000,- -
14,Depreciation and Amortization,20477000,44073000,- -,- -,118745000,113648000,111870000,112100000,167599000,247966000,260633000,262276000,256019000,197913000,175465000,212620000,244624000
15,EBITDA,48296000,96433000,- -,- -,207946000,201331000,217835000,193235000,336468000,429011000,590928000,548203000,513792000,420441000,457003000,338488000,415719000
16,EBITDA ratio,0.5715,0.5114,- -,- -,0.7412,0.6824,0.7906,0.6835,0.8021,0.7116,0.8855,0.7992,0.7681,0.9445,0.8849,0.6999,0.6833
17,Operating Income,51706000,127817000,- -,- -,146365000,159062000,131847000,129490000,206072000,270617000,328518000,337015000,306538000,208404000,269057000,195693000,172309000
18,Operating Income ratio,0.6119,0.6779,- -,- -,0.5217,0.5392,0.4785,0.4580,0.4913,0.4489,0.4923,0.4913,0.4582,0.4682,0.5210,0.4046,0.2832
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-209312000,-235381000,-181550000,-199273000,-238131000,-320839000,-302853000,-290969000,-294102000,-59121000,-82290000,-168712000,- -
20,Income Before Tax,- -,- -,- -,- -,-62947000,-76319000,-49703000,-69783000,-32059000,-50222000,25665000,46046000,12436000,149283000,186767000,26981000,172309000
