,https://roic.ai/company/CLCS,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,1818620,1222900,1366820,1476860,725090,2630390,834943000000
6,General and Administrative Exp.,- -,25627,2235450,1097580,951780,815950,1281060,1174820,2639482000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,25627,2235450,1097580,951780,815950,1281060,1174820,2639482000000
9,Other Expenses,- -,- -,670,-5,6,-7,-7,-9,163611000000
10,Operating Expenses,- -,25627,4054740,2320475,2318606,2292803,2006143,3805201,3638036000000
11,COGS and Expenses,- -,25627,4054070,2320480,2318610,3056550,2124290,4030750,3638036000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-3410,674,1350820,243425,219122,-192741,457371000000
14,Depreciation and Amortization,- -,- -,455,860,860,407,- -,- -,301250
15,EBITDA,- -,-25627,-4053610,-2319620,-2317750,-3056140,-1898328,-4668241,-3638035698750
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-25627,-4054740,-2320475,-2318606,-2292803,-2006143,-3805201,-3638036
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-2740,-183635,1350826,-789707,-111307,-670299,-4560161361964
20,Income Before Tax,- -,-25627,-4057480,-2504110,-967780,-3082510,-2117450,-4475500,-4560165000000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-25627,-4057480,-2504110,-967780,-3082510,-2117450,-4475500,-4560165000000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.00,-0.18,-0.10,-0.04,-0.12,-0.09,-0.18,-0.19
26,EPS Diluted,- -,-0.00,-0.18,-0.10,-0.04,-0.12,-0.09,-0.18,-0.19
27,Weighted Average Shares Outstanding,- -,5896466,22188712,25718570,26193639,26774860,27549867,28328575,29098905
28,Weighted Average Shares Outstanding Diluted,- -,5896466,22188712,25718570,26193639,26774860,27549867,28328575,29098905
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1569340/000114420415015954/0001144204-15-015954-index.htm,https://www.sec.gov/Archives/edgar/data/1569340/000116552716000733/0001165527-16-000733-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1569340/000116552718000154/0001165527-18-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1569340/000116552719000034/0001165527-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/1569340/000164033420000672/0001640334-20-000672-index.html,https://www.sec.gov/Archives/edgar/data/1569340/000164033421000923/0001640334-21-000923-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,22052,18669,19480,6944,3735,371048,18934,27908,245119
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22052,18669,19480,6944,3735,371048,18934,27908,245119
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,101498,331268,206961,160629,46858,86875,- -
37,Total Current Assets,22052,18669,120978,338212,210696,531677,65792,114783,245119
38,PP&E,- -,- -,2127,1267,407,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,28282,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,2127,29549,407,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,207220
47,Total Assets,22052,18669,123105,367761,211103,531677,65792,114783,452339
48,Accounts Payable,- -,- -,- -,450000,219094,201824,277786,135415,193095
49,Short-Term Debt,- -,- -,100000,1194200,3087870,2321145,2673000,2453241,4805836
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,118017,122457
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,195500
52,Other Current Liabilities,5099,7343,3806833,4405386,3147088,2566082,2035177,3123068,3205290
53,Total Current Liabilities,5099,7343,3906833,6049586,6454052,5089051,4985963,5711724,8399721
54,Long-Term Debt,- -,- -,- -,71950,- -,- -,- -,145000,4235336
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4474,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,76424,- -,- -,- -,145000,4235336
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5099,7343,3906833,6126010,6454052,5089051,4985963,5856724,8399721
62,Preferred Stock,- -,- -,- -,- -,- -,644,860,1245,1342
63,Common Stock,5500,5700,23579,23929,24679,25349,26078,27077,32538
64,Retained Earnings,-5047,-30674,-7998490,-10502595,-11470377,-14552887,-16670333,-21145828,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,4191183,4720417,5202749,9969520,11723224,15375565,-7981262
67,Total Stockholders Equity,16953,11326,-3783728,-5758249,-6242949,-4557374,-4920171,-5741941,-7947382
68,Total Liabilities And Stockholders Equity,22052,18669,123105,367761,211103,531677,65792,114783,452339
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22052,18669,123105,367761,211103,531677,65792,114783,452339
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1569340/000114420415015954/0001144204-15-015954-index.htm,https://www.sec.gov/Archives/edgar/data/1569340/000116552716000733/0001165527-16-000733-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1569340/000116552718000154/0001165527-18-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1569340/000116552719000034/0001165527-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/1569340/000164033420000672/0001640334-20-000672-index.html,https://www.sec.gov/Archives/edgar/data/1569340/000164033421000923/0001640334-21-000923-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-25627,-4057480,-2504110,-967780,-3082510,-2117450,-4475500,-4560165000000
74,Depreciation and Amortization,- -,- -,455,860,860,407,- -,- -,301250
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,944300,135884,114759,44719,-19115,844128,93454
77,Change in Working Capital,- -,2244,-3797181,-1925519,-531982,1685982,-362797,-676770,-2557661
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,99232,-17270,75962,-142371,57680
81,Other Working Capital,- -,- -,-3785855,-5711374,-6243356,-4557374,-4920171,-5596941,-8154602
82,Other Non-Cash Items,- -,- -,3790244,2292275,-109917,-936412,497248,1720930,4560164388326
83,Cash Provided by Operating Activities,- -,-23383,-3119662,-2000610,-1494060,-2287814,-2002114,-2587212,-2774631
84,CAPEX,- -,- -,-2582,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-2582,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,-50000,- -,- -,-70000,- -
91,Common Stock Issued,- -,20000,3012846,- -,- -,- -,- -,- -,864371
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-877736
94,Other Financing Activites,- -,- -,100000,1988074,1540851,2655127,1650000,2666186,3005207
95,Cash Used/Provided by Financing Activities,- -,20000,3112846,1988074,1490851,2655127,1650000,2596186,2991842
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-3383,-9398,-12536,-3209,367313,-352114,8974,217211
98,Cash at the End of Period,- -,18669,19480,6944,3735,371048,18934,27908,245119
99,Cash at the Beginning of Period,- -,22052,28878,19480,6944,3735,371048,18934,27908
100,Free Cash Flow,- -,-23383,-3122244,-2000610,-1494060,-2287814,-2002114,-2587212,-2774631
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1569340/000114420415015954/0001144204-15-015954-index.htm,https://www.sec.gov/Archives/edgar/data/1569340/000116552716000733/0001165527-16-000733-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1569340/000116552718000154/0001165527-18-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1569340/000116552719000034/0001165527-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/1569340/000164033420000672/0001640334-20-000672-index.html,https://www.sec.gov/Archives/edgar/data/1569340/000164033421000923/0001640334-21-000923-index.htm
102,false,,,,,,,,,
