,https://roic.ai/company/FDP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1208400000,1600100000,1743200000,1859300000,1928000000,2090500000,2486800000,2906000000,3259700000,3214300000,3365500000,3531000000,- -,3552900000,3589700000,3421200000,3683700000,3927500000,- -,4011500000,4085900000,4493900000,4489000000,- -,4252000000
2,COGS,1050700000,1371300000,1550000000,1638000000,1645100000,1753800000,2158600000,2641300000,2948200000,3027800000,3000600000,3187000000,- -,3280500000,3271600000,3079500000,3393300000,3562700000,- -,3550100000,3754300000,4214100000,4188400000,- -,3948200000
3,Gross Profit,157700000,228800000,193200000,221300000,282900000,336700000,328200000,264700000,311500000,186500000,364900000,344000000,- -,272400000,318100000,341700000,290400000,364800000,- -,461400000,331600000,279800000,300600000,- -,303800000
4,Gross Profit Ratio,0.1305,0.1430,0.1108,0.1190,0.1467,0.1611,0.1320,0.0911,0.0956,0.0580,0.1084,0.0974,- -,0.0767,0.0886,0.0999,0.0788,0.0929,- -,0.1150,0.0812,0.0623,0.0670,- -,0.0714
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4400000,4100000,- -,3300000,3300000,3200000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162500000,- -,166800000,190400000,173200000,172500000,171700000,- -,184100000,169900000,191500000,195700000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",42300000,58300000,63500000,80900000,89400000,102700000,107800000,136400000,190900000,201600000,176800000,162500000,- -,166800000,190400000,177200000,176900000,175800000,- -,187400000,173200000,194700000,195700000,- -,192900000
9,Other Expenses,20600000,35800000,45200000,57800000,28600000,19600000,- -,- -,3100000,105300000,12500000,18400000,- -,-9200000,11800000,-900000,122200000,11400000,- -,26500000,2400000,43300000,-9200000,- -,- -
10,Operating Expenses,62900000,94100000,108700000,138700000,118000000,122300000,107800000,136400000,194000000,306900000,189300000,180900000,- -,157600000,202200000,180300000,303500000,191300000,- -,217200000,178900000,241200000,186500000,- -,192900000
11,COGS and Expenses,1113600000,1465400000,1658700000,1776700000,1763100000,1876100000,2266400000,2777700000,3142200000,3334700000,3189900000,3367900000,- -,3475400000,3473800000,3259800000,3696800000,3754000000,- -,3767300000,3933200000,4455300000,4374900000,- -,4141100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,- -,900000,1100000,700000,700000,600000,- -,700000,800000,900000,1100000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,- -,10800000,6800000,3000000,2900000,3200000,- -,4100000,6400000,23600000,25400000,- -,19700000
14,Depreciation and Amortization,20600000,35800000,45200000,57800000,61200000,61700000,63000000,70900000,89000000,83800000,80900000,85300000,- -,78700000,73500000,70000000,69900000,73300000,- -,78500000,79900000,100500000,97900000,- -,96800000
