,https://roic.ai/company/CRWD,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , 
1,Revenue,52745000,118752000,249824000,481413000,874438000,1451594000
2,COGS,34006000,54486000,87238000,141627000,229545000,383221000
3,Gross Profit,18739000,64266000,162586000,339786000,644893000,1068373000
4,Gross Profit Ratio,0.3553,0.5412,0.6508,0.7058,0.7375,0.7360
5,Research and Development Exp.,39145000,58887000,84551000,130188000,214670000,371283000
6,General and Administrative Exp.,16402000,32542000,42217000,89068000,121436000,223092000
7,Selling and Marketing Exp.,53748000,104277000,172682000,266595000,401316000,616546000
8,"Selling, General and Administrative Exp.",70150000,136819000,214899000,355663000,522752000,839638000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,109295000,195706000,299450000,485851000,737422000,1210921000
11,COGS and Expenses,143301000,250192000,386688000,627478000,966967000,1594142000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),615000,1648000,428000,442000,1559000,-25231000
14,Depreciation and Amortization,3021000,7739000,15398000,23513000,40143000,68810000
15,EBITDA,-87617000,-125174000,-122884000,-115827000,-46167000,-116444000
16,EBITDA ratio,-1.6611,-1.0541,-0.4919,-0.2406,-0.0528,-0.0802
17,Operating Income,-90556000,-131440000,-136864000,-146065000,-92529000,-142548000
18,Operating Income ratio,-1.7169,-1.1068,-0.5478,-0.3034,-0.1058,-0.0982
19,Total Other Income Expenses (Gains),-697000,-3121000,-1846000,6283000,4660000,-17475000
20,Income Before Tax,-91253000,-134561000,-138710000,-139782000,-87869000,-160023000
21,Income Before Tax Ratio,-1.7301,-1.1331,-0.5552,-0.2904,-0.1005,-0.1102
22,Income Tax expense (Gain),87000,929000,1367000,1997000,4760000,72355000
23,Net Income,-91340000,-135490000,-140077000,-141779000,-92629000,-232378000
24,Net Income ratio,-1.7317,-1.1409,-0.5607,-0.2945,-0.1059,-0.1601
25,EPS,-0.63,-0.83,-0.80,-0.96,-0.43,-1.03
26,EPS Diluted,-0.63,-0.83,-0.80,-0.96,-0.43,-1.03
27,Weighted Average Shares Outstanding,171202000,171202000,171202000,148062000,217756000,227142000
28,Weighted Average Shares Outstanding Diluted,171202000,171202000,171202000,148062000,217756000,227142000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000006/0001535527-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/0001535527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000006/0001535527-22-000006-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,63179000,88408000,264798000,1918608000,1996633000
32,Short-Term Investments,- -,2593000,103247000,647266000,- -,- -
33,Cash and Short-Term Investments,- -,65772000,191655000,912064000,1918608000,1996633000
34,Net Receivables,- -,59812000,92476000,164987000,239199000,368145000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,28027000,47257000,94585000,134467000,206174000
37,Total Current Assets,- -,153611000,331388000,1171636000,2292274000,2570952000
38,PP&E,- -,40754000,73735000,136078000,203498000,292312000
39,Goodwill,- -,8421000,7947000,7722000,83566000,416445000
40,Intangible Assets,- -,1736000,1048000,527000,15677000,97336000
41,Intangible Assets,- -,10157000,8995000,8249000,99243000,513781000
42,Investments,- -,- -,- -,1000000,2500000,23632000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,13181000,19101000,87943000,135018000,217704000
45,Total Non-Current Assets,- -,64092000,101831000,233270000,440259000,1047429000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,217703000,433219000,1404906000,2732533000,3618381000
48,Accounts Payable,- -,12261000,6855000,1345000,12065000,47634000
49,Short-Term Debt,- -,- -,- -,- -,8977000,9820000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,109003000,218700000,412985000,701988000,1136502000
52,Other Current Liabilities,- -,44626000,55865000,78766000,140523000,212874000
53,Total Current Liabilities,- -,165890000,281420000,493096000,863553000,1406830000
54,Long-Term Debt,- -,15971000,- -,- -,770015000,764896000
55,Deferred Revenue,- -,49947000,71367000,158183000,209907000,392819000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,355369000,5776000,11020000,17184000,16193000
58,Total Non-Current Liabilities,- -,421287000,77143000,169203000,997106000,1173908000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,40963000,- -
61,Total Liabilities,- -,587177000,358563000,662299000,1860659000,2580738000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,22000,90000,106000,112000,115000
64,Retained Earnings,- -,-378948000,-529488000,-637487000,-730116000,-964918000
65,Other Comprehensive Income/Loss,- -,970000,98000,1009000,2319000,-1240000
66,Other Total Stockholders Equity,- -,8482000,603956000,1378479000,1598259000,2003686000
67,Total Stockholders Equity,- -,-369474000,74656000,742107000,870574000,1037643000
68,Total Liabilities And Stockholders Equity,- -,217703000,433219000,1404406000,2731233000,3618381000
69,Minority Interest,- -,- -,- -,500000,1300000,- -
70,Total Liabilities & Equity,- -,217703000,433219000,1404906000,2732533000,3618381000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000006/0001535527-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/0001535527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000006/0001535527-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-91340000,-135490000,-140077000,-141779000,-92629000,-232378000
74,Depreciation and Amortization,3021000,7739000,15398000,23513000,40143000,68810000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-13956000
76,Stock Based Compensation,1994000,12343000,20505000,79940000,149675000,309952000
77,Change in Working Capital,29080000,-40263000,62247000,628572000,750181000,-264599000
78,Accounts Receivable,-8464000,-35268000,-33413000,-73067000,-72478000,-125354000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,11325000,33248000
81,Other Working Capital,27984000,-12279000,49968000,678540000,1428721000,1164122000
