,https://roic.ai/company/HBB,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,767862000,745357000,740749000,743179000,612843000,603713000,658394000
2,COGS,577134000,551586000,546928000,554167000,483298000,465059000,521892000
3,Gross Profit,190728000,193771000,193821000,189012000,129545000,138654000,136502000
4,Gross Profit Ratio,0.2484,0.2600,0.2617,0.2543,0.2114,0.2297,0.2073
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,104763000
9,Other Expenses,155174000,150397000,155686000,156693000,92679000,101239000,- -
10,Operating Expenses,155174000,150397000,155686000,156693000,92679000,101239000,104763000
11,COGS and Expenses,732308000,701983000,702614000,710860000,575977000,566298000,626655000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1962000,1374000,1831000,- -,- -,1998000,2854000
14,Depreciation and Amortization,6308000,6226000,5611000,5309000,4002000,3907000,- -
15,EBITDA,40306000,48763000,43519000,33338000,9795000,61828000,31811000
16,EBITDA ratio,0.0525,0.0654,0.0587,0.0449,0.0160,0.1024,0.0483
17,Operating Income,35554000,43374000,38135000,32319000,36866000,37415000,31539000
18,Operating Income ratio,0.0463,0.0582,0.0515,0.0435,0.0602,0.0620,0.0479
19,Total Other Income Expenses (Gains),-3518000,-2211000,-2058000,-4290000,-2473000,-3683000,-2582000
20,Income Before Tax,32036000,41163000,36077000,28029000,34393000,33732000,28957000
21,Income Before Tax Ratio,0.0417,0.0552,0.0487,0.0377,0.0561,0.0559,0.0440
22,Income Tax expense (Gain),12325000,14984000,18172000,6245000,9315000,9665000,7651000
23,Net Income,19711000,26179000,17905000,21784000,-3522000,46258000,21306000
24,Net Income ratio,0.0257,0.0351,0.0242,0.0293,-0.0057,0.0766,0.0324
25,EPS,1.44,1.91,1.31,1.59,-0.26,3.39,1.53
26,EPS Diluted,1.44,1.91,1.31,1.59,-0.26,3.37,1.53
27,Weighted Average Shares Outstanding,13673432,13673432,13673000,13699000,13690000,13657000,13887000
28,Weighted Average Shares Outstanding Diluted,13673432,13673432,13685000,13731000,13726000,13712000,13902000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1709164/000170916418000011/0001709164-18-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1709164/000170916420000007/0001709164-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1709164/000170916421000015/0001709164-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1709164/000170916422000009/0001709164-22-000009-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,11340000,10906000,6352000,2142000,2415000,1125000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,11340000,10906000,6352000,2142000,2415000,1125000
34,Net Receivables,- -,104074000,114100000,112137000,113781000,144797000,119580000
35,Inventory,- -,128415000,134744000,144691000,109621000,173962000,183382000
36,Other Current Assets,- -,8586000,8835000,14969000,28485000,15118000,14273000
37,Total Current Assets,- -,252415000,268585000,278149000,254029000,336292000,318360000
38,PP&E,- -,15943000,19083000,22630000,22324000,23490000,30485000
39,Goodwill,- -,6253000,6253000,6253000,6253000,6253000,6253000
40,Intangible Assets,- -,7282000,5900000,4519000,3141000,1892000,1692000
41,Intangible Assets,- -,13535000,12153000,10772000,9394000,8145000,7945000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,17504000,12825000,8163000,3853000,6965000,4006000
44,Other Non-Current Assets,- -,11436000,13587000,10713000,13640000,16276000,21708000
45,Total Non-Current Assets,- -,58418000,57648000,52278000,49211000,54876000,64144000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,310833000,326233000,330427000,303240000,391168000,382504000
48,Accounts Payable,- -,130958000,152201000,135387000,111613000,152559000,131912000
49,Short-Term Debt,- -,- -,31346000,11624000,23497000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,58992000,47399000,59890000,65570000,46511000,32264000
53,Total Current Liabilities,- -,189950000,230946000,206901000,200680000,199070000,164176000
