,https://roic.ai/company/BAP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1954000000,2476602250,2587679170,2497606574,2474649509,2424289801,2599490241,2692247113,3182240959,3373061562,4448396576,4610807485,5082011320,6707950411,7251734941,7614266171,8575369495,10592543000,11853696000,12513589000,13356762000,13487045000,14743144000,13535994000,14544438000
2,COGS,1070000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,884000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.4524,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1512000000,731442150,754617580,730460473,689351508,711077610,754097920,778754449,960360782,1069212496,1429219781,1993567519,2261729750,3507158279,3626574994,3505084681,4327304396,4717896000,5015243000,5200240000,5399668000,4754971000,4884776000,4736754000,5430748000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157521590,295006977,310164000,222632000,- -,- -,- -,374675000,- -,486885000
8,"Selling, General and Administrative Exp.",1512000000,731442150,754617580,730460473,689351508,711077610,754097920,778754449,960360782,1069212496,1429219781,1993567519,2261729750,3507158279,3626574994,3662606271,4622311374,5028060000,5237875000,5200240000,5399668000,4754971000,5259451000,4736754000,5917633000
9,Other Expenses,1070000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46563000,-60624000,- -,- -,- -,- -,- -
10,Operating Expenses,2582000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,3652000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,2895668100,2906002333,2694201966,2390849406,1870175359,1901781351,1779810637,2108719738,2389485311,3195779392,4361459159,3781902388,4181253723,4793389579,5977771319,7401672170,8540721000,9967350000,10765724000,10977777000,11498244000,12356405000,11522045000,11809769000
13,Interest Expense (Gain),1070000000,1569573850,1623057043,1375260895,1096166730,626129734,563002340,525567450,596219337,866195377,1295131680,1814219588,1220472522,1185914166,1398214320,1807454192,2225975225,2191062000,2558050000,2914714000,2959196000,3033529000,3290867000,2976306000,2488426000
14,Depreciation and Amortization,86800000,129097700,141061128,167678597,160814158,156017310,166086974,152770561,133347862,153748625,152936464,180252824,206328587,235650186,246928436,282747762,345326428,433787000,400905000,407061000,426415000,436527000,639066000,676933000,690184000
15,EBITDA,1564800000,1925094200,1947395568,1639615801,1518752973,1045900722,1146368831,1256187451,1609064664,1978180162,2806223570,3462611228,3292594952,3593338166,4102533356,4801101822,5004363183,5980925000,7248465000,8117805000,8870650000,8974830000,9818314000,3890156000,8424179000
16,EBITDA ratio,0.8008,0.7773,0.7526,0.6565,0.6137,0.4314,0.4410,0.4666,0.5056,0.5865,0.6308,0.7510,0.6479,0.5357,0.5657,0.6305,0.5836,0.5646,0.6115,0.6487,0.6641,0.6654,0.6660,0.2874,0.5792
17,Operating Income,441000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.2257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,441000000,226422650,183277398,96676309,261772084,263753678,417279517,577849440,879497465,958236160,1358155426,1559749818,1830325721,2194376918,2457390600,2761578711,2453291444,3389470000,4360592000,4891428000,5574934000,5592214000,5975408000,224161000,5332816000
21,Income Before Tax Ratio,0.2257,0.0914,0.0708,0.0387,0.1058,0.1088,0.1605,0.2146,0.2764,0.2841,0.3053,0.3383,0.3602,0.3271,0.3389,0.3627,0.2861,0.3200,0.3679,0.3909,0.4174,0.4146,0.4053,0.0166,0.3667
22,Income Tax expense (Gain),115000000,85619200,30694133,34234380,74181948,114726574,137686077,149170559,253232852,255408437,306655403,344073041,401925615,535741989,553678142,655557371,815244704,968224000,1197207000,1281448000,1393286000,1520909000,1623077000,-109977000,1660987000
23,Net Income,293000000,140803450,152583265,62441929,187590136,149027105,279593440,428678881,626264613,702827723,1051500023,1124065774,1463868228,1636031824,1903712458,2055342498,1617816826,2387852000,3092303000,3514582000,4091753000,3983865000,4265304000,346894000,3584582000
24,Net Income ratio,0.1499,0.0569,0.0590,0.0250,0.0758,0.0615,0.1076,0.1592,0.1968,0.2084,0.2364,0.2438,0.2880,0.2439,0.2625,0.2699,0.1887,0.2254,0.2609,0.2809,0.3063,0.2954,0.2893,0.0256,0.2465
25,EPS,3.62,1.74,1.89,0.78,2.37,1.86,3.50,5.38,7.85,8.80,13.19,14.11,17.09,20.50,23.38,25.77,20.28,29.94,38.77,44.23,51.49,50.13,53.66,4.37,45.14
26,EPS Diluted,3.62,1.74,1.89,0.78,2.37,1.86,3.50,5.38,7.85,8.80,13.19,14.11,17.09,20.50,23.38,25.77,20.28,29.94,38.77,44.15,51.35,49.99,53.53,4.36,45.02
27,Weighted Average Shares Outstanding,81000000,80961538,94382000,80436364,79004348,79967925,79808911,79723780,79774123,79865625,79712500,79761475,79759423,79790782,79760000,79755207,79757947,79754542,79760279,79469706,79469868,79477294,79489305,79410437,79410437
28,Weighted Average Shares Outstanding Diluted,81000000,80961538,94382000,81000000,80180000,79967925,79808911,79800000,79774123,79865625,79712500,79761475,79759423,79790782,79760000,79755207,79757947,79754542,79760279,79613609,79690164,79686422,79683518,79622875,79622875
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5392671800,5580520188,6184125676,6529511822,7673719718,5593915278,6027589598,9161691600,8352574268,9215416531,11833271620,11133943149,19926923864,14473627632,20442160308,22208996306,21687832000,22041449000,16630373000,23207203000,22140170000,25959441000,36732252000,39320740000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19312876012,18588058538,15747996000,18768921000,18685667000,24423891000,23056954000,24614050000,42746061000,34758443000
33,Cash and Short-Term Investments,- -,5392671800,5580520188,6184125676,6529511822,7673719718,5593915278,6027589598,9161691600,8352574268,9215416531,11833271620,11133943149,19926923864,14473627632,39755036321,40797054845,37435828000,40810370000,35316040000,47631094000,45197124000,50573491000,79478313000,74079183000
34,Net Receivables,- -,856860900,328635213,316327508,344980300,321848335,208313710,315141125,318801519,294743176,604502712,2027984878,1029797269,828708931,855990699,2673228830,2905364831,3103757000,3705689000,3166397000,3883923000,4601737000,4181523000,4683263000,2119482000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,19156961550,19592887985,19356542690,18215981876,16819872799,- -,- -,- -,18592002925,25928278406,34025901068,34840490991,47353871883,47310504193,39553787976,47398363037,68860192000,81736807000,85462463000,81360350000,94963016000,96567843000,95558433000,113432183000
37,Total Current Assets,- -,25406494250,25502043385,25856995874,25090473999,24815440852,- -,- -,- -,27239320369,35748197649,47887157566,47004231410,68109504678,62640122525,81982053126,91100782713,109399777000,126252866000,123944900000,132875367000,144761877000,151322857000,179720009000,189630848000
38,PP&E,744000000,972580600,981363425,929998709,890823444,1020348497,917559164,808892167,854940634,780638577,824252381,1035153741,982425185,1067907229,1242593277,1538159813,2061893534,2089418000,1671441000,1551703000,1509492000,1480702000,2379644000,2167949000,1895196000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284708282,- -,- -,- -,991133703,939514175,739511000,631426000,636149000,635975000,591330000,886009000,820899000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491228143,- -,- -,- -,988254371,1174336374,1285663000,1269271000,1324541000,1342890000,1464372000,1666265000,1818398000,- -
41,Intangible Assets,- -,218061400,137069593,125730719,109333806,101055588,- -,- -,- -,658930973,681359183,775936424,992338382,1067082486,1192590544,1979388074,2113850549,2025174000,1900697000,1960690000,1978865000,2055702000,2552274000,2639297000,2710080000
42,Investments,- -,- -,- -,- -,- -,4361452286,6036238087,7314940997,9945509701,10681910093,15828295932,15721342856,14946351256,11122045041,15758085802,20806681090,21181219111,21320003000,25655213000,28977929000,34108559000,28964920000,31621916000,52878908000,50585860000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,1190642000,1118433018,1055729428,1000157250,5482856371,- -,- -,- -,12121479643,17333907496,17532433022,16921114823,13257034756,18193269623,24324228977,25356963194,25434595000,29227351000,32490322000,37596916000,32501324000,36553834000,57686154000,55191136000
46,Other Assets,21249000000,- -,- -,- -,- -,35781153593,28769935028,29795292096,37977170254,51482279656,70416012641,82952023609,33842229647,94623574190,99026661772,130630511080,141814709101,160268967000,184707568000,188925544000,208069199000,209764525000,224430525000,295092317000,300013120000
47,Total Assets,21249000000,26597136250,26620476403,26912725302,26090631249,30298297223,28769935028,29795292096,37977170254,39360800012,53082105145,65419590587,63925346233,81366539434,80833392149,106306282103,116457745907,134834372000,155480217000,156435222000,170472283000,177263201000,187876691000,237406163000,244821984000
48,Accounts Payable,- -,423413700,459359738,433554325,- -,- -,- -,- -,7148062,- -,- -,572665381,139321638,174040760,198227653,1302586187,1477642438,1767612000,1784691000,1935832000,2303361000,2018625000,2378122000,2526027000,1216889000
49,Short-Term Debt,- -,2382621800,1165202023,896561790,441750285,439387868,334064335,767052804,3023936856,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415501000,286504000,480781000,677229000,644802000,293873000,- -
