,https://roic.ai/company/MGNI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,37059000,57072000,83830000,125295000,248484000,278221000,155545000,124685000,156414000,221628000,468413000
2,COGS,12893000,12367000,15358000,20754000,58495000,73247000,56836000,60003000,57391000,77747000,201662000
3,Gross Profit,24166000,44705000,68472000,104541000,189989000,204974000,98709000,64682000,99023000,143881000,266751000
4,Gross Profit Ratio,0.6521,0.7833,0.8168,0.8344,0.7646,0.7367,0.6346,0.5188,0.6331,0.6492,0.5695
5,Research and Development Exp.,12496000,13115000,18615000,22718000,42055000,51184000,47500000,37863000,40269000,51546000,74449000
6,General and Administrative Exp.,8926000,12331000,27926000,57398000,70199000,68570000,55596000,42431000,41772000,52987000,64789000
7,Selling and Marketing Exp.,17748000,20458000,25811000,43203000,83333000,83328000,51794000,44556000,44565000,76030000,170406000
8,"Selling, General and Administrative Exp.",26674000,32789000,53737000,100601000,153532000,151898000,107390000,86987000,86337000,129017000,235195000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,39170000,45904000,72352000,123319000,195587000,203082000,154890000,124850000,126606000,180563000,309644000
11,COGS and Expenses,52063000,58271000,87710000,144073000,254082000,276329000,211726000,184853000,183997000,258310000,511306000
12,Interest Income ,-252000,-343000,-273000,-110000,59000,491000,908000,988000,789000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5538000,6857000,8438000,12517000,31010000,42763000,36225000,35338000,32126000,49248000,146886000
15,EBITDA,-9735000,4629000,-564000,-5984000,26871000,19850000,-120320000,-26127000,5136000,-3491000,51898000
16,EBITDA ratio,-0.2627,0.0811,-0.0067,-0.0478,0.1081,0.0713,-0.7735,-0.2095,0.0328,-0.0158,0.1108
17,Operating Income,-15004000,-1199000,-3880000,-18778000,-5598000,-24897000,-156976000,-63608000,-27583000,-54234000,-81070000
18,Operating Income ratio,-0.4049,-0.0210,-0.0463,-0.1499,-0.0225,-0.0895,-1.0092,-0.5101,-0.1763,-0.2447,-0.1731
19,Total Other Income Expenses (Gains),-269000,-1029000,-5122000,277000,1459000,1984000,431000,2143000,593000,1495000,-13918000
20,Income Before Tax,-15273000,-2228000,-9002000,-18501000,-4139000,-22913000,-156545000,-61465000,-26990000,-52739000,-94988000
21,Income Before Tax Ratio,-0.4121,-0.0390,-0.1074,-0.1477,-0.0167,-0.0824,-1.0064,-0.4930,-0.1726,-0.2380,-0.2028
22,Income Tax expense (Gain),136000,134000,247000,172000,-4561000,-4860000,-1762000,357000,-1512000,693000,-95053000
23,Net Income,-15409000,-2362000,-9249000,-18673000,422000,-18053000,-154783000,-61822000,-25478000,-53432000,65000
24,Net Income ratio,-0.4158,-0.0414,-0.1103,-0.1490,0.0017,-0.0649,-0.9951,-0.4958,-0.1629,-0.2411,0.0001
25,EPS,-0.76,-0.04,-0.20,-0.70,0.01,-0.39,-3.17,-1.23,-0.48,-0.55,0.00
26,EPS Diluted,-0.76,-0.04,-0.20,-0.70,0.01,-0.39,-3.17,-1.23,-0.48,-0.55,0.00
27,Weighted Average Shares Outstanding,25898000,51012000,25898000,28217000,39663000,46655000,48869000,50259000,52614000,96700000,126294000
28,Weighted Average Shares Outstanding Diluted,25898000,51012000,25898000,28217000,44495000,46655000,48869000,50259000,52614000,96700000,136261000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595974/000162828015001546/0001628280-15-001546-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000162828016012273/0001628280-16-012273-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000162828017002588/0001628280-17-002588-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597418000036/0001595974-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597419000043/0001595974-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597420000026/0001595974-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597421000016/0001595974-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597422000010/0001595974-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,16252000,21616000,29956000,97196000,116499000,149423000,76642000,80452000,88888000,117676000,230401000
32,Short-Term Investments,- -,- -,- -,- -,23249000,40550000,52504000,7524000,- -,- -,- -
33,Cash and Short-Term Investments,16252000,21616000,29956000,97196000,139748000,189973000,129146000,87976000,88888000,117676000,230401000
34,Net Receivables,40580000,67335000,94722000,133267000,218235000,192064000,165890000,205683000,217571000,471666000,927781000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2596000,2416000,4141000,7514000,7724000,9540000,9620000,6882000,6591000,17729000,19934000
37,Total Current Assets,59428000,91367000,128819000,237977000,365707000,391577000,304656000,300541000,313050000,607071000,1178116000
38,PP&E,6511000,6933000,8712000,15196000,25403000,36246000,47393000,33487000,45158000,63280000,111053000
39,Goodwill,100000,1491000,1491000,16290000,65705000,65705000,- -,- -,7370000,158125000,969873000
40,Intangible Assets,4762000,7177000,7714000,25591000,64712000,23326000,26093000,24744000,27439000,106044000,446708000
41,Intangible Assets,4862000,8668000,9205000,41881000,130417000,89031000,26093000,24744000,34809000,264169000,1416581000
42,Investments,- -,- -,- -,- -,13483000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
