,https://roic.ai/company/EXDW,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,30273,34878988,28393548,21019454,28433822
2,COGS,- -,42524,20374116,16105594,10535859,13696281
3,Gross Profit,- -,-12251,14504872,12287954,10483595,14737541
4,Gross Profit Ratio,- -,-0.4047,0.4159,0.4328,0.4988,0.5183
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,9720466,11120102,10853331,10342023,9696903
7,Selling and Marketing Exp.,- -,1120970,1989146,1908950,1009721,736195
8,"Selling, General and Administrative Exp.",- -,10841436,13109248,12762281,11351744,10433098
9,Other Expenses,- -,-10796173,- -,- -,- -,- -
10,Operating Expenses,- -,45263,13109248,12762281,11351744,10433098
11,COGS and Expenses,- -,87787,33483364,28867875,21887603,24129379
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3929,6082,1513,2717,1776
14,Depreciation and Amortization,- -,10656,1120652,1482474,786519,547925
15,EBITDA,- -,-46858,2196061,1798237,-164517,4516135
16,EBITDA ratio,- -,-1.5478,0.0630,0.0633,-0.0078,0.1588
17,Operating Income,- -,-57514,1395624,-474327,-868149,4304443
18,Operating Income ratio,- -,-1.8998,0.0400,-0.0167,-0.0413,0.1514
19,Total Other Income Expenses (Gains),- -,-3929,-326297,788577,-85604,-338009
20,Income Before Tax,- -,-61443,1069327,314250,-953753,3966434
21,Income Before Tax Ratio,- -,-2.0296,0.0307,0.0111,-0.0454,0.1395
22,Income Tax expense (Gain),- -,- -,-89297,446267,8525,891890
23,Net Income,- -,-61443,1158624,-132017,-962278,3074544
24,Net Income ratio,- -,-2.0296,0.0332,-0.0046,-0.0458,0.1081
25,EPS,- -,0.18,0.06,-0.00,-0.03,0.09
26,EPS Diluted,- -,0.18,0.06,-0.00,-0.03,0.09
27,Weighted Average Shares Outstanding,- -,20000000,20173973,32700000,32700000,32700000
28,Weighted Average Shares Outstanding Diluted,- -,20000000,20173973,32700000,32700000,32700000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1634293/000159991619000106/0001599916-19-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991620000045/0001599916-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991621000002/0001599916-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991622000018/0001599916-22-000018-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,46295,22737755,20198362,19370086,23056242
32,Short-Term Investments,- -,233022,830331,1156108,1123696,522555
33,Cash and Short-Term Investments,- -,279317,23568086,21354470,20493782,23578797
34,Net Receivables,- -,1011,822183,94868,68086,67073
35,Inventory,- -,78268,380925,626142,1243228,912037
36,Other Current Assets,- -,-223370,550540,1318565,242965,56656
37,Total Current Assets,- -,135226,25321734,23394045,22048061,24614563
38,PP&E,- -,457118,343991,792452,629784,1366815
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,656828,3228655,1228295,174911,953016
41,Intangible Assets,- -,656828,3228655,1228295,174911,953016
42,Investments,- -,- -,- -,91161,1123696,- -
43,Tax Assets,- -,195908,287157,134936,- -,163872
44,Other Non-Current Assets,- -,-653026,58341,317096,- -,1357251
