,https://roic.ai/company/SMLP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,31676000,103552000,165499000,242806000,330686000,371319000,402362000,488741000,506653000,443528000,383473000,400618000
2,COGS,3874000,- -,35299000,91860000,141084000,127587000,139660000,172712000,214761000,173644000,154785000,201045000
3,Gross Profit,27802000,103552000,130200000,150946000,189602000,243732000,262702000,316029000,291892000,269884000,228688000,199573000
4,Gross Profit Ratio,0.8777,1.0000,0.7867,0.6217,0.5734,0.6564,0.6529,0.6466,0.5761,0.6085,0.5964,0.4982
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10035000,- -,21357000,24558000,34017000,36544000,52410000,54681000,52877000,54139000,76431000,59843000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10035000,- -,21357000,24558000,34017000,36544000,52410000,54681000,52877000,54139000,76431000,59843000
9,Other Expenses,9503000,61864000,51658000,59972000,76272000,87285000,95334000,93882000,96878000,97587000,86030000,74178000
10,Operating Expenses,19538000,61864000,73015000,84530000,110289000,123829000,147744000,148563000,149755000,151726000,162461000,134021000
11,COGS and Expenses,23412000,61864000,108314000,176390000,251373000,251416000,287404000,321275000,364516000,325370000,317246000,335066000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3054000,12766000,19173000,40159000,48616000,63810000,68131000,60535000,74429000,78894000,66156000
14,Depreciation and Amortization,4089000,11367000,35491000,61856000,83934000,96975000,112661000,114872000,106767000,111426000,119070000,119995000
15,EBITDA,12307000,53067000,66553000,125342000,100732000,-47297000,135628000,269031000,209518000,-182804000,390170000,165875000
16,EBITDA ratio,0.3885,0.5125,0.4021,0.5162,0.3046,-0.1274,0.3371,0.5505,0.4135,-0.4122,1.0175,0.4140
17,Operating Income,8264000,41688000,55165000,63646000,78583000,119113000,113637000,167393000,142137000,118158000,66227000,60747000
18,Operating Income ratio,0.2609,0.4026,0.3333,0.2621,0.2376,0.3208,0.2824,0.3425,0.2805,0.2664,0.1727,0.1516
19,Total Other Income Expenses (Gains),32000,-3042000,-12757000,-19281000,-99116000,-306598000,-121405000,-78779000,-88865000,-148966000,111434000,-88903000
