,https://roic.ai/company/GIC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,634500000,911900000,1145400000,1435700000,1754500000,1686103000,1546975000,1551517000,1657778000,1927835000,2115518000,2345165000,2779875000,3032961000,3165995000,3589989000,3682039000,3544600000,3352300000,3442800000,1854700000,1680100000,1265400000,896900000,946900000,1029000000,1063100000
2,COGS,435100000,658500000,874100000,1139600000,1428700000,1462640000,1270051000,1285929000,1389509000,1637452000,1808231000,2002246000,2353574000,2568816000,2705747000,3094042000,3151363000,3056500000,2865600000,2949600000,1512000000,1355400000,914000000,589200000,621200000,672100000,688800000
3,Gross Profit,199400000,253400000,271300000,296100000,325800000,223463000,276924000,265588000,268269000,290383000,307287000,342919000,426301000,464145000,460248000,495947000,530676000,488100000,486700000,493200000,342700000,324700000,351400000,307700000,325700000,356900000,374300000
4,Gross Profit Ratio,0.3143,0.2779,0.2369,0.2062,0.1857,0.1325,0.1790,0.1712,0.1618,0.1506,0.1453,0.1462,0.1534,0.1530,0.1454,0.1381,0.1441,0.1377,0.1452,0.1433,0.1848,0.1933,0.2777,0.3431,0.3440,0.3468,0.3521
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286300000
9,Other Expenses,149800000,183900000,212000000,231700000,265900000,284471000,274394000,256075000,254020000,260111000,268327000,281015000,330797000,380778000,386857000,422913000,455747000,481700000,485100000,494700000,338900000,314700000,279800000,245200000,260400000,272800000,- -
10,Operating Expenses,149800000,183900000,212000000,231700000,265900000,284471000,274394000,256075000,254020000,260111000,268327000,281015000,330797000,380778000,386857000,422913000,455747000,481700000,485100000,494700000,338900000,314700000,279800000,245200000,260400000,272800000,286300000
11,COGS and Expenses,584900000,842400000,1086100000,1371300000,1694600000,1747111000,1544445000,1542004000,1643529000,1897563000,2076558000,2283261000,2684371000,2949594000,3092604000,3516955000,3607110000,3538200000,3350700000,3444300000,1850900000,1670100000,1193800000,834400000,881600000,944900000,975100000
12,Interest Income ,- -,- -,- -,- -,- -,106000,276000,427000,755000,630000,735000,9475000,5505000,- -,- -,840000,1376000,300000,400000,- -,-10700000,-2000000,-500000,- -,- -,- -,- -
13,Interest Expense (Gain),2400000,500000,- -,500000,- -,4352000,1764000,1653000,2344000,3073000,2670000,1684000,986000,305000,887000,1802000,2183000,1700000,1500000,1300000,- -,- -,- -,- -,- -,100000,- -
14,Depreciation and Amortization,2100000,3800000,5700000,7500000,11200000,13608000,15143000,13652000,13938000,11314000,9994000,8185000,8780000,10387000,12353000,14480000,17457000,18000000,19300000,16300000,9300000,7900000,5100000,4500000,4100000,4100000,3700000
15,EBITDA,52900000,75700000,67800000,75100000,71700000,-47294000,17949000,-44673000,27216000,34860000,45538000,79564000,109789000,94435000,86325000,82315000,98323000,-22200000,-1000000,-15000000,-77000000,-14700000,40200000,242600000,68700000,89500000,124500000
16,EBITDA ratio,0.0834,0.0830,0.0592,0.0523,0.0409,-0.0280,0.0116,-0.0288,0.0164,0.0181,0.0215,0.0339,0.0395,0.0311,0.0273,0.0229,0.0267,-0.0063,-0.0003,-0.0044,-0.0415,-0.0087,0.0318,0.2705,0.0726,0.0870,0.1171
17,Operating Income,49600000,69500000,59300000,64400000,59900000,-61008000,2530000,-7781000,12523000,22916000,34809000,61904000,95504000,83367000,73391000,68745000,80527000,-39900000,-20600000,-25900000,-24100000,4100000,71300000,61700000,66100000,84100000,88000000
18,Operating Income ratio,0.0782,0.0762,0.0518,0.0449,0.0341,-0.0362,0.0016,-0.0050,0.0076,0.0119,0.0165,0.0264,0.0344,0.0275,0.0232,0.0191,0.0219,-0.0113,-0.0061,-0.0075,-0.0130,0.0024,0.0563,0.0688,0.0698,0.0817,0.0828
19,Total Other Income Expenses (Gains),-1200000,1900000,2800000,2700000,600000,-4246000,-1488000,-1226000,-1589000,-2443000,-1935000,7791000,4519000,376000,-306000,-2712000,-1844000,-1700000,-1200000,-6700000,-10700000,-2000000,-500000,1200000,- -,-100000,-400000
20,Income Before Tax,48400000,71400000,62100000,67100000,60500000,-65254000,1042000,-9007000,10934000,20473000,32874000,69695000,100023000,83743000,73085000,66033000,78683000,-41600000,-21800000,-32600000,-34800000,2100000,70800000,62900000,66100000,84000000,87600000
21,Income Before Tax Ratio,0.0763,0.0783,0.0542,0.0467,0.0345,-0.0387,0.0007,-0.0058,0.0066,0.0106,0.0155,0.0297,0.0360,0.0276,0.0231,0.0184,0.0214,-0.0117,-0.0065,-0.0095,-0.0188,0.0012,0.0560,0.0701,0.0698,0.0816,0.0824
22,Income Tax expense (Gain),12700000,27700000,23300000,25800000,24500000,-24483000,389000,-1039000,5323000,7923000,21433000,24548000,30542000,30900000,26900000,23482000,24275000,-33600000,22000000,4900000,13500000,10000000,-5300000,13400000,16100000,19900000,17500000
23,Net Income,35700000,43700000,38800000,41300000,36000000,-40771000,653000,-58939000,5611000,12550000,11441000,45147000,69481000,52843000,46185000,42551000,54408000,-8300000,-43800000,-37500000,-99800000,-32600000,40400000,224700000,48500000,65400000,103300000
24,Net Income ratio,0.0563,0.0479,0.0339,0.0288,0.0205,-0.0242,0.0004,-0.0380,0.0034,0.0065,0.0054,0.0193,0.0250,0.0174,0.0146,0.0119,0.0148,-0.0023,-0.0131,-0.0109,-0.0538,-0.0194,0.0319,0.2505,0.0512,0.0636,0.0972
25,EPS,0.93,1.15,1.02,1.11,1.01,-1.19,0.02,-1.73,0.16,0.37,0.33,1.29,1.93,1.45,1.26,1.15,1.48,-0.22,-1.18,-1.01,-2.69,-0.87,1.10,6.03,1.29,1.72,2.75
26,EPS Diluted,0.93,1.15,1.02,1.11,1.01,-1.19,0.02,-1.73,0.16,0.35,0.31,1.22,1.84,1.41,1.24,1.13,1.47,-0.22,-1.18,-1.01,-2.69,-0.87,1.06,5.93,1.28,1.71,2.75
27,Weighted Average Shares Outstanding,38387097,38129000,38039216,37207207,35643564,34261345,32650000,34068786,35068750,34373000,34646000,34960000,35968000,36450000,36706000,36996000,36805000,36900000,37000000,37100000,37100000,37200000,37000000,37200000,37500000,37500000,37900000
28,Weighted Average Shares Outstanding Diluted,38387097,38129000,38039216,37207207,35643564,34261345,32650000,34219000,35068750,35489000,36488000,36881000,37688000,37411000,37343000,37601000,37096000,36900000,37000000,37100000,37100000,37200000,37600000,37900000,37700000,37700000,38000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945114/000094511421000010/0000945114-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/945114/000094511422000009/0000945114-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28500000,35200000,43400000,42000000,17500000,14496000,36464000,62995000,38702000,36257000,70925000,86964000,128021000,115967000,58309000,92077000,97254000,150700000,181400000,165000000,215100000,149700000,184500000,295400000,97200000,22400000,15400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,28500000,35200000,43400000,42000000,17500000,14496000,36464000,62995000,38702000,36257000,70925000,86964000,128021000,115967000,58309000,92077000,97254000,150700000,181400000,165000000,215100000,149700000,184500000,295400000,97200000,22400000,15400000
34,Net Receivables,84400000,111700000,132700000,154500000,200100000,208979000,144113000,148554000,152435000,153724000,143001000,164615000,197397000,190909000,241860000,276344000,268980000,297400000,333300000,355500000,266300000,214500000,174300000,84100000,88200000,102300000,106800000
35,Inventory,71600000,93000000,102600000,130000000,174000000,127271000,92170000,98401000,133905000,176227000,189502000,233136000,250222000,282217000,365725000,370375000,372244000,367200000,321800000,289900000,144400000,140700000,131500000,107300000,112500000,132300000,172800000
36,Other Current Assets,28300000,54100000,34600000,33400000,35200000,38290000,28534000,40416000,36981000,33700000,27704000,34646000,29949000,23090000,26692000,26441000,27738000,37100000,19900000,17600000,14500000,6300000,3800000,10600000,6400000,6800000,6400000
