,https://roic.ai/company/BPMP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,106778000,103003000,108151000,116439000,128468000,128900000,119000000
2,COGS,20793000,19663000,23738000,21944000,24361000,25900000,- -
3,Gross Profit,85985000,83340000,84413000,94495000,104107000,103000000,- -
4,Gross Profit Ratio,0.8053,0.8091,0.7805,0.8115,0.8104,0.7991,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8129000,8159000,7565000,18654000,16938000,16900000,4000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8129000,8159000,7565000,18654000,16938000,16900000,4000000
9,Other Expenses,364000,366000,393000,483000,722000,700000,11000000
10,Operating Expenses,8493000,8525000,7958000,19137000,17660000,17600000,15000000
11,COGS and Expenses,29286000,28188000,31696000,41081000,42021000,43500000,47000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,107000,4043000,15127000,7900000,4000000
14,Depreciation and Amortization,2502000,2604000,2673000,2658000,2630000,2500000,- -
15,EBITDA,79372000,77939000,49873000,139758000,185641000,178800000,178000000
16,EBITDA ratio,0.7433,0.7567,0.4611,1.2003,1.4450,1.3871,1.4958
17,Operating Income,77492000,74815000,76460000,75358000,85447000,85400000,72200000
18,Operating Income ratio,0.7257,0.7263,0.7070,0.6472,0.6651,0.6625,0.6067
19,Total Other Income Expenses (Gains),-622000,520000,17834000,90318000,101620000,102900000,101800000
20,Income Before Tax,76870000,75335000,94294000,165676000,187067000,188300000,174000000
21,Income Before Tax Ratio,0.7199,0.7314,0.8719,1.4229,1.4561,1.4608,1.4622
22,Income Tax expense (Gain),30128000,29465000,25318000,- -,- -,- -,- -
23,Net Income,46742000,45870000,21775000,133057000,167884000,168400000,174000000
24,Net Income ratio,0.4377,0.4453,0.2013,1.1427,1.3068,1.3064,1.4622
25,EPS,0.45,0.44,0.21,1.27,1.58,1.56,1.66
26,EPS Diluted,0.45,0.44,0.21,1.27,1.58,1.56,1.66
27,Weighted Average Shares Outstanding,104751070,104751070,104800000,104800000,104800000,104800000,104800000
28,Weighted Average Shares Outstanding Diluted,104751070,104751070,104800000,104800000,104800000,104800000,104800000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708301/000170830118000014/0001708301-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830119000007/0001708301-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830120000011/0001708301-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830121000008/0001708301-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830122000006/0001708301-22-000006-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,32694000,56970000,98831000,126900000,136000000
32,Short-Term Investments,- -,- -,- -,- -,- -,519000000,- -
33,Cash and Short-Term Investments,- -,- -,32694000,56970000,98831000,645900000,136000000
34,Net Receivables,16195000,16351000,9669000,10094000,11877000,11200000,11000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,3025000,5296000,10104000,-509500000,2000000
37,Total Current Assets,16195000,16351000,45388000,72360000,120812000,147600000,149000000
38,PP&E,69852000,71235000,69488000,68580000,62693000,67900000,82000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,487999000,549039000,534383000,519900000,504000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2783000,3224000,4208000,3500000,3000000
45,Total Non-Current Assets,69852000,71235000,560270000,620843000,601284000,591300000,589000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,86047000,87586000,605658000,693203000,722096000,738900000,738000000
48,Accounts Payable,1137000,1194000,2539000,3160000,2267000,3800000,1000000
49,Short-Term Debt,- -,- -,15000000,- -,60000,100000,- -
50,Tax Payable,276000,252000,- -,- -,- -,- -,- -
51,Deferred Revenue,220000,- -,- -,1067000,1544000,1800000,3000000
52,Other Current Liabilities,3396000,4067000,4481000,6900000,6539000,7700000,13000000
53,Total Current Liabilities,4753000,5261000,22020000,11127000,10410000,13400000,17000000
54,Long-Term Debt,- -,- -,- -,468000000,468000000,468000000,468000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5179000,5859000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1857000,2524000,2783000,3224000,3456000,3500000,2000000
58,Total Non-Current Liabilities,7036000,8383000,2783000,471224000,471456000,471500000,470000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,60000,100000,- -
61,Total Liabilities,11789000,13644000,24803000,482351000,481866000,484900000,487000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-31628000,-34058000,-36738000,-39390000,-41290000,- -,- -
66,Other Total Stockholders Equity,105886000,108000000,617593000,250242000,281520000,254000000,250000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,250000000
68,Total Liabilities And Stockholders Equity,86047000,87586000,605658000,693203000,722096000,738900000,737000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,1000000
70,Total Liabilities & Equity,86047000,87586000,605658000,693203000,722096000,738900000,738000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708301/000170830118000014/0001708301-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830119000007/0001708301-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830120000011/0001708301-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830121000008/0001708301-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830122000006/0001708301-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,46742000,45870000,21775000,133057000,167884000,168400000,174000000
74,Depreciation and Amortization,2502000,2604000,2673000,2658000,2630000,2500000,- -
75,Deferred Income Tax,1332000,680000,453000,- -,- -,- -,- -
76,Stock Based Compensation,593000,229000,233000,177000,- -,- -,- -
77,Change in Working Capital,-3587000,-352000,12278000,37865000,49169000,23798000,-2200000
78,Accounts Receivable,-1419000,996000,-11015000,-425000,-1782000,700000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-811000,57000,2872000,854000,-2410000,900000,- -
81,Other Working Capital,11442000,11090000,23368000,61233000,110402000,134200000,132000000
82,Other Non-Cash Items,622000,786000,31829000,26000,-30351000,-4298000,-171800000
83,Cash Provided by Operating Activities,48204000,49817000,69241000,173783000,189332000,190400000,- -
84,CAPEX,-730000,-3402000,-2257000,-1604000,-1081000,-3500000,- -
85,Acquisitions Net,- -,- -,- -,-87230000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,7242000,- -,- -,- -,- -
88,Other Investing Activites,-730000,-3402000,-2252000,18066000,10457000,12400000,- -
89,Cash Used for Investing Activites,-730000,-3402000,4990000,-69164000,10457000,12400000,- -
