,https://roic.ai/company/TSQ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,222736000,268578000,373892000,441222000,516866000,507434000,430599000,431408000,371338000,417957000
2,COGS,154566000,185214000,253440000,317835000,384711000,384412000,306861000,300425000,282347000,288302000
3,Gross Profit,68170000,83364000,120452000,123387000,132155000,123022000,123738000,130983000,88991000,129655000
4,Gross Profit Ratio,0.3061,0.3104,0.3222,0.2796,0.2557,0.2424,0.2874,0.3036,0.2396,0.3102
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16287000,21124000,62735000,29689000,29623000,26576000,28845000,31191000,28969000,28260000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16287000,21124000,62735000,29689000,29623000,26576000,28845000,31191000,28969000,28260000
9,Other Expenses,14824000,15189000,16878000,17577000,23976000,25683000,18961000,25836000,20107000,19098000
10,Operating Expenses,31111000,36313000,79613000,47266000,53599000,52259000,47806000,57027000,49076000,47358000
11,COGS and Expenses,185677000,221527000,333053000,365101000,438310000,436671000,354667000,357452000,331423000,335660000
12,Interest Income ,21000,2000,1000,- -,- -,- -,- -,1116000,549000,- -
13,Interest Expense (Gain),25707000,33511000,43343000,34259000,32116000,31024000,32616000,33526000,30324000,39846000
14,Depreciation and Amortization,14824000,15189000,16878000,17577000,23976000,25683000,18961000,25836000,20107000,19098000
15,EBITDA,47271000,59151000,53721000,69590000,96191000,32495000,20236000,-22965000,-55897000,86031000
16,EBITDA ratio,0.2122,0.2202,0.1437,0.1577,0.1861,0.0640,0.0470,-0.0532,-0.1505,0.2058
17,Operating Income,35154000,46186000,40532000,84731000,77430000,11139000,40395000,-37135000,-74968000,74478000
18,Operating Income ratio,0.1578,0.1720,0.1084,0.1920,0.1498,0.0220,0.0938,-0.0861,-0.2019,0.1782
19,Total Other Income Expenses (Gains),-28414000,-35735000,-46613000,-66561000,-37097000,-33041000,-39300000,-34933000,-29441000,-45343000
20,Income Before Tax,6740000,10451000,-6081000,18170000,40333000,-21902000,1095000,-72068000,-104409000,29135000
21,Income Before Tax Ratio,0.0303,0.0389,-0.0163,0.0412,0.0780,-0.0432,0.0025,-0.1671,-0.2812,0.0697
22,Income Tax expense (Gain),340000,4065000,10872000,7924000,17040000,-13027000,1589000,-14564000,-23858000,10351000
23,Net Income,6400000,6386000,-17372000,9830000,23059000,-11185000,-32930000,-67763000,-82470000,16736000
24,Net Income ratio,0.0287,0.0238,-0.0465,0.0223,0.0446,-0.0220,-0.0765,-0.1571,-0.2221,0.0400
25,EPS,0.81,0.84,-1.41,0.58,1.28,-0.56,-1.71,-3.80,-4.46,0.90
26,EPS Diluted,0.81,0.38,-1.41,0.37,0.85,-0.56,-1.71,-3.80,-4.46,0.79
27,Weighted Average Shares Outstanding,7887109,7567623,12013000,17537000,18255000,18459000,18478000,18549000,18647000,16836000
28,Weighted Average Shares Outstanding Diluted,7887109,16736145,12013000,27724000,27313000,18459000,27502000,18549000,18647000,21241000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1499832/000149983215000019/0001499832-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983216000089/0001499832-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983217000011/0001499832-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000162828018003129/0001628280-18-003129-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983219000018/0001499832-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983220000033/0001499832-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983221000046/0001499832-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983222000027/0001499832-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,22305000,45647000,24462000,33298000,51540000,65295000,61390000,84667000,83229000,50505000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,11501,- -
33,Cash and Short-Term Investments,22305000,45647000,24462000,33298000,51540000,65295000,61390000,84667000,83240501,50505000
34,Net Receivables,40431000,56994000,61151000,60143000,59642000,61659000,62464000,67463000,58634000,57647000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2331000,8298000,7553000,9766000,11445000,11450000,9315000,9241000,12416499,12086000
37,Total Current Assets,65067000,110939000,93166000,103207000,122627000,138404000,133169000,161371000,154291000,120238000
38,PP&E,77876000,96294000,96247000,133943000,139607000,146992000,114251000,163645000,160161000,149713000
39,Goodwill,91999000,217150000,242300000,292953000,292953000,243042000,240584000,157947000,157947000,157947000
40,Intangible Assets,362569000,501899000,505839000,517979000,513915000,508399000,482780000,388029000,281160000,278265000
41,Intangible Assets,454568000,719049000,748139000,810932000,806868000,751441000,723364000,545976000,439107000,436212000
42,Investments,234000,234000,484000,5049000,4313000,8092000,9505000,8275000,11501000,18217000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,12376000,12687000,10049000,7580000,7290000,11429000,6909000,1132000,3442000,1931000
45,Total Non-Current Assets,545054000,828264000,854919000,957504000,958078000,917954000,854029000,719028000,614211000,606073000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,610121000,939203000,948085000,1060711000,1080705000,1056358000,987198000,880399000,768502000,726311000
48,Accounts Payable,5142000,8640000,6747000,9549000,10602000,14559000,13481000,14790000,9056000,5676000
49,Short-Term Debt,1164000,2186000,1293000,171000,6901000,9524000,5000,17636000,7581000,- -
50,Tax Payable,922000,952000,862000,2786000,2286000,2017000,2696000,- -,- -,- -
51,Deferred Revenue,3281000,9396000,14299000,17496000,17213000,17683000,14611000,8086000,8847000,10208000
52,Other Current Liabilities,24040000,32231000,30584000,34868000,30435000,31539000,37604000,31053000,40272000,60073000
53,Total Current Liabilities,33627000,52453000,52923000,62084000,65151000,73305000,65701000,71565000,65756000,75957000
54,Long-Term Debt,366283000,651286000,538383000,588657000,564315000,555618000,555330000,546711000,543428000,580264000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,11644000,35233000,50967000,36965000,16031000,34347000,10326000,20081000
57,Other Non-Current Liabilities,1873000,933000,973000,11297000,10221000,9390000,8559000,45340000,48237000,425000
58,Total Non-Current Liabilities,368156000,652219000,551000000,635187000,625503000,601973000,579920000,626398000,601991000,600770000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,52695000,52372000,46139000
61,Total Liabilities,401783000,704672000,603923000,697271000,690654000,675278000,645621000,697963000,667747000,676727000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,174000,179000,184000,185000,190000,190000,191000,169000
64,Retained Earnings,- -,- -,-8439000,1391000,24450000,13265000,-25735000,-188034000,-272602000,-256635000
65,Other Comprehensive Income/Loss,-36808000,-50777000,-65460000,44000,-722000,-532000,- -,-129020000,- -,- -
66,Other Total Stockholders Equity,244704000,284816000,417444000,361186000,365434000,367041000,365835000,496560000,369672000,- -
67,Total Stockholders Equity,207896000,234039000,343719000,362800000,389346000,379959000,340290000,179696000,97261000,46258000
68,Total Liabilities And Stockholders Equity,609679000,938711000,947642000,1060071000,1080000000,1055237000,985911000,877659000,765008000,722985000
69,Minority Interest,442000,492000,443000,640000,705000,1121000,1287000,2740000,3494000,3326000
70,Total Liabilities & Equity,610121000,939203000,948085000,1060711000,1080705000,1056358000,987198000,880399000,768502000,726311000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1499832/000149983215000019/0001499832-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983216000089/0001499832-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983217000011/0001499832-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000162828018003129/0001628280-18-003129-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983219000018/0001499832-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983220000033/0001499832-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983221000046/0001499832-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983222000027/0001499832-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,6400000,6386000,-17372000,9830000,23059000,-11185000,-32930000,-67763000,-82470000,16736000
74,Depreciation and Amortization,14824000,15189000,16878000,17577000,23976000,25683000,18961000,25836000,20107000,19098000
