,https://roic.ai/company/VPG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,171991000,207524000,238107000,217616000,240275000,250823000,232178000,224929000,254350000,299794000,283958000,269812000,317919000
2,COGS,119286000,130396000,154996000,142584000,156420000,158699000,147949000,142120000,156067000,178527000,172341000,165541000,192777000
3,Gross Profit,52705000,77128000,83111000,75032000,83855000,92124000,84229000,82809000,98283000,121267000,111617000,104271000,125142000
4,Gross Profit Ratio,0.3064,0.3717,0.3490,0.3448,0.3490,0.3673,0.3628,0.3682,0.3864,0.4045,0.3931,0.3865,0.3936
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",43356000,57297000,66847000,63666000,74521000,77348000,71282000,68938000,74614000,80935000,79622000,78256000,95273000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,43356000,57297000,66847000,63666000,74521000,77348000,71282000,68938000,74614000,80935000,79622000,78256000,95273000
11,COGS and Expenses,162642000,187693000,221843000,206250000,230941000,236047000,219231000,211058000,230681000,259462000,251963000,243797000,288050000
12,Interest Income ,- -,- -,- -,633000,266000,261000,225000,179000,- -,- -,622000,246000,252000
13,Interest Expense (Gain),1237000,390000,276000,266000,1022000,868000,771000,1486000,1842000,1738000,1507000,1366000,1230000
14,Depreciation and Amortization,11465000,10578000,11321000,11661000,11990000,11677000,11097000,11149000,10626000,10631000,11795000,12507000,14996000
15,EBITDA,19463000,29444000,26684000,22378000,18357000,19310000,12360000,22238000,32982000,46359000,39635000,32169000,41916000
16,EBITDA ratio,0.1132,0.1419,0.1121,0.1028,0.0764,0.0770,0.0532,0.0989,0.1297,0.1546,0.1396,0.1192,0.1318
17,Operating Income,7301000,19831000,16264000,11091000,8002000,8662000,3359000,10711000,21625000,37223000,28648000,22657000,27372000
18,Operating Income ratio,0.0424,0.0956,0.0683,0.0510,0.0333,0.0345,0.0145,0.0476,0.0850,0.1242,0.1009,0.0840,0.0861
19,Total Other Income Expenses (Gains),-523000,-1318000,-1154000,-567000,-2601000,-1719000,-2853000,-1104000,-1062000,-3234000,-2208000,-4348000,-1460000
20,Income Before Tax,6778000,18513000,15110000,10524000,5401000,6943000,506000,9607000,20563000,33989000,26440000,18309000,25912000
21,Income Before Tax Ratio,0.0394,0.0892,0.0635,0.0484,0.0225,0.0277,0.0022,0.0427,0.0808,0.1134,0.0931,0.0679,0.0815
22,Income Tax expense (Gain),5057000,6770000,4316000,-1240000,1054000,2912000,13500000,3199000,6169000,10344000,4145000,7509000,5469000
23,Net Income,1704000,11706000,10771000,11691000,4291000,3853000,-13008000,6404000,14345000,23646000,22188000,10787000,20221000
24,Net Income ratio,0.0099,0.0564,0.0452,0.0537,0.0179,0.0154,-0.0560,0.0285,0.0564,0.0789,0.0781,0.0400,0.0636
25,EPS,0.13,0.88,0.81,0.87,0.32,0.42,-0.96,0.49,1.08,1.76,1.64,0.80,1.49
26,EPS Diluted,0.13,0.85,0.78,0.84,0.31,0.42,-0.96,0.48,1.07,1.75,1.63,0.79,1.48
27,Weighted Average Shares Outstanding,13332000,13332000,13343000,13367000,13563000,13755000,13485000,13187000,13262000,13439000,13515000,13566000,13566000
28,Weighted Average Shares Outstanding Diluted,13332000,13787000,13834000,13889000,13944000,13977000,13485000,13419000,13471000,13535000,13597000,13623000,13623000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1487952/000120677411000602/0001206774-11-000602-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000120677412001017/0001206774-12-001017-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000120677413001032/0001206774-13-001032-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795214000005/0001487952-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795215000011/vpg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795216000067/0001487952-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795217000008/0001487952-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795218000006/0001487952-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795219000008/0001487952-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795220000007/0001487952-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795221000006/0001487952-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795222000006/0001487952-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,63192000,82245000,80828000,93881000,72785000,79642000,62641000,58452000,74292000,90159000,86910000,98438000,84335000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,63192000,82245000,80828000,93881000,72785000,79642000,62641000,58452000,74292000,90159000,86910000,98438000,84335000
34,Net Receivables,23345000,33988000,34214000,28766000,40500000,37514000,35553000,34270000,46789000,53156000,43198000,45339000,58265000
35,Inventory,43802000,48337000,49098000,49389000,54973000,54313000,56200000,56321000,59935000,62241000,66895000,62348000,76427000
36,Other Current Assets,9482000,9562000,13602000,13830000,15284000,15569000,7814000,6831000,10299000,9314000,15558000,15761000,15916000
37,Total Current Assets,139821000,174132000,177742000,185866000,183542000,187038000,162208000,155874000,191315000,214870000,212561000,221886000,234943000
38,PP&E,44599000,46747000,53738000,52092000,49323000,51982000,56631000,55285000,55674000,59419000,61270000,96804000,108984000
39,Goodwill,- -,- -,- -,- -,18880000,12788000,12603000,18717000,19181000,16141000,35018000,31105000,45830000
40,Intangible Assets,- -,- -,- -,8009000,22458000,17489000,17683000,21585000,20475000,17656000,34198000,32039000,52437000
41,Intangible Assets,17217000,14500000,11102000,8009000,41338000,30277000,30286000,40302000,39656000,33797000,69216000,63144000,98267000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8142000,13334000,14023000,17206000,17901000,20590000,15176000,19049000,19906000,18297000,27366000,20053000,19695000
45,Total Non-Current Assets,69958000,74581000,78863000,77307000,108562000,102849000,102093000,114636000,115236000,111513000,157852000,180001000,226946000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,209779000,248713000,256605000,263173000,292104000,289887000,264301000,270510000,306551000,326383000,370413000,401887000,461889000
48,Accounts Payable,5805000,11537000,11458000,9190000,10258000,10371000,8004000,8264000,13678000,11461000,8869000,10487000,14876000
49,Short-Term Debt,184000,- -,185000,167000,4137000,5120000,2120000,2623000,3878000,4654000,47343000,4029000,4610000
