,https://roic.ai/company/PTMN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1151903,38479014,49212210,33896551,29353864,28006524,33643204,26417202,24580322,-9018257,7559769,12971243,107334,-469039,37615876,37308000
2,COGS,- -,- -,- -,- -,- -,- -,- -,10116271,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,49212210,33896551,29353864,28006524,- -,16300931,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,0.6171,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,7580669,6264333,10368543,7398839,4344611,4563749,4594983,5772502,4495942,5011852,5666137,8342344,6600078,9447000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,7580669,6264333,10368543,7398839,4344611,4563749,4594983,5772502,4495942,5011852,5666137,8342344,6600078,9447000
9,Other Expenses,- -,15720065,- -,- -,- -,- -,3172814,4630481,4951745,3843799,4103558,4571309,4012743,3688578,-556880,1835000
10,Operating Expenses,- -,15720065,7580669,6264333,10368543,7398839,7517425,9194230,9546728,9616301,8599500,9583161,9678880,12030922,6043198,11282000
11,COGS and Expenses,641278,15720065,7580669,6264333,10368543,7398839,- -,19310501,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,10925624,9276563,7088202,4588482,12510310,13987891,21389884,24111496,20858299,15135127,15015364,14456525,28226004,- -
13,Interest Expense (Gain),- -,- -,10925624,9276563,7088202,4588482,6976018,10116271,11538179,11727880,9110603,7661407,7403436,8261445,10283996,13644000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165039,- -,- -
15,EBITDA,4670540,26141985,1358297,43679833,-7200475,12238026,33101797,27339243,26571773,-6906678,8070872,11049489,-2168110,-4403555,41856674,39670000
16,EBITDA ratio,4.0546,0.6794,0.0276,1.2886,-0.2453,0.4370,0.9839,1.0349,1.0810,0.7659,1.0676,0.8518,-20.1997,9.3885,1.1127,1.0633
17,Operating Income,510625,22758949,30705917,18330655,11897119,16019203,- -,28955639,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.4433,0.5915,0.6239,0.5408,0.4053,0.5720,- -,1.0961,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-40273244,16072615,-26185796,-8369659,- -,-11732667,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,26125779,17222972,15033594,-18634558,-1039731,3388082,-9571546,-12499961,31572678,26026000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.7766,0.6520,0.6116,2.0663,-0.1375,0.2612,-89.1753,26.6502,0.8393,0.6976
