,https://roic.ai/company/PRMW,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,117000000,261600000,500000000,776500000,929400000,1002700000,958500000,990800000,990600000,1090100000,1198600000,1417800000,1646300000,1755300000,1771800000,1776400000,1648100000,1596700000,1803300000,2334600000,2250600000,2094000000,2102800000,2944000000,3235900000,2269700000,2372900000,2394500000,1953500000,- -
2,COGS,- -,93700000,219100000,409500000,666000000,812100000,834700000,812800000,807600000,786500000,902700000,965700000,1141000000,1362600000,1505800000,1554900000,1578000000,1467100000,1346900000,1537000000,2058000000,1961100000,1842000000,1826300000,2048500000,2161700000,1142000000,1197300000,1166700000,839600000,- -
3,Gross Profit,- -,23300000,42500000,90500000,110500000,117300000,168000000,145700000,183200000,204100000,187400000,232900000,276800000,283700000,249500000,216900000,198400000,181000000,249800000,266300000,276600000,289500000,252000000,276500000,895500000,1074200000,1127700000,1175600000,1227800000,1113900000,- -
4,Gross Profit Ratio,- -,0.1991,0.1625,0.1810,0.1423,0.1262,0.1675,0.1520,0.1849,0.2060,0.1719,0.1943,0.1952,0.1723,0.1421,0.1224,0.1117,0.1098,0.1564,0.1477,0.1185,0.1286,0.1203,0.1315,0.3042,0.3320,0.4968,0.4954,0.5128,0.5702,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,10100000,19500000,35400000,54900000,75100000,76000000,93800000,99100000,91300000,94100000,110200000,126100000,138100000,138600000,176100000,161900000,179800000,146800000,166700000,172700000,178000000,160400000,255000000,768600000,958100000,1042700000,1092100000,1113000000,1006600000,- -
9,Other Expenses,- -,1400000,3400000,8100000,13300000,27800000,35100000,43700000,39100000,39000000,- -,- -,1800000,900000,34300000,15400000,66700000,107500000,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,11500000,22900000,43500000,68200000,102900000,111100000,137500000,138200000,130300000,94100000,110200000,127900000,139000000,172900000,191500000,228600000,287300000,146800000,167800000,172700000,178000000,160400000,255000000,768600000,958100000,1042700000,1092100000,1113000000,1006600000,- -
11,COGS and Expenses,- -,105200000,242000000,453000000,734200000,915000000,945800000,950300000,945800000,916800000,996800000,1075900000,1268900000,1501600000,1678700000,1746400000,1806600000,1754400000,1493700000,1704800000,2230700000,2139100000,2002400000,2081300000,2817100000,3119800000,2184700000,2289400000,2279700000,1846200000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,37000000,57100000,54200000,51600000,39700000,111000000,124200000,85500000,77600000,78200000,81600000,- -
14,Depreciation and Amortization,- -,1400000,3400000,8100000,13300000,27800000,35100000,43700000,39100000,39000000,42100000,45800000,52700000,60700000,71000000,87900000,73500000,80700000,66200000,74000000,95300000,97700000,100800000,110700000,223800000,238700000,188600000,194600000,192800000,202100000,- -
15,EBITDA,- -,10400000,20700000,53300000,52100000,-900000,69200000,-69800000,53800000,85000000,105200000,78600000,170200000,174800000,110300000,54100000,-11800000,-61600000,154700000,184300000,189300000,204300000,171600000,99800000,326600000,310700000,242700000,650300000,283400000,156300000,- -
16,EBITDA ratio,- -,0.0889,0.0791,0.1066,0.0671,-0.0010,0.0690,-0.0728,0.0543,0.0858,0.0965,0.0656,0.1200,0.1062,0.0628,0.0305,-0.0066,-0.0374,0.0969,0.1022,0.0811,0.0908,0.0819,0.0475,0.1109,0.0960,0.1069,0.2741,0.1184,0.0800,- -
17,Operating Income,- -,11800000,19600000,47000000,42300000,14400000,56900000,8200000,45000000,73800000,93300000,122700000,148900000,144700000,73400000,2300000,-54500000,-113000000,97400000,99000000,100700000,109700000,88600000,15700000,99400000,82200000,48900000,58800000,90400000,-52200000,- -
18,Operating Income ratio,- -,0.1009,0.0749,0.0940,0.0545,0.0155,0.0567,0.0086,0.0454,0.0745,0.0856,0.1024,0.1050,0.0879,0.0418,0.0013,-0.0307,-0.0686,0.0610,0.0549,0.0431,0.0487,0.0423,0.0075,0.0338,0.0254,0.0215,0.0248,0.0378,-0.0267,- -
19,Total Other Income Expenses (Gains),- -,-2800000,-2300000,-1800000,-3500000,-39900000,-26200000,-108000000,-27400000,-26600000,-30200000,-34900000,-31200000,-29900000,-34100000,-36100000,-30800000,-29300000,-34100000,-20600000,-60200000,-52800000,-64400000,-60700000,-101500000,-128100000,-82500000,-34700000,-81000000,-100300000,- -
20,Income Before Tax,- -,9000000,17300000,45200000,38800000,-25500000,30700000,-99800000,17600000,47200000,63100000,87800000,117700000,114800000,39300000,-33800000,-85300000,-142300000,63300000,78400000,40500000,56900000,24200000,-45000000,-2100000,-45900000,-33600000,24100000,9400000,-152500000,- -
21,Income Before Tax Ratio,- -,0.0769,0.0661,0.0904,0.0500,-0.0274,0.0306,-0.1041,0.0178,0.0476,0.0579,0.0733,0.0830,0.0697,0.0224,-0.0191,-0.0480,-0.0863,0.0396,0.0435,0.0173,0.0253,0.0116,-0.0214,-0.0007,-0.0142,-0.0148,0.0102,0.0039,-0.0781,- -
22,Income Tax expense (Gain),- -,2100000,7200000,18600000,14100000,-7300000,8800000,-4000000,-3800000,20600000,23200000,28900000,40100000,35800000,14700000,-16300000,-13900000,-19500000,-22800000,18600000,-700000,4600000,2200000,-61400000,-22700000,25600000,-30000000,-4800000,9500000,4300000,- -
23,Net Income,- -,6900000,10100000,26600000,24700000,-21400000,25300000,-109500000,18500000,25400000,39900000,3900000,77400000,78300000,24600000,-17500000,-71400000,-122800000,81500000,54700000,37600000,47800000,17000000,10800000,14500000,-77800000,-1400000,382900000,2900000,-131700000,- -
24,Net Income ratio,- -,0.0590,0.0386,0.0532,0.0318,-0.0230,0.0252,-0.1142,0.0187,0.0256,0.0366,0.0033,0.0546,0.0476,0.0140,-0.0099,-0.0402,-0.0745,0.0510,0.0303,0.0161,0.0212,0.0081,0.0051,0.0049,-0.0240,-0.0006,0.1614,0.0012,-0.0674,- -
25,EPS,- -,0.36,0.20,0.47,0.41,-0.36,0.41,-1.75,0.31,0.42,0.66,0.06,1.12,1.10,0.34,-0.24,-0.99,-1.73,1.10,0.64,0.40,0.51,0.18,0.11,-0.03,-0.61,-0.01,2.75,0.02,-0.85,- -
26,EPS Diluted,- -,0.33,0.20,0.46,0.40,-0.36,0.41,-1.75,0.28,0.38,0.58,0.06,1.09,1.09,0.34,-0.24,-0.99,-1.73,1.08,0.63,0.40,0.50,0.18,0.10,-0.03,-0.61,-0.01,2.71,0.02,-0.85,- -
27,Weighted Average Shares Outstanding,- -,19166667,50500000,56595745,60243902,59444444,61707317,62571429,59677419,60476190,60454545,65000000,69107143,71181818,72352941,72916667,71831000,71017000,74207000,85588000,94241000,94600000,94800000,93800000,103000000,128300000,139078000,139097000,135224000,155446000,- -
28,Weighted Average Shares Outstanding Diluted,- -,20909091,50500000,57826087,61750000,59444444,61707317,62571429,66071429,66842105,68793103,65000000,71009174,71834862,72352941,72916667,71831000,71017000,75215000,86185000,95001000,94800000,95600000,95900000,103000000,128300000,139078000,141436000,135224000,155446000,- -
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884713/000088471321000004/0000884713-21-000004-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
