,https://roic.ai/company/TCCO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5300000,2600000,3300000,10400000,13400000,11300000,12500000,14500000,9700000,9100000,10200000,14010000,12260000,13860000,6430000,5574108,4270000,3720000,4050000,4880000,3720000,3896542,4920000,6850000,7750000,21550000,12100000,8120000,6250000,6140000,5942160,2522930,4209127,3684940,7024120,4108240,1866379
2,COGS,2100000,1500000,1400000,4600000,4800000,3300000,4000000,5300000,4500000,3500000,4400000,5780000,5150000,5460000,3130000,1642453,3440000,1460000,1550000,1800000,1320000,1446739,1520000,2660000,2910000,5410000,2290000,1840000,2110000,2030000,2577130,2013650,1917890,2712730,3666460,1723637,1309712
3,Gross Profit,3200000,1100000,1900000,5800000,8600000,8000000,8500000,9200000,5200000,5600000,5800000,8230000,7110000,8400000,3300000,3931655,830000,2260000,2500000,3080000,2400000,2449803,3400000,4190000,4840000,16140000,9810000,6280000,4140000,4110000,3365030,509280,2291237,972210,3357660,2384603,556667
4,Gross Profit Ratio,0.6038,0.4231,0.5758,0.5577,0.6418,0.7080,0.6800,0.6345,0.5361,0.6154,0.5686,0.5874,0.5799,0.6061,0.5132,0.7053,0.1944,0.6075,0.6173,0.6311,0.6452,0.6287,0.6911,0.6117,0.6245,0.7490,0.8107,0.7734,0.6624,0.6694,0.5663,0.2019,0.5443,0.2638,0.4780,0.5804,0.2983
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1500000,1960000,2380000,1420000,1940000,1156692,1630000,1170000,570000,440000,920000,924263,890000,940000,1890000,2610000,3530000,4420000,2730000,2730000,2299670,827990,1584210,520660,332700,1068641,732020
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,5580000,6280000,6220000,4310000,3874424,3700000,2060000,1490000,1540000,1560000,1678534,1750000,2340000,2530000,2810000,2810000,3310000,2960000,2980000,2940150,2670620,2144532,1941180,2407210,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2700000,2500000,1700000,3500000,5800000,5900000,6400000,7500000,5000000,4000000,3800000,5600000,6300000,6200000,4300000,3874424,3699924,2063297,1489735,1541602,1561812,1678534,1747907,2334911,2533658,2807688,2812761,3310044,2956465,2980388,2940147,2670622,2144532,1941175,2407214,2227067,1842094
9,Other Expenses,100000,100000,100000,100000,100000,100000,100000,200000,200000,300000,500000,-20000,-10000,20000,10000,733980,76,-3297,-9735,8398,-1812,- -,-7907,5089,-3658,-7688,7239,-44,3535,-388,3,-2,- -,-5,6,- -,-948805
10,Operating Expenses,2800000,2600000,1800000,3600000,5900000,6000000,6500000,7700000,5200000,5500000,5800000,7540000,8670000,7640000,6250000,5765096,5330000,3230000,2050000,1990000,2480000,2602797,2630000,3280000,4420000,5410000,6350000,7730000,5690000,5710000,5239820,3498610,3728742,2461830,2739920,3295708,1625309
11,COGS and Expenses,4900000,4100000,3200000,8200000,10700000,9300000,10500000,13000000,9700000,9000000,10200000,13320000,13820000,13100000,9380000,7407549,8770000,4690000,3600000,3790000,3800000,4049536,4150000,5940000,7330000,10820000,8640000,9570000,7800000,7740000,7816950,5512260,5646632,5174560,6406380,5019345,2935021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19747
14,Depreciation and Amortization,100000,100000,100000,100000,100000,100000,100000,200000,200000,300000,500000,900000,900000,900000,900000,733980,425277,184803,106979,56534,45533,30031,34381,61144,119530,171349,214694,216538,199114,201831,199251,158838,98750,48213,27942,22148,14328
15,EBITDA,500000,-1400000,200000,2300000,3300000,2400000,2400000,1900000,300000,400000,600000,1610000,-760000,1540000,-730000,-832958,-4074723,-775197,566979,1186534,15533,-64143,10044381,-57498856,-478849470,2872782349,1202260694,-1220453,-1309688,-1368056,-1657274,-2356916,-1330256,-1431387,659372,-888502,-1054311
16,EBITDA ratio,0.0943,-0.5385,0.0606,0.2212,0.2463,0.2124,0.1920,0.1310,0.0309,0.0440,0.0588,0.1149,-0.0620,0.1111,-0.1135,-0.1494,-0.9543,-0.2084,0.1400,0.2431,0.0042,-0.0165,2.0415,-8.3940,-61.7870,133.3078,99.3604,-0.1503,-0.2096,-0.2228,-0.2789,-0.9342,-0.3160,-0.3884,0.0939,-0.2163,-0.5649
17,Operating Income,400000,-1500000,100000,2200000,2700000,2000000,2000000,1500000,- -,100000,- -,600000,-1600000,800000,-2900000,-1833441,-4504228,-976877,448256,1086933,-77036,-152994,765772,912143,423137,10728780,3466706,-1453239,-1545683,-1605050,-1874789,-2989328,-1437505,-1489625,617745,-911105,-2017447
18,Operating Income ratio,0.0755,-0.5769,0.0303,0.2115,0.2015,0.1770,0.1600,0.1034,- -,0.0110,- -,0.0428,-0.1305,0.0577,-0.4510,-0.3289,-1.0549,-0.2626,0.1107,0.2227,-0.0207,-0.0393,0.1556,0.1332,0.0546,0.4979,0.2865,-0.1790,-0.2473,-0.2614,-0.3155,-1.1849,-0.3415,-0.4042,0.0879,-0.2218,-1.0809
19,Total Other Income Expenses (Gains),- -,- -,100000,- -,500000,300000,300000,200000,200000,200000,300000,110000,-60000,-160000,1280000,266503,-5772,16877,11744,43067,47036,58820,94228,87857,36863,1220,3294,13239,35683,35050,18259,473578,8499,10025,13685,455,929061
20,Income Before Tax,400000,-1500000,- -,2200000,3200000,2300000,2300000,1700000,- -,- -,- -,710000,-1660000,640000,-1620000,-1566938,-4510000,-960000,460000,1130000,-30000,-94174,860000,1000000,460000,10730000,3470000,-1440000,-1510000,-1570000,-1856530,-2515750,-1429006,-1479600,631430,-910650,-1088386
21,Income Before Tax Ratio,0.0755,-0.5769,- -,0.2115,0.2388,0.2035,0.1840,0.1172,- -,- -,- -,0.0507,-0.1354,0.0462,-0.2519,-0.2811,-1.0562,-0.2581,0.1136,0.2316,-0.0081,-0.0242,0.1748,0.1460,0.0594,0.4979,0.2868,-0.1773,-0.2416,-0.2557,-0.3124,-0.9972,-0.3395,-0.4015,0.0899,-0.2217,-0.5832
22,Income Tax expense (Gain),100000,-300000,- -,900000,1200000,800000,700000,400000,- -,- -,- -,180000,-420000,160000,-410000,173376,160000,- -,- -,- -,- -,- -,9160000,-58620000,-479909000,2864741000,1199776000,-596991,-798802,990113,-34625,-43464,- -,- -,- -,- -,- -
23,Net Income,300000,-1200000,100000,1300000,2000000,1500000,1600000,1300000,100000,100000,100000,530000,-1240000,480000,-1220000,-1740314,-4660000,-960000,460000,1130000,-30000,-94174,850000,1060000,940000,7870000,2270000,-840000,-710000,-2560000,-1821900,-2472290,-1429006,-1479600,631430,-910650,-1088386
24,Net Income ratio,0.0566,-0.4615,0.0303,0.1250,0.1493,0.1327,0.1280,0.0897,0.0103,0.0110,0.0098,0.0378,-0.1011,0.0346,-0.1897,-0.3122,-1.0913,-0.2581,0.1136,0.2316,-0.0081,-0.0242,0.1728,0.1547,0.1213,0.3652,0.1876,-0.1034,-0.1136,-0.4169,-0.3066,-0.9799,-0.3395,-0.4015,0.0899,-0.2217,-0.5832
25,EPS,0.29,-0.99,0.06,1.05,1.62,1.25,1.27,1.02,0.07,0.09,0.07,0.42,-0.98,0.38,-0.96,-1.35,-3.54,-0.72,0.34,0.84,-0.02,-0.07,0.62,0.75,0.65,4.68,1.24,-0.46,-0.39,-1.39,-0.99,-1.34,-0.78,0.06,0.34,-0.49,-0.59
26,EPS Diluted,0.29,-0.99,0.06,1.02,1.62,1.25,1.27,1.02,0.07,0.09,0.07,0.42,-0.98,0.37,-0.96,-1.35,-3.54,-0.72,0.34,0.75,-0.02,-0.07,0.55,0.63,0.58,4.33,1.21,-0.46,-0.39,-1.39,-0.99,-1.34,-0.78,0.06,0.34,-0.49,-0.59
27,Weighted Average Shares Outstanding,1034483,1212121,1213000,1238095,1234568,1200000,1259843,1274510,1428571,1111111,1428571,1257384,1270625,1281924,1264626,1289523,1315440,1331238,1336703,1344087,1356628,1369665,1376706,1414101,1444427,1679755,1826441,1828261,1830769,1845324,1840404,1844776,1832051,1750000,1817647,1850403,1844068
28,Weighted Average Shares Outstanding Diluted,1034483,1212121,1213000,1274510,1234568,1200000,1259843,1274510,1428571,1111111,1428571,1257384,1270625,1288007,1264626,1289523,1315440,1331238,1342863,1515554,1356628,1369665,1534703,1679531,1632883,1816300,1872221,1828261,1830769,1845324,1840404,1844776,1832051,1750000,1817647,1850403,1844068
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000100468395000003/0001004683-95-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000092701600004507/0000927016-00-004507-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000119312503099066/0001193125-03-099066-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312504219229/0001193125-04-219229-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312505247778/0001193125-05-247778-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312506260948/0001193125-06-260948-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000136231007003381/0001362310-07-003381-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000136231008008462/0001362310-08-008462-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012309071975/0000950123-09-071975-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012310115828/0000950123-10-115828-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012311103881/0000950123-11-103881-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312512513200/0001193125-12-513200-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312513479174/0001193125-13-479174-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312514450648/0001193125-14-450648-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312515407793/0001193125-15-407793-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000114420416141277/0001144204-16-141277-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000114420417065891/0001144204-17-065891-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184319004124/0001171843-19-004124-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184319008104/0001171843-19-008104-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184320008787/0001171843-20-008787-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184321008672/0001171843-21-008672-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,6380000,1880000,740000,2340000,3121617,1620000,440000,1100000,2240000,1200000,1870713,2620000,3620000,5420000,11030000,9230000,2060000,2810000,2860000,2276510,2589040,1283673,1982430,1593400,1513852,298022
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4670000,1770000,1730000,307670,362170,360253,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,6380000,1880000,740000,2340000,3121617,1620000,440000,1100000,2240000,1200000,1870713,2620000,3620000,5420000,11030000,9230000,6730000,4580000,4590000,2584180,2951210,1643926,1982430,1593400,1513852,298022
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,3220000,3460000,8200000,2600000,363742,70000,270000,270000,330000,970000,206320,420000,720000,400000,130000,1220000,2240000,2100000,400000,1790860,111850,730177,559490,125920,134412,280807
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2620000,3420000,3120000,3040000,3452403,1260000,1370000,1190000,1250000,1450000,1504613,1910000,1920000,2420000,2610000,3280000,2630000,2620000,2720000,1850890,1643920,1358344,1368700,1042210,902051,1157382
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,190000,1240000,950000,1170000,427480,350000,160000,100000,170000,80000,92298,100000,190000,740000,630000,640000,790000,1120000,560000,496150,241640,148623,142280,118250,153483,169479
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,12410000,10000000,13010000,9150000,7365242,3300000,2240000,2660000,3990000,3700000,3673944,5050000,6450000,8980000,14400000,14370000,12390000,10420000,8270000,6722080,4948620,3881070,4052900,2879780,2703798,1905690
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1580000,1180000,1050000,680000,568866,350000,190000,110000,80000,100000,83393,110000,270000,340000,430000,480000,450000,470000,430000,256850,148930,53754,49200,37480,577496,410920
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330000,1110000,900000,680000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,467869,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1330000,1110000,900000,680000,467869,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462622,1105140,1036842,373668,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,680000,350000,310000,150000,740,10000,-10000,- -,- -,- -,- -,-10000,- -,- -,- -,-10000,- -,-2622,4860,-12,-8,- -,10,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3590000,2890000,3160000,1510000,1037475,360000,180000,110000,80000,100000,83393,100000,270000,340000,430000,470000,450000,1930000,1540000,1293680,522590,53754,49210,37480,577496,410920
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,16000000,12890000,16170000,10660000,8402717,3660000,2420000,2770000,4070000,3800000,3757337,5150000,6720000,9320000,14830000,14840000,12840000,12350000,9810000,8015760,5471210,3934824,4102110,2917260,3281294,2316610
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,510000,860000,300000,260000,524231,230000,190000,110000,170000,100000,113954,250000,170000,250000,310000,310000,170000,260000,170000,179580,119090,109224,187960,355160,66154,105676
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,- -,2250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152248,1158564
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76859,41117,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,566294000,468501000,498771000,618078000,894459000,- -,- -,- -,53886,2106514,2107000,636353,45124
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,3760000,1990000,2650000,1100000,598022,750000,500000,470000,580000,390000,413509,720000,-74130000,-563934000,-465571000,-497671000,-617538000,-893789000,570000,463440,437760,271360,274576,-1764450,505595,264849
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,4270000,2850000,5200000,1360000,1122253,980000,690000,580000,750000,490000,527463,970000,1040000,2610000,3240000,1410000,710000,930000,740000,643020,556850,434470,2569050,697710,1360350,1574213
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,397955
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618078,894459,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,530000,450000,370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406519,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,1200000,530000,450000,370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556519,397955
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558767,406519
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,5470000,3380000,5650000,1730000,1122253,980000,690000,580000,750000,490000,527463,970000,1040000,2610000,3240000,1410000,710000,930000,740000,643020,556850,434470,2569050,697710,1916869,1972168
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,130000,130000,130000,131215,130000,130000,130000,140000,140000,137169,140000,140000,150000,180000,180000,180000,180000,180000,183990,183990,183988,185040,185040,185041,185440
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,9710000,8460000,8950000,7710000,5973280,1180000,220000,680000,1810000,1780000,1686005,2530000,3590000,4540000,8400000,9940000,8360000,7470000,4900000,3078660,606370,-822636,-2786360,-2154930,-3065581,-4153967
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-2650000,-3200000,420000,-3960000,-4330749,-4570000,-4760000,-4860000,-4920000,-4970000,-4994339,-2850000,-2920000,-3030000,-3200000,-3420000,10042,-2020,-3598,- -,1000000,-4481085,-4529300,-4554280,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,3340000,4120000,1020000,5060000,5506718,5940000,6140000,6233435,6294630,6365707,6401039,4368356,4867687,5052658,6205045,6732904,3577037,3774064,3991447,4110092,3124004,8620087,8663676,8743719,4244965,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,10530000,9510000,10520000,8940000,7280464,2680000,1730000,2183435,3324630,3315707,3229874,4188356,5677687,6712658,11585045,13432904,12127079,11422044,9067849,7372742,4914364,3500354,1533056,2219549,1364425,344442
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,16000000,12890000,16170000,10670000,8402717,3660000,2420000,2763435,4074630,3805707,3757337,5158356,6717687,9322658,14825045,14842904,12837079,12352044,9807849,8015762,5471214,3934824,4102106,2917259,3281294,2316610
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,6565,-4630,-5707,- -,-8356,2313,-2658,4955,-2904,2921,-2044,2151,-2,-4,- -,4,1,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,16000000,12890000,16170000,10660000,8402717,3660000,2420000,2770000,4070000,3800000,3757337,5150000,6720000,9320000,14830000,14840000,12840000,12350000,9810000,8015760,5471210,3934824,4102110,2917260,3281294,2316610
