,https://roic.ai/company/ONTX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1487000,46190000,4753000,800000,11456000,5546000,787000,1228000,2183000,231000,226000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,46190000,4753000,800000,- -,- -,- -,- -,- -,231000,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,22624000,52762000,50182000,49425000,25895000,20071000,19119000,16924000,15537000,16898000,7297000
6,General and Administrative Exp.,6436000,- -,16793000,15119000,9533000,9178000,7405000,7586000,8345000,8326000,9425000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6436000,- -,16793000,15119000,9533000,9178000,7405000,7586000,8345000,8326000,9425000
9,Other Expenses,- -,15707000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29060000,68469000,66975000,64544000,35428000,29249000,26524000,24510000,23882000,25224000,16722000
11,COGS and Expenses,29060000,68469000,66975000,64544000,35428000,29249000,26524000,24510000,23882000,25224000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),19000,8608000,4000,2000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,316000,319000,446000,434000,150000,96000,88000,55000,14000,13000,14000
15,EBITDA,-25959000,-20985000,-61658000,-63227000,-23813000,-19557000,-23991000,-20642000,-21479000,-25140000,-16149000
16,EBITDA ratio,-17.4573,-0.4543,-12.9724,-79.0337,-2.0786,-3.5263,-30.4841,-16.8094,-9.8392,-108.8312,-71.4558
17,Operating Income,-27573000,-22279000,-62222000,-63744000,-23972000,-23703000,-25737000,-23282000,-21699000,-24993000,-16496000
18,Operating Income ratio,-18.5427,-0.4823,-13.0911,-79.6800,-2.0925,-4.2739,-32.7027,-18.9593,-9.9400,-108.1948,-72.9912
