,https://roic.ai/company/RNG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,50222000,78877000,114526000,160505000,219887000,296228000,379724000,501526000,673624000,902858000,1183657000,1594754000
2,COGS,22452000,32998000,44903000,61519000,76773000,87271000,92211000,121271000,157129000,231043000,323607000,448369000
3,Gross Profit,27770000,45879000,69623000,98986000,143114000,208957000,287513000,380255000,516495000,671815000,860050000,1146385000
4,Gross Profit Ratio,0.5529,0.5817,0.6079,0.6167,0.6509,0.7054,0.7572,0.7582,0.7667,0.7441,0.7266,0.7188
5,Research and Development Exp.,7208000,12199000,24450000,33399000,44582000,52924000,65514000,75148000,101042000,136363000,189484000,309739000
6,General and Administrative Exp.,4934000,12969000,24434000,34284000,38910000,47114000,55454000,72313000,102773000,142027000,200032000,284276000
7,Selling and Marketing Exp.,22922000,34550000,54566000,72336000,104827000,139851000,192497000,260069000,329116000,439100000,583773000,854156000
8,"Selling, General and Administrative Exp.",27856000,47519000,79000000,106620000,143737000,186965000,247951000,332382000,431889000,581127000,783805000,1138432000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35064000,59718000,103450000,140019000,188319000,239889000,313465000,407530000,532931000,717490000,973289000,1448171000
11,COGS and Expenses,57516000,92716000,148353000,201538000,265092000,327160000,405676000,528801000,690060000,948533000,1296896000,1896540000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),184000,158000,1503000,5384000,2007000,1123000,746000,99000,16102000,20512000,49281000,64382000
14,Depreciation and Amortization,1270000,3546000,6191000,8980000,10378000,13467000,14663000,16214000,23273000,37870000,75612000,125292000
15,EBITDA,-5852000,-10184000,-27604000,-31779000,-35858000,-18772000,-13664000,-9570000,13312000,1442000,42831000,-184048000
16,EBITDA ratio,-0.1165,-0.1291,-0.2410,-0.1980,-0.1631,-0.0634,-0.0360,-0.0191,0.0198,0.0016,0.0362,-0.1154
17,Operating Income,-7294000,-13839000,-33827000,-41033000,-45205000,-30932000,-25952000,-27275000,-16436000,-45675000,-113239000,-301786000
18,Operating Income ratio,-0.1452,-0.1755,-0.2954,-0.2556,-0.2056,-0.1044,-0.0683,-0.0544,-0.0244,-0.0506,-0.0957,-0.1892
19,Total Other Income Expenses (Gains),-12000,-49000,-1471000,-5110000,-3038000,-2430000,-3121000,1392000,-9627000,-11265000,31177000,-71936000
20,Income Before Tax,-7306000,-13888000,-35298000,-46143000,-48243000,-33362000,-29073000,-25883000,-26063000,-56940000,-82062000,-373722000
21,Income Before Tax Ratio,-0.1455,-0.1761,-0.3082,-0.2875,-0.2194,-0.1126,-0.0766,-0.0516,-0.0387,-0.0631,-0.0693,-0.2343
22,Income Tax expense (Gain),1000,15000,92000,-45000,97000,-1263000,236000,258000,140000,-3333000,934000,2528000
23,Net Income,-7307000,-13903000,-35390000,-46098000,-48340000,-32099000,-29309000,-26141000,-26203000,-53607000,-82996000,-376250000
24,Net Income ratio,-0.1455,-0.1763,-0.3090,-0.2872,-0.2198,-0.1084,-0.0772,-0.0521,-0.0389,-0.0594,-0.0701,-0.2359
25,EPS,-0.14,-0.26,-0.67,-1.39,-0.72,-0.46,-0.40,-0.34,-0.33,-0.64,-0.94,-4.10
26,EPS Diluted,-0.14,-0.26,-0.67,-1.39,-0.72,-0.46,-0.40,-0.34,-0.33,-0.64,-0.94,-4.10
27,Weighted Average Shares Outstanding,53068000,53068000,53068000,33155000,66818000,70069000,72994000,76281000,79500000,83130000,88684000,91811000
28,Weighted Average Shares Outstanding Diluted,53068000,53068000,53068000,33155000,66818000,70069000,72994000,76281000,79500000,83130000,88684000,91811000
