,https://roic.ai/company/PLTR,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,595409000,742555000,1092673000,1541889000
2,COGS,165401000,242373000,352547000,339404000
3,Gross Profit,430008000,500182000,740126000,1202485000
4,Gross Profit Ratio,0.7222,0.6736,0.6774,0.7799
5,Research and Development Exp.,285451000,305563000,560660000,387487000
6,General and Administrative Exp.,306235000,320943000,669444000,611532000
7,Selling and Marketing Exp.,461762000,450120000,683701000,614512000
8,"Selling, General and Administrative Exp.",767997000,771063000,1353145000,1226044000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,1053448000,1076626000,1913805000,1613531000
11,COGS and Expenses,1218849000,1318999000,2266352000,1952935000
12,Interest Income ,10500000,15090000,4680000,1607000
13,Interest Expense (Gain),3440000,3061000,14139000,3640000
14,Depreciation and Amortization,13910000,12255000,13871000,14897000
15,EBITDA,-553575000,-551955000,-1151017000,-469957000
16,EBITDA ratio,-0.9297,-0.7433,-1.0534,-0.3048
17,Operating Income,-623440000,-576444000,-1173679000,-411046000
18,Operating Income ratio,-1.0471,-0.7763,-1.0741,-0.2666
19,Total Other Income Expenses (Gains),52515000,9173000,-5348000,-77448000
20,Income Before Tax,-570925000,-567271000,-1179027000,-488494000
21,Income Before Tax Ratio,-0.9589,-0.7639,-1.0790,-0.3168
22,Income Tax expense (Gain),9102000,12375000,-12636000,31885000
23,Net Income,-580027000,-579646000,-1166391000,-520379000
24,Net Income ratio,-0.9742,-0.7806,-1.0675,-0.3375
25,EPS,-0.84,-0.42,-1.19,-0.26
26,EPS Diluted,-0.89,-0.42,-1.20,-0.26
27,Weighted Average Shares Outstanding,713879000,1389929814,977721736,1964395000
28,Weighted Average Shares Outstanding Diluted,716027000,1389929814,979330067,1964395000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1321655/000119312521060650/0001193125-21-060650-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/0001193125-22-050913-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,1116342000,1079154000,2011323000,2290674000
32,Short-Term Investments,- -,- -,- -,234153000
33,Cash and Short-Term Investments,1116342000,1079154000,2011323000,2524827000
34,Net Receivables,19187000,50315000,156932000,190923000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,84547000,84684000,89174000,147500000
37,Total Current Assets,1220076000,1214153000,2257429000,2863250000
38,PP&E,30034000,31589000,246616000,248202000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,17500000,26145000,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,163355000,322138000,186459000,135998000
45,Total Non-Current Assets,210889000,379872000,433075000,384200000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1430965000,1594025000,2690504000,3247450000
48,Accounts Payable,27399000,51735000,16358000,74907000
49,Short-Term Debt,- -,- -,229800000,39927000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,380758000,550243000,399840000,389421000
52,Other Current Liabilities,123745000,126620000,-42175000,155806000
53,Total Current Liabilities,531902000,728598000,603823000,660061000
54,Long-Term Debt,- -,396065000,197977000,220146000
55,Deferred Revenue,276354000,244568000,132038000,73916000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,2374137000,2205436000,234116000,2297000
58,Total Non-Current Liabilities,2650491000,2846069000,564131000,296359000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,258879000,260073000
61,Total Liabilities,3182393000,3574667000,1167954000,956420000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,570000,588000,1792000,2027000
64,Retained Earnings,-3231876000,-3798963000,-4965354000,-5485733000
65,Other Comprehensive Income/Loss,-95820000,-108612000,-2745000,-2349000
66,Other Total Stockholders Equity,1575698000,1926345000,6488857000,- -
67,Total Stockholders Equity,-1751428000,-1980642000,1522550000,2291030000
68,Total Liabilities And Stockholders Equity,1430965000,1594025000,2690504000,3247450000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1430965000,1594025000,2690504000,3247450000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1321655/000119312521060650/0001193125-21-060650-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/0001193125-22-050913-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-580027000,-579646000,-1166391000,-520379000
74,Depreciation and Amortization,13910000,12255000,13871000,14897000
75,Deferred Income Tax,- -,- -,- -,43316000
76,Stock Based Compensation,248503000,241970000,1270702000,778215000
77,Change in Working Capital,302575000,-202619000,1168051000,-92052000
78,Accounts Receivable,-10483000,-23905000,-108476000,-35237000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,10968000,23424000,-34681000,57767000
81,Other Working Capital,688174000,485555000,1653606000,-80212000
82,Other Non-Cash Items,-23973000,362825000,-1582841000,109854000
83,Cash Provided by Operating Activities,-39012000,-165215000,-296608000,333851000
84,CAPEX,-13004000,-13096000,-12236000,-12627000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2934000,-382265000
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,6220000,-8868000,250000,-3020000
89,Cash Used for Investing Activites,-6784000,-21964000,-14920000,-397912000
90,Debt Repayment,-56491000,-150000000,-400000000,-200000000
91,Common Stock Issued,96480000,100000000,942529000,- -
92,Common Stock Repurchased,-7706000,-193075000,-3777000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,13871000,567608000,497701000,506747000
95,Cash Used/Provided by Financing Activities,46154000,324533000,1036453000,306747000
96,Effect of Forex Changes on Cash,-3703000,-2227000,1259000,-3918000
97,Net Change In Cash,-3345000,135127000,726184000,238768000
98,Cash at the End of Period,1266835000,1401962000,2128146000,2366914000
99,Cash at the Beginning of Period,1270180000,1266835000,1401962000,2128146000
100,Free Cash Flow,-52016000,-178311000,-308844000,321224000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1321655/000119312521060650/0001193125-21-060650-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/0001193125-22-050913-index.htm
102,false,,,,
